complex,AF3_binder_Interface_size,CHAI-1_binder_interface_size,Binder_Jaccard,AF3_Target_interface_size,CHAI-1_Target_interface_size,target_jaccard
alessio.daddio.ad_1,31,38,0.7692307692307693,36,45,0.7608695652173914
alessio.daddio.ad_4,30,33,0.7027027027027027,27,34,0.6486486486486487
alessio.daddio.ad_9,23,21,0.8333333333333334,26,27,0.9629629629629629
alex.naka.blastoise,33,36,0.8648648648648649,41,41,0.9069767441860465
alex.naka.charizard,16,31,0.46875,23,44,0.45652173913043476
alex.naka.charmander,36,36,0.9459459459459459,43,43,0.8695652173913043
alex.naka.charmeleon,17,35,0.4857142857142857,21,38,0.475
alex.naka.ivysaur,33,36,0.9166666666666666,36,41,0.8780487804878049
alex.naka.squirtle,31,33,0.8823529411764706,44,41,0.8888888888888888
alex.naka.venusaur,15,32,0.46875,20,40,0.42857142857142855
alex.naka.wartortle,31,35,0.8333333333333334,43,43,0.7916666666666666
allongoldberg.3_52,16,19,0.34615384615384615,21,28,0.0
allongoldberg.3_52_10_refined_ideal,20,21,0.5769230769230769,26,32,0.16
allongoldberg.3_52_1_refined,16,22,0.52,23,36,0.5945945945945946
allongoldberg.4_44,20,23,0.30303030303030304,24,24,0.14285714285714285
allongoldberg.4_44_0_refined,19,30,0.3611111111111111,27,31,0.3181818181818182
allongoldberg.4_44_14_refined_ideal,22,32,0.5,27,34,0.2978723404255319
amelie.schreiber.model_56_119_15,20,23,0.5925925925925926,32,24,0.05660377358490566
amelie.schreiber.model_60_151_9,23,20,0.7916666666666666,30,27,0.6764705882352942
amelie.schreiber.model_83_156_16,30,26,0.47368421052631576,33,41,0.39622641509433965
amirmhosseini47.mohammad_seq2,34,40,0.7209302325581395,39,48,0.8125
antorsae.t0.1_sample939_score0.9451_global_score1.3625_seq_recovery0.4250,13,28,0.4642857142857143,22,39,0.4523809523809524
antorsae.ta525_0_0,14,28,0.5,22,38,0.5
antorsae.ta_4_4,16,21,0.5416666666666666,23,29,0.18181818181818182
antorsae.ta_4_5,17,17,0.5454545454545454,22,23,0.21621621621621623
antorsae.ta_5_1,11,22,0.5,19,35,0.5
antorsae.ta_5_2,18,23,0.5185185185185185,25,33,0.20833333333333334
antorsae.ta_5_3,16,22,0.52,22,32,0.2
antorsae.ta397unsafety_2,11,24,0.4583333333333333,20,39,0.475
areddy.egfr_l169_s781475,30,43,0.6590909090909091,36,55,0.4918032786885246
aswini.clipgen30,14,23,0.27586206896551724,15,33,0.3333333333333333
aswini.seed1,32,32,0.4883720930232558,44,39,0.012195121951219513
aswini.seed1_1,26,26,0.23809523809523808,40,35,0.0
aswini.seed2_1,27,29,0.4,36,38,0.0
aswini.seed2_3,29,28,0.32558139534883723,29,34,0.0
aswinijavadi160197.8_a,10,17,0.5,12,22,0.0
aureliabustos.bce_var433,31,31,1.0,37,39,0.8095238095238095
aureliabustos.bce_var464,31,31,1.0,40,40,0.7777777777777778
aureliabustos.bce_var702,30,32,0.9375,38,38,0.7674418604651163
aureliabustos.wt_noised_i_scaffold_shorted_var71,34,32,0.9411764705882353,39,44,0.8863636363636364
aureliabustos.wwt_noised_i_scaffold_shorted_var6640,32,34,0.8857142857142857,39,39,0.8571428571428571
aureliabustos.wwt_noised_i_scaffold_shorted_var7524,34,32,0.9411764705882353,37,39,0.9487179487179487
aureliabustos.wwt_noised_i_scaffold_shorted_var8423,33,33,0.9411764705882353,38,39,0.925
aureliabustos.wwt_noised_i_scaffold_shorted_var9391,31,33,0.8823529411764706,38,40,0.9024390243902439
baptiste.roelens.ognk,23,31,0.6363636363636364,27,36,0.7027027027027027
begonia.sp.13.egfr_l110_s478327_mpnn7_model2,28,34,0.7714285714285715,28,35,0.75
begonia.sp.13.egfr_l61_s456546_mpnn1_model1,21,36,0.5833333333333334,28,45,0.6222222222222222
begonia.sp.13.egfr_l88_s11832_mpnn1_model2,23,33,0.6,27,32,0.6857142857142857
binom16.pocket1pep15,9,14,0.5333333333333333,18,32,0.28205128205128205
binom16.pocket2pep86,11,14,0.5625,16,32,0.3333333333333333
binom16.pocket2pep89,9,10,0.5833333333333334,14,20,0.7
binom16.pocket3pep98,12,19,0.631578947368421,18,35,0.20454545454545456
binom16.pocket7pep80,9,16,0.47058823529411764,16,24,0.08108108108108109
biolucasmachado.engineered_binder_1,15,41,0.36585365853658536,17,52,0.3269230769230769
biolucasmachado.engineered_binder_2,19,32,0.5454545454545454,22,43,0.5116279069767442
biolucasmachado.engineered_binder_3,29,29,0.8709677419354839,41,40,0.9285714285714286
biolucasmachado.engineered_binder_4,38,36,0.9473684210526315,46,45,0.9361702127659575
biolucasmachado.engineered_binder_5,35,33,0.9428571428571428,41,40,0.9285714285714286
biolucasmachado.engineered_binder_6,36,41,0.8333333333333334,43,51,0.7090909090909091
biolucasmachado.engineered_binder_7,33,35,0.9428571428571428,41,42,0.9761904761904762
biolucasmachado.engineered_binder_8,35,36,0.9722222222222222,41,42,0.9761904761904762
biolucasmachado.engineered_binder_9,28,30,0.8709677419354839,40,44,0.9090909090909091
briannaughton.1_plus_2,30,61,0.4,29,73,0.36
briannaughton.1_plus_egfr,50,48,0.2564102564102564,52,57,0.5571428571428572
briannaughton.2_plus_1,38,55,0.55,40,64,0.3684210526315789
briannaughton.2_plus_2,56,70,0.4,59,71,0.3
briannaughton.egfr_plus_egfr,37,45,0.3442622950819672,43,52,0.7592592592592593
bronte.egfr_binder_4_91,14,15,0.11538461538461539,17,20,0.05714285714285714
bundit.b_s18.manbaritone_seq3_egfr-binder-70-100_beta_303_dldesign_6_lenght71,29,15,0.1,25,21,0.09523809523809523
bundit.b_s18.manbaritone_seq5_egfr-binder-70-100_beta_303_dldesign_1_length71,28,19,0.20512820512820512,27,25,0.3333333333333333
bundit.b_s18.manbaritone_seq6_egfr-binder-70-100_beta_778_dldesign_0_length71,25,23,0.7777777777777778,28,27,0.71875
cameron.kroll.gertrude_gen3,29,28,0.2391304347826087,28,33,0.4523809523809524
cameron.kroll.gertrude_gen3_s69d_n61e,23,29,0.13043478260869565,21,32,0.2926829268292683
cameron.kroll.gertrude_gen5,28,27,0.1702127659574468,31,33,0.391304347826087
cameron.kroll.gertrude_gen6,28,25,0.17777777777777778,29,31,0.3953488372093023
cameron.kroll.leitner,29,21,0.13636363636363635,27,28,0.03773584905660377
carson.vaux.baker1_18,16,28,0.5172413793103449,22,35,0.11764705882352941
cbrown.cbrown_0005_2_egfr_l81_s801188_mpnn1_model1,25,29,0.7419354838709677,25,33,0.7575757575757576
ccalia.paesani_lab_design1,31,56,0.27941176470588236,30,56,0.2835820895522388
ccalia.paesani_lab_design2,43,38,0.0945945945945946,54,39,0.2077922077922078
ccalia.paesani_lab_design3,37,73,0.25,44,83,0.20952380952380953
ccalia.paesani_lab_design8,31,54,0.14864864864864866,30,59,0.3088235294117647
ccalia.paesani_lab_design9,38,49,0.4745762711864407,39,55,0.3055555555555556
cchallacombe.1,20,25,0.36363636363636365,24,27,0.0
cchallacombe.4,29,27,0.36585365853658536,35,34,0.0
cchallacombe.6,18,19,0.6086956521739131,14,21,0.0
chenceshi1105.steven_binder_design_l75_s60968_it100_mpnn0,26,27,0.23255813953488372,27,33,0.5789473684210527
chenceshi1105.steven_binder_design_l82_s44755_it100_mpnn6,26,23,0.6333333333333333,22,26,0.7777777777777778
chenceshi1105.steven_binder_design_l89_s48081_it100_mpnn4,20,29,0.6333333333333333,20,33,0.5142857142857142
christoph.gruber.binder12_1,13,39,0.15555555555555556,19,43,0.21568627450980393
christoph.gruber.upperbinder_scaffold1_lowerbinder,37,50,0.5,59,60,0.38372093023255816
christoph.gruber.upperbinder_scaffold2_lowerbinder,43,53,0.5238095238095238,64,61,0.37362637362637363
christoph.gruber.upperbinder_scaffold3_lowerbinder,33,33,0.11864406779661017,54,40,0.13253012048192772
christoph.gruber.upperbinder_xten_lowerbinder,26,41,0.34,40,50,0.125
chrisxushaoyong.hu_nano1_1_ff3e18,24,27,0.275,26,26,0.15555555555555556
chrisxushaoyong.hu_nano1_3_eef94e,15,27,0.4482758620689655,20,28,0.2972972972972973
chrisxushaoyong.hu_nano1_5_559c85,13,20,0.2692307692307692,16,24,0.0
chrisxushaoyong.hu_nano2_2_7ef96e,20,19,0.39285714285714285,26,25,0.0
chrisxushaoyong.hu_nano2_4_85252b,17,21,0.46153846153846156,27,20,0.044444444444444446
chuh.egfr_seg1_l58_s941869_mpnn2,15,17,0.7777777777777778,18,20,0.7272727272727273
chuh.egfr_seg2_l58_s53469_mpnn1,26,26,0.6774193548387096,28,38,0.17857142857142858
chuh.egfr_seg2_l62_s244475_mpnn4,24,23,0.46875,26,34,0.22448979591836735
colby.tupegfr_001___anti-egfr_fv-like_protein_diffused_with_evodiff,38,39,0.08450704225352113,32,46,0.3
colby.tupegfr_006___anti-egfr_fv-like_protein_diffused_with_evodiff,32,34,0.40425531914893614,27,35,0.34782608695652173
colby.tupegfr_010___anti-egfr_fv-like_protein_diffused_with_evodiff,18,39,0.07547169811320754,16,35,0.275
colby.tupegfr_012___anti-egfr_fv-like_protein_diffused_with_evodiff,19,41,0.17647058823529413,23,48,0.3148148148148148
colby.tupegfr_018___anti-egfr_fv-like_protein_diffused_with_esm3,26,34,0.25,27,35,0.2653061224489796
coreyhowe99.corey82,26,18,0.5172413793103449,29,28,0.2127659574468085
darius.szablowski.egfr_binder_1___top_binder_1,21,25,0.7037037037037037,27,27,0.6875
darius.szablowski.egfr_binder_2___ggggs_3_linked_top_binders_1_and_2,41,31,0.02857142857142857,48,40,0.2222222222222222
darius.szablowski.egfr_binder_3___ggggs_3_linked_top_binders_1_rev_and_2_rev,23,25,0.02127659574468085,24,36,0.1111111111111111
darius.szablowski.egfr_binder_4___ggggs_3_linked_top_binders_1_and_2_efficiently_evolved,31,37,0.5111111111111111,39,45,0.6153846153846154
darius.szablowski.egfr_binder_5___ggggs_3_linked_top_binders_1_and_2_efficiently_evolved_and_sapiens_evolved,44,36,0.1267605633802817,55,38,0.55
deepsatflow.6aru_final_chain_a_domain_3_l138_s466479_mpnn9,34,27,0.4523809523809524,33,28,0.12962962962962962
deepsatflow.6aru_final_chain_a_domain_3_l142_s806907_mpnn1,24,23,0.88,28,27,0.9642857142857143
deepsatflow.6aru_final_chain_a_domain_3_l147_s945609_mpnn1,24,33,0.5,29,43,0.3584905660377358
dre.lgdl_egfr_001,9,32,0.28125,17,60,0.203125
dre.lgdl_egfr_008,14,29,0.30303030303030304,17,58,0.041666666666666664
duynth29.duy_l111_mpnn14,29,14,0.34375,31,16,0.0
duynth29.duy_l111_mpnn14_i36m__l80m_l42m,28,39,0.6341463414634146,31,40,0.4489795918367347
duynth29.duy_l111_mpnn14_l80m_l42m,29,38,0.5952380952380952,32,41,0.40384615384615385
duynth29.l148_mpnn1,26,25,0.9615384615384616,30,26,0.8666666666666667
duynth29.l88_mpnn5,25,32,0.5,33,32,0.16071428571428573
eceiiitn786.8s2,25,27,0.3333333333333333,27,39,0.0
elian.elian1,31,33,0.8823529411764706,29,33,0.6756756756756757
elian.elian2,30,36,0.6097560975609756,28,37,0.625
elian.elian3,30,33,0.9090909090909091,31,33,0.6842105263157895
elian.elian4,30,32,0.7714285714285715,28,34,0.7222222222222222
elian.elian5,31,36,0.6341463414634146,29,37,0.5714285714285714
enzo.morro.design_0_n_0_mpnn_1.117_plddt_0.713_i_ptm_0.082_i_pae_27.542_rmsd_25.669,24,26,0.19047619047619047,25,27,0.3684210526315789
enzo.morro.design_0_n_1_mpnn_1.085_plddt_0.817_i_ptm_0.076_i_pae_28.084_rmsd_25.372,28,17,0.15384615384615385,30,19,0.4
enzo.morro.design_0_n_2_mpnn_1.120_plddt_0.858_i_ptm_0.072_i_pae_28.117_rmsd_30.276,28,28,0.09803921568627451,25,37,0.0
fernando.meireles.design_hybrid_partial_diff_4_31_binder,28,28,0.4,36,28,0.28
fernando.meireles.design_hybrid_partial_diff_7_1_binder,22,35,0.425,30,51,0.22727272727272727
fernando.meireles.design_hybrid_partial_diff_9_54_binder,26,38,0.30612244897959184,32,47,0.29508196721311475
fgndd1.fg_seq1,27,41,0.6190476190476191,31,40,0.6136363636363636
flowuenne.nf-proteindesign_design10,12,19,0.0,13,21,0.0
flowuenne.nf-proteindesign_design7,17,21,0.3103448275862069,19,30,0.2894736842105263
flowuenne.nf-proteindesign_design8,15,28,0.34375,22,33,0.25
gitter.yolo23,23,22,0.7307692307692307,28,31,0.5128205128205128
gitter.yolo46,27,22,0.6896551724137931,26,22,0.7142857142857143
gitter.yolo48,18,23,0.7083333333333334,23,32,0.71875
hughy.4krp_b_a_89_rnd3_full,11,25,0.02857142857142857,13,29,0.0
hughy.7om4_b_a_17_rnd2_v2_full,33,13,0.21052631578947367,44,17,0.0
hughy.7om4_b_a_180_rnd1_v1_full,15,10,0.3157894736842105,17,13,0.0
hughy.7om4_b_a_33_rnd2_v2_full,24,25,0.32432432432432434,23,34,0.0
hughy.7om4_b_a_8_rnd2_v2_full,20,30,0.35135135135135137,22,42,0.0
huiyu.cai.h3_15_2431_h,20,38,0.2608695652173913,16,37,0.15217391304347827
huiyu.cai.h3_15_2847_h,21,34,0.14583333333333334,21,41,0.14814814814814814
huiyu.cai.h3_15_3351_h,11,38,0.2894736842105263,16,38,0.2558139534883721
huiyu.cai.h3_15_4373_h,18,22,0.3793103448275862,20,22,0.0
huiyu.cai.h3_15_877_h,26,36,0.37777777777777777,25,42,0.24074074074074073
jack.li.egfrbindingcandidate_7,19,13,0.14285714285714285,22,19,0.0
jakublala.epitope_1_20aa.pdb,11,14,0.6666666666666666,23,32,0.25
jakublala.epitope_1_30aa.pdb,14,15,0.38095238095238093,19,24,0.22857142857142856
jakublala.epitope_2_30aa_1.pdb,9,19,0.4,15,38,0.23255813953488372
jakublala.full_dibinder_45aa.pdb,15,29,0.2222222222222222,17,45,0.2916666666666667
jakublala.full_dibinder_45aa_2.pdb,15,26,0.28125,17,42,0.2826086956521739
joaosartori2.c1,34,39,0.825,40,47,0.74
joaosartori2.c3,33,36,0.9166666666666666,41,42,0.7659574468085106
joaosartori2.c4,36,37,0.8717948717948718,43,45,0.76
joaosartori2.c6,38,37,0.875,38,35,0.7804878048780488
joel.rf_diffusion_trim_3,19,21,0.17647058823529413,24,29,0.0
jude.wells.21.6b3s_necitumumab_fused_trimmed_task_211_iter_150,24,31,0.71875,26,31,0.7272727272727273
jude.wells.21.6b3s_necitumumab_fused_trimmed_task_89_iter_216,24,27,0.7,26,27,0.8275862068965517
jude.wells.21.6b3s_necitumumab_fused_trimmed_task_98_iter_184,22,27,0.53125,26,28,0.5882352941176471
jude.wells.21.panitumumab_fused_trimmed_crossbreed3,21,20,0.7083333333333334,24,19,0.075
jude.wells.21.panitumumab_fused_trimmed_task_12_iter_123,22,29,0.5454545454545454,24,27,0.59375
julian.faust.becotatugxpimurutamab_scfv,24,31,0.4864864864864865,23,30,0.6060606060606061
julian.faust.demupitamab_mpnn_19_scfv,24,18,0.68,25,17,0.10526315789473684
julian.faust.pimurutamab_mpnn_17_scfv,23,33,0.5135135135135135,22,35,0.5
julian.faust.pimurutamab_mpnn_18_scfv,22,34,0.4358974358974359,22,33,0.5277777777777778
julian.faust.pimurutamabxbecotatug_scfv,24,30,0.5,24,30,0.5882352941176471
julie.jg26n,17,25,0.6153846153846154,20,30,0.6129032258064516
julie.rj0aa,18,20,0.8095238095238095,19,23,0.75
julie.ryfqy,16,34,0.25,20,52,0.3090909090909091
junhee.park1999.egfr_binder_6,21,23,0.4666666666666667,28,19,0.20512820512820512
junhee.park1999.egfr_binder_7,21,25,0.4838709677419355,28,23,0.0
junhee.park1999.egfr_binder_9,20,27,0.34285714285714286,27,24,0.1590909090909091
jvogt4.vogt_scfv_0128,23,23,0.6428571428571429,22,28,0.6129032258064516
jvogt4.vogt_scfv_2009,19,26,0.40625,19,31,0.19047619047619047
jvogt4.vogt_scfv_2143,24,14,0.52,22,11,0.0
jvogt4.vogt_scfv_2279,22,33,0.5277777777777778,22,38,0.25
jvogt4.vogt_scfv_2470,18,27,0.5517241379310345,17,34,0.1590909090909091
karmanyaaggarwal.ds002542,17,23,0.14285714285714285,16,25,0.20588235294117646
karmanyaaggarwal.ds003076,18,24,0.5,20,23,0.34375
karmanyaaggarwal.ds004729,15,22,0.27586206896551724,18,30,0.2972972972972973
keaun.gafpvvfkadiarvsefvaigpstgylgslttmsgvnq,19,22,0.3225806451612903,21,37,0.13725490196078433
keaun.gifgvvfkadiarvsidvaidystgylgslttfsgcnq,6,24,0.1111111111111111,7,40,0.14634146341463414
keaun.gwfgvvfkadiagvsekvaielsggyegslttpsgwnq,16,15,0.24,23,26,0.4
keaun.gwfgvvfkadiardsefvailesqgylssittfsgwnq,17,15,0.14285714285714285,23,21,0.41935483870967744
keaun.gwfgvvfkadiarvsefvaiglstgplgsestfsiwrq,14,29,0.34375,22,43,0.32653061224489793
kerrding.seq5,31,35,0.8857142857142857,37,41,0.813953488372093
kerrding.seq6,33,34,0.9142857142857143,38,41,0.8372093023255814
kerrding.seq7,32,33,0.9117647058823529,42,40,0.8222222222222222
kerrding.seq8,34,34,0.9428571428571428,45,41,0.7916666666666666
kerrding.seq9,12,31,0.19444444444444445,16,41,0.2391304347826087
klima.jason.8hgo_design_4yyaf_0_0,24,28,0.2682926829268293,31,41,0.3090909090909091
klima.jason.8hgo_design_8gswy_1_2,34,54,0.3968253968253968,42,61,0.2716049382716049
klima.jason.8hgo_design_94eja_1_5,15,34,0.11363636363636363,21,46,0.2641509433962264
klima.jason.8hgo_design_jt8s1_0_3_proteinmpnn_20,50,33,0.296875,44,48,0.24324324324324326
klima.jason.8hgo_design_vdcjs_1_2,24,34,0.20833333333333334,29,43,0.16129032258064516
kurumida.yoichi.mg_05,15,30,0.45161290322580644,16,31,0.5161290322580645
lennart.nickel.egfr_l114_s69310_mpnn7,22,32,0.6875,24,37,0.6052631578947368
lennart.nickel.egfr_l139_s63093_mpnn2,23,27,0.6129032258064516,24,33,0.5405405405405406
lennart.nickel.egfr_l170_s20625_mpnn10,32,45,0.4807692307692308,32,50,0.41379310344827586
lennart.nickel.egfr_l179_s82283_mpnn1,20,24,0.8333333333333334,19,21,0.8181818181818182
lennart.nickel.egfr_l98_s70756_mpnn3,20,19,0.39285714285714285,25,21,0.4375
lhallee.lhallee_128_driveid_1_2,29,50,0.11267605633802817,44,57,0.16091954022988506
lhallee.lhallee_128_driveid_3_4,16,35,0.18604651162790697,21,39,0.36363636363636365
lhallee.lhallee_20_on_target_2000,11,13,0.5,17,23,0.05263157894736842
lhallee.lhallee_40_full_driveid_8_9,11,27,0.15151515151515152,15,44,0.2553191489361702
lhallee.lhallee_40_target_driveid_10,14,30,0.2222222222222222,19,39,0.4146341463414634
lyu.1,33,27,0.5789473684210527,30,35,0.1206896551724138
lyu.2,33,34,0.8108108108108109,29,34,0.7027027027027027
lyu.3,28,34,0.2916666666666667,27,40,0.2641509433962264
markus.braun.egfr_binder_1,49,29,0.2786885245901639,47,39,0.2463768115942029
markus.braun.egfr_binder_3,64,35,0.020618556701030927,48,31,0.09722222222222222
markus.braun.egfr_binder_6,54,52,0.8928571428571429,48,52,0.7857142857142857
markus.braun.egfr_binder_7,51,31,0.0379746835443038,47,32,0.2153846153846154
markus.braun.egfr_binder_8,50,44,0.2876712328767123,50,47,0.19753086419753085
martin.egfr_l111_s89744_mpnn1,18,29,0.46875,18,40,0.2608695652173913
martin.egfr_l121_s46924_mpnn18,31,27,0.48717948717948717,27,34,0.19607843137254902
martin.egfr_l142_s75963_mpnn1,31,42,0.35185185185185186,28,48,0.38181818181818183
martin.egfr_l165_s31019_mpnn3,26,31,0.7272727272727273,25,33,0.6571428571428571
martin.egfr_l177_s77884_mpnn7,22,41,0.2857142857142857,21,37,0.23404255319148937
maxall4.egfr_ed_binder_l124_s860500_mpnn1_model1_unrelaxed_rank_001_alphafold2_multimer_v3_model_1_seed_000_top1_mutation_d81n_round1_chain_a,33,34,0.8611111111111112,32,34,0.8857142857142857
maxall4.egfr_ed_binder_l132_s581930_mpnn1_model1_unrelaxed_rank_001_alphafold2_multimer_v3_model_1_seed_000_top1_mutation_r79a_round1_chain_a,29,26,0.8333333333333334,28,25,0.8928571428571429
maxall4.egfr_ed_binder_l134_s906486_mpnn2_model1_unrelaxed_rank_001_alphafold2_multimer_v3_model_1_seed_000_top1_mutation_g108s_round1_y80d_chain_a,21,33,0.5428571428571428,25,42,0.4888888888888889
maxall4.egfr_ed_binder_l134_s906486_mpnn2_model1_unrelaxed_rank_001_alphafold2_multimer_v3_model_1_seed_000_top1_mutation_g108s_round1_chain_a,22,20,0.4482758620689655,27,25,0.061224489795918366
maxall4.egfr_trim_l126_s498823_mpnn2_model1_unrelaxed_rank_001_alphafold2_multimer_v3_model_1_seed_000_top1_mutation_l39g_round1_chain_a,26,32,0.45,30,30,0.2
mchrnwsk.marta_chronowska_dom1_l99_s666690_mpnn16,20,25,0.7307692307692307,26,29,0.5714285714285714
merlettaia.seq0v3,32,12,0.2571428571428571,33,14,0.20512820512820512
merlettaia.seq0v4,15,14,0.3181818181818182,19,18,0.32142857142857145
merlettaia.seq52v3,14,33,0.3055555555555556,25,35,0.0
merlettaia.seq6v4,9,26,0.2962962962962963,10,41,0.18604651162790697
merlettaia.seq70v3,20,21,0.5769230769230769,21,16,0.0
minji.lee.111,31,19,0.3888888888888889,31,27,0.0
minji.lee.3458,15,30,0.2857142857142857,17,33,0.0
minji.lee.386,12,33,0.15384615384615385,11,45,0.0
minji.lee.3995,12,22,0.36,18,30,0.23076923076923078
minji.lee.459,18,31,0.2894736842105263,19,32,0.0851063829787234
mlange05.a,27,23,0.21951219512195122,25,26,0.13333333333333333
mlange05.b,31,30,0.6486486486486487,31,36,0.7631578947368421
mlange05.c,15,30,0.2857142857142857,23,33,0.36585365853658536
mosquitolkfo.nab_design_1,19,18,0.27586206896551724,26,22,0.0
mosquitolkfo.nab_design_3,19,22,0.41379310344827586,26,27,0.0
mosquitolkfo.nab_design_6,18,30,0.11627906976744186,27,35,0.0
mosquitolkfo.nab_design_7,19,23,0.4,24,25,0.0
mosquitolkfo.nab_design_9,20,19,0.3,27,23,0.0
nhaas.2,25,19,0.6296296296296297,27,24,0.7
nhaas.3,21,27,0.5483870967741935,29,29,0.48717948717948717
nhaas.4,22,32,0.38461538461538464,25,38,0.2857142857142857
nhaas.6,17,23,0.48148148148148145,18,23,0.0
nhaas.8,25,35,0.5384615384615384,24,36,0.5
nicholas-schnicker.schnick_04,21,30,0.6451612903225806,25,37,0.6756756756756757
niklas.7a72d922-1677-4fc8-9315-d7996ba05d8e_l150_s530325711_mpnn12,20,28,0.5,26,40,0.2692307692307692
niklas.95b59203-b642-4754-bcd3-8e670a722c8d_l91_s349792600_mpnn19,14,20,0.3076923076923077,15,26,0.36666666666666664
niklas.95b59203-b642-4754-bcd3-8e670a722c8d_l91_s349792600_mpnn2,16,17,0.65,16,21,0.6086956521739131
niklas.e5a28fa3-3501-41c2-922c-ec848e0bc020_l81_s514858345_mpnn4,26,29,0.5277777777777778,29,32,0.12962962962962962
niklas.ee4629a9-322f-48f0-884d-8f4418db9bce_l151_s241659642_mpnn11,35,31,0.7368421052631579,38,31,0.7692307692307693
nitesh.mishra3.stepwise_egf_based_egfr_binder_3,16,30,0.4375,17,36,0.23255813953488372
nitesh.mishra3.stepwise_rfdiff_egfr_binder_1,17,28,0.5,24,42,0.4666666666666667
nitesh.mishra3.stepwise_scaffold_egfr_binder_6,17,31,0.5483870967741935,24,42,0.5714285714285714
noah.holzleitner.noah_egfr-binder_1,21,24,0.7307692307692307,28,30,0.16
noah.holzleitner.noah_egfr-binder_2,21,22,0.5925925925925926,29,25,0.10204081632653061
noah.holzleitner.noah_egfr-binder_3,23,23,0.7037037037037037,29,31,0.2
noah.holzleitner.noah_egfr-binder_4,16,16,0.8823529411764706,18,19,0.85
noah.holzleitner.noah_egfr-binder_8,23,22,0.5517241379310345,29,35,0.30612244897959184
pastei5.egfr_binder_01,19,11,0.2,16,13,0.0
paulafcfranklin.synth_rosetta_1,34,34,1.0,42,43,0.8888888888888888
paulafcfranklin.synth_rosetta_10,36,36,0.9459459459459459,43,42,0.8478260869565217
paulafcfranklin.synth_rosetta_2,33,32,0.8571428571428571,41,40,0.8409090909090909
paulafcfranklin.synth_rosetta_3,35,39,0.8974358974358975,42,44,0.8695652173913043
paulafcfranklin.synth_rosetta_4,35,34,0.9166666666666666,39,39,0.8571428571428571
paulafcfranklin.synth_rosetta_5,33,37,0.8421052631578947,43,45,0.9130434782608695
paulafcfranklin.synth_rosetta_6,36,35,0.918918918918919,42,45,0.8913043478260869
paulafcfranklin.synth_rosetta_7,36,31,0.8611111111111112,39,42,0.8837209302325582
paulafcfranklin.synth_rosetta_8,34,35,0.9166666666666666,44,42,0.9111111111111111
paulafcfranklin.synth_rosetta_9,34,35,0.9166666666666666,42,41,0.8863636363636364
praghava531.seq2,13,28,0.3225806451612903,15,27,0.2727272727272727
qilin_y.test4,14,31,0.21621621621621623,18,43,0.0
