complex,AF3_binder_Interface_size,OF3_binder_interface_size,Binder_Jaccard,AF3_Target_interface_size,OF3_Target_interface_size,target_jaccard
antorsae.t0.1_sample939_score0.9451_global_score1.3625_seq_recovery0.4250,13,27,0.3793103448275862,22,74,0.21518987341772153
antorsae.ta525_0_0,14,21,0.25,22,35,0.35714285714285715
antorsae.ta_4_4,16,22,0.46153846153846156,23,56,0.14492753623188406
antorsae.ta_4_5,17,17,0.4166666666666667,22,37,0.3111111111111111
antorsae.ta_5_1,11,20,0.19230769230769232,19,49,0.13333333333333333
antorsae.ta_5_2,18,25,0.43333333333333335,25,64,0.12658227848101267
antorsae.ta_5_3,16,25,0.41379310344827586,22,50,0.14285714285714285
antorsae.ta397unsafety_2,11,15,0.23809523809523808,20,31,0.13333333333333333
areddy.egfr_l169_s781475,30,58,0.14285714285714285,36,93,0.1834862385321101
aswini.clipgen30,14,27,0.24242424242424243,15,70,0.14864864864864866
aswini.seed1,32,27,0.37209302325581395,44,62,0.17777777777777778
aswini.seed1_1,26,27,0.325,40,65,0.07142857142857142
aswini.seed2_1,27,27,0.4594594594594595,36,50,0.03614457831325301
aswini.seed2_3,29,27,0.4,29,47,0.0
aswinijavadi160197.8_a,10,30,0.0,12,68,0.0
aureliabustos.bce_var433,31,24,0.34146341463414637,37,42,0.6122448979591837
aureliabustos.bce_var464,31,23,0.35,40,38,0.56
aureliabustos.bce_var702,30,28,0.38095238095238093,38,60,0.4626865671641791
aureliabustos.wt_noised_i_scaffold_shorted_var71,34,30,0.391304347826087,39,68,0.4266666666666667
aureliabustos.wwt_noised_i_scaffold_shorted_var6640,32,25,0.32558139534883723,39,41,0.6
aureliabustos.wwt_noised_i_scaffold_shorted_var7524,34,25,0.475,37,61,0.48484848484848486
aureliabustos.wwt_noised_i_scaffold_shorted_var8423,33,21,0.22727272727272727,38,40,0.56
aureliabustos.wwt_noised_i_scaffold_shorted_var9391,31,28,0.40476190476190477,38,64,0.43661971830985913
baptiste.roelens.ognk,23,32,0.41025641025641024,27,60,0.1917808219178082
begonia.sp.13.egfr_l110_s478327_mpnn7_model2,28,56,0.2537313432835821,28,90,0.1919191919191919
begonia.sp.13.egfr_l61_s456546_mpnn1_model1,21,35,0.3023255813953488,28,69,0.3287671232876712
begonia.sp.13.egfr_l88_s11832_mpnn1_model2,23,35,0.23404255319148937,27,79,0.20454545454545456
binom16.pocket1pep15,9,13,0.5714285714285714,18,32,0.13636363636363635
binom16.pocket2pep86,11,7,0.38461538461538464,16,16,0.18518518518518517
binom16.pocket2pep89,9,13,0.4666666666666667,14,26,0.25
binom16.pocket3pep98,12,13,0.3888888888888889,18,34,0.20930232558139536
binom16.pocket7pep80,9,9,0.38461538461538464,16,26,0.10526315789473684
biolucasmachado.engineered_binder_1,15,29,0.3333333333333333,17,63,0.23076923076923078
biolucasmachado.engineered_binder_2,19,28,0.3055555555555556,22,54,0.22580645161290322
biolucasmachado.engineered_binder_3,29,23,0.2682926829268293,41,43,0.6153846153846154
biolucasmachado.engineered_binder_4,38,32,0.4583333333333333,46,73,0.38372093023255816
biolucasmachado.engineered_binder_5,35,25,0.3333333333333333,41,47,0.4666666666666667
biolucasmachado.engineered_binder_6,36,32,0.5813953488372093,43,64,0.4657534246575342
biolucasmachado.engineered_binder_7,33,30,0.5,41,59,0.3888888888888889
biolucasmachado.engineered_binder_8,35,24,0.3409090909090909,41,61,0.34210526315789475
biolucasmachado.engineered_binder_9,28,30,0.4146341463414634,40,69,0.4533333333333333
briannaughton.1_plus_2,30,64,0.16049382716049382,29,96,0.22549019607843138
briannaughton.1_plus_egfr,50,66,0.22105263157894736,52,98,0.3157894736842105
briannaughton.2_plus_1,38,87,0.16822429906542055,40,132,0.16216216216216217
briannaughton.2_plus_2,56,78,0.22935779816513763,59,99,0.09722222222222222
briannaughton.egfr_plus_egfr,37,47,0.4,43,92,0.3917525773195876
bronte.egfr_binder_4_91,14,37,0.18604651162790697,17,86,0.10752688172043011
bundit.b_s18.manbaritone_seq3_egfr-binder-70-100_beta_303_dldesign_6_lenght71,29,39,0.2830188679245283,25,88,0.22826086956521738
bundit.b_s18.manbaritone_seq5_egfr-binder-70-100_beta_303_dldesign_1_length71,28,34,0.4090909090909091,27,69,0.2631578947368421
bundit.b_s18.manbaritone_seq6_egfr-binder-70-100_beta_778_dldesign_0_length71,25,32,0.29545454545454547,28,68,0.28
cameron.kroll.gertrude_gen3,29,55,0.2,28,77,0.2804878048780488
cameron.kroll.gertrude_gen3_s69d_n61e,23,63,0.11688311688311688,21,114,0.1440677966101695
cameron.kroll.gertrude_gen5,28,59,0.20833333333333334,31,109,0.26126126126126126
cameron.kroll.gertrude_gen6,28,64,0.22666666666666666,29,97,0.23529411764705882
cameron.kroll.leitner,29,54,0.16901408450704225,27,92,0.11214953271028037
carson.vaux.baker1_18,16,36,0.18181818181818182,22,67,0.2361111111111111
cbrown.cbrown_0005_2_egfr_l81_s801188_mpnn1_model1,25,39,0.30612244897959184,25,58,0.3387096774193548
ccalia.paesani_lab_design1,31,63,0.16049382716049382,30,96,0.17757009345794392
ccalia.paesani_lab_design2,43,54,0.15476190476190477,54,92,0.21666666666666667
ccalia.paesani_lab_design3,37,63,0.14942528735632185,44,102,0.26956521739130435
ccalia.paesani_lab_design8,31,63,0.11904761904761904,30,104,0.17543859649122806
ccalia.paesani_lab_design9,38,103,0.06818181818181818,39,162,0.14857142857142858
cchallacombe.1,20,46,0.32,24,89,0.0
cchallacombe.4,29,39,0.25925925925925924,35,75,0.1827956989247312
cchallacombe.6,18,62,0.14285714285714285,14,100,0.0
chenceshi1105.steven_binder_design_l75_s60968_it100_mpnn0,26,28,0.125,27,59,0.2463768115942029
chenceshi1105.steven_binder_design_l82_s44755_it100_mpnn6,26,28,0.22727272727272727,22,53,0.2711864406779661
chenceshi1105.steven_binder_design_l89_s48081_it100_mpnn4,20,34,0.2,20,56,0.22580645161290322
christoph.gruber.binder12_1,13,28,0.28125,19,65,0.06329113924050633
christoph.gruber.upperbinder_scaffold1_lowerbinder,37,56,0.17721518987341772,59,88,0.15748031496062992
christoph.gruber.upperbinder_scaffold2_lowerbinder,43,61,0.31645569620253167,64,93,0.2265625
christoph.gruber.upperbinder_scaffold3_lowerbinder,33,71,0.23809523809523808,54,116,0.2878787878787879
christoph.gruber.upperbinder_xten_lowerbinder,26,30,0.47368421052631576,40,67,0.08080808080808081
chrisxushaoyong.hu_nano1_1_ff3e18,24,64,0.31343283582089554,26,116,0.17355371900826447
chrisxushaoyong.hu_nano1_3_eef94e,15,55,0.09375,20,110,0.09243697478991597
chrisxushaoyong.hu_nano1_5_559c85,13,52,0.22641509433962265,16,107,0.10810810810810811
chrisxushaoyong.hu_nano2_2_7ef96e,20,33,0.0392156862745098,26,66,0.01098901098901099
chrisxushaoyong.hu_nano2_4_85252b,17,62,0.19696969696969696,27,111,0.03759398496240601
chuh.egfr_seg1_l58_s941869_mpnn2,15,28,0.19444444444444445,18,74,0.1794871794871795
chuh.egfr_seg2_l58_s53469_mpnn1,26,31,0.29545454545454547,28,70,0.24050632911392406
chuh.egfr_seg2_l62_s244475_mpnn4,24,34,0.3488372093023256,26,78,0.23809523809523808
colby.tupegfr_001___anti-egfr_fv-like_protein_diffused_with_evodiff,38,61,0.17857142857142858,32,90,0.17307692307692307
colby.tupegfr_006___anti-egfr_fv-like_protein_diffused_with_evodiff,32,68,0.20481927710843373,27,107,0.09836065573770492
colby.tupegfr_010___anti-egfr_fv-like_protein_diffused_with_evodiff,18,72,0.046511627906976744,16,110,0.11504424778761062
colby.tupegfr_012___anti-egfr_fv-like_protein_diffused_with_evodiff,19,71,0.034482758620689655,23,109,0.2
colby.tupegfr_018___anti-egfr_fv-like_protein_diffused_with_esm3,26,57,0.136986301369863,27,85,0.20430107526881722
coreyhowe99.corey82,26,20,0.35294117647058826,29,39,0.3076923076923077
darius.szablowski.egfr_binder_1___top_binder_1,21,32,0.1276595744680851,27,86,0.15306122448979592
darius.szablowski.egfr_binder_2___ggggs_3_linked_top_binders_1_and_2,41,86,0.15454545454545454,48,132,0.2080536912751678
darius.szablowski.egfr_binder_3___ggggs_3_linked_top_binders_1_rev_and_2_rev,23,80,0.08421052631578947,24,125,0.13740458015267176
darius.szablowski.egfr_binder_4___ggggs_3_linked_top_binders_1_and_2_efficiently_evolved,31,49,0.15942028985507245,39,81,0.34831460674157305
darius.szablowski.egfr_binder_5___ggggs_3_linked_top_binders_1_and_2_efficiently_evolved_and_sapiens_evolved,44,61,0.11702127659574468,55,98,0.2966101694915254
deepsatflow.6aru_final_chain_a_domain_3_l138_s466479_mpnn9,34,68,0.1724137931034483,33,98,0.21296296296296297
deepsatflow.6aru_final_chain_a_domain_3_l142_s806907_mpnn1,24,53,0.18461538461538463,28,88,0.24731182795698925
deepsatflow.6aru_final_chain_a_domain_3_l147_s945609_mpnn1,24,52,0.1875,29,93,0.17307692307692307
dre.lgdl_egfr_001,9,29,0.22580645161290322,17,55,0.16129032258064516
dre.lgdl_egfr_008,14,20,0.25925925925925924,17,39,0.21739130434782608
duynth29.duy_l111_mpnn14,29,60,0.3283582089552239,31,97,0.20754716981132076
duynth29.duy_l111_mpnn14_i36m__l80m_l42m,28,62,0.2676056338028169,31,104,0.17391304347826086
duynth29.duy_l111_mpnn14_l80m_l42m,29,56,0.26865671641791045,32,91,0.24242424242424243
duynth29.l148_mpnn1,26,58,0.16666666666666666,30,89,0.26595744680851063
duynth29.l88_mpnn5,25,46,0.16393442622950818,33,94,0.24509803921568626
eceiiitn786.8s2,25,28,0.43243243243243246,27,70,0.07777777777777778
elian.elian1,31,32,0.3404255319148936,29,61,0.2328767123287671
elian.elian2,30,42,0.2413793103448276,28,81,0.26744186046511625
elian.elian3,30,21,0.24390243902439024,31,53,0.23529411764705882
elian.elian4,30,31,0.38636363636363635,28,69,0.3108108108108108
elian.elian5,31,33,0.30612244897959184,29,72,0.16091954022988506
enzo.morro.design_0_n_0_mpnn_1.117_plddt_0.713_i_ptm_0.082_i_pae_27.542_rmsd_25.669,24,62,0.06172839506172839,25,92,0.18181818181818182
enzo.morro.design_0_n_1_mpnn_1.085_plddt_0.817_i_ptm_0.076_i_pae_28.084_rmsd_25.372,28,49,0.02666666666666667,30,83,0.17708333333333334
enzo.morro.design_0_n_2_mpnn_1.120_plddt_0.858_i_ptm_0.072_i_pae_28.117_rmsd_30.276,28,59,0.22535211267605634,25,89,0.0
fernando.meireles.design_hybrid_partial_diff_4_31_binder,28,40,0.13333333333333333,36,67,0.24096385542168675
fernando.meireles.design_hybrid_partial_diff_7_1_binder,22,52,0.1746031746031746,30,102,0.11864406779661017
fernando.meireles.design_hybrid_partial_diff_9_54_binder,26,55,0.15714285714285714,32,95,0.23300970873786409
fgndd1.fg_seq1,27,53,0.1111111111111111,31,91,0.24489795918367346
flowuenne.nf-proteindesign_design10,12,20,0.10344827586206896,13,38,0.0625
flowuenne.nf-proteindesign_design7,17,20,0.23333333333333334,19,37,0.2727272727272727
flowuenne.nf-proteindesign_design8,15,24,0.18181818181818182,22,58,0.17647058823529413
gitter.yolo23,23,28,0.45714285714285713,28,63,0.22972972972972974
gitter.yolo46,27,25,0.2682926829268293,26,67,0.2077922077922078
gitter.yolo48,18,36,0.17391304347826086,23,61,0.18309859154929578
hughy.4krp_b_a_89_rnd3_full,11,59,0.09375,13,96,0.0
hughy.7om4_b_a_17_rnd2_v2_full,33,59,0.19480519480519481,44,113,0.12142857142857143
hughy.7om4_b_a_180_rnd1_v1_full,15,54,0.1896551724137931,17,100,0.11428571428571428
hughy.7om4_b_a_33_rnd2_v2_full,24,50,0.21311475409836064,23,86,0.10101010101010101
hughy.7om4_b_a_8_rnd2_v2_full,20,47,0.19642857142857142,22,101,0.0603448275862069
huiyu.cai.h3_15_2431_h,20,51,0.09230769230769231,16,91,0.10309278350515463
huiyu.cai.h3_15_2847_h,21,33,0.08,21,56,0.18461538461538463
huiyu.cai.h3_15_3351_h,11,50,0.12962962962962962,16,105,0.09009009009009009
huiyu.cai.h3_15_4373_h,18,38,0.16666666666666666,20,66,0.2112676056338028
huiyu.cai.h3_15_877_h,26,32,0.11538461538461539,25,69,0.189873417721519
jack.li.egfrbindingcandidate_7,19,83,0.0625,22,114,0.07086614173228346
jakublala.epitope_1_20aa.pdb,11,13,0.7142857142857143,23,31,0.14893617021276595
jakublala.epitope_1_30aa.pdb,14,20,0.36,19,43,0.21568627450980393
jakublala.epitope_2_30aa_1.pdb,9,13,0.2222222222222222,15,37,0.10638297872340426
jakublala.full_dibinder_45aa.pdb,15,25,0.3333333333333333,17,56,0.30357142857142855
jakublala.full_dibinder_45aa_2.pdb,15,26,0.28125,17,45,0.34782608695652173
joaosartori2.c1,34,31,0.3,40,73,0.2988505747126437
joaosartori2.c3,33,28,0.35555555555555557,41,54,0.5079365079365079
joaosartori2.c4,36,32,0.5111111111111111,43,67,0.375
joaosartori2.c6,38,35,0.4897959183673469,38,77,0.45569620253164556
joel.rf_diffusion_trim_3,19,34,0.17777777777777778,24,68,0.0
jude.wells.21.6b3s_necitumumab_fused_trimmed_task_211_iter_150,24,63,0.04819277108433735,26,76,0.2
jude.wells.21.6b3s_necitumumab_fused_trimmed_task_89_iter_216,24,85,0.09,26,99,0.09649122807017543
jude.wells.21.6b3s_necitumumab_fused_trimmed_task_98_iter_184,22,72,0.10588235294117647,26,87,0.10784313725490197
jude.wells.21.panitumumab_fused_trimmed_crossbreed3,21,64,0.08974358974358974,24,87,0.14432989690721648
jude.wells.21.panitumumab_fused_trimmed_task_12_iter_123,22,81,0.05102040816326531,24,103,0.09482758620689655
julian.faust.becotatugxpimurutamab_scfv,24,80,0.09473684210526316,23,101,0.11711711711711711
julian.faust.demupitamab_mpnn_19_scfv,24,72,0.07865168539325842,25,100,0.12612612612612611
julian.faust.pimurutamab_mpnn_17_scfv,23,54,0.08450704225352113,22,85,0.15053763440860216
julian.faust.pimurutamab_mpnn_18_scfv,22,75,0.0898876404494382,22,86,0.1134020618556701
julian.faust.pimurutamabxbecotatug_scfv,24,72,0.06666666666666667,24,92,0.1485148514851485
julie.jg26n,17,25,0.3548387096774194,20,61,0.208955223880597
julie.rj0aa,18,30,0.37142857142857144,19,69,0.17333333333333334
julie.ryfqy,16,31,0.14634146341463414,20,68,0.2054794520547945
junhee.park1999.egfr_binder_6,21,88,0.05825242718446602,28,109,0.11382113821138211
junhee.park1999.egfr_binder_7,21,81,0.0851063829787234,28,106,0.10743801652892562
junhee.park1999.egfr_binder_9,20,101,0.08035714285714286,27,151,0.12658227848101267
jvogt4.vogt_scfv_0128,23,47,0.07692307692307693,22,85,0.07
jvogt4.vogt_scfv_2009,19,82,0.06315789473684211,19,113,0.1
jvogt4.vogt_scfv_2143,24,55,0.11267605633802817,22,77,0.2073170731707317
jvogt4.vogt_scfv_2279,22,57,0.11267605633802817,22,90,0.14285714285714285
jvogt4.vogt_scfv_2470,18,68,0.03614457831325301,17,101,0.05357142857142857
karmanyaaggarwal.ds002542,17,49,0.08196721311475409,16,79,0.15853658536585366
karmanyaaggarwal.ds003076,18,31,0.06521739130434782,20,68,0.1282051282051282
karmanyaaggarwal.ds004729,15,44,0.05357142857142857,18,90,0.14893617021276595
keaun.gafpvvfkadiarvsefvaigpstgylgslttmsgvnq,19,25,0.41935483870967744,21,65,0.10256410256410256
keaun.gifgvvfkadiarvsidvaidystgylgslttfsgcnq,6,23,0.16,7,55,0.08771929824561403
keaun.gwfgvvfkadiagvsekvaielsggyegslttpsgwnq,16,24,0.3793103448275862,23,55,0.18181818181818182
keaun.gwfgvvfkadiardsefvailesqgylssittfsgwnq,17,18,0.25,23,37,0.25
keaun.gwfgvvfkadiarvsefvaiglstgplgsestfsiwrq,14,20,0.3076923076923077,22,37,0.2826086956521739
kerrding.seq5,31,22,0.358974358974359,37,43,0.40350877192982454
kerrding.seq6,33,30,0.4318181818181818,38,76,0.4074074074074074
kerrding.seq7,32,31,0.46511627906976744,42,63,0.5217391304347826
kerrding.seq8,34,26,0.36363636363636365,45,49,0.5161290322580645
kerrding.seq9,12,25,0.23333333333333334,16,49,0.08333333333333333
klima.jason.8hgo_design_4yyaf_0_0,24,60,0.12,31,103,0.24074074074074073
klima.jason.8hgo_design_8gswy_1_2,34,73,0.17582417582417584,42,109,0.23770491803278687
klima.jason.8hgo_design_94eja_1_5,15,61,0.16923076923076924,21,109,0.18181818181818182
klima.jason.8hgo_design_jt8s1_0_3_proteinmpnn_20,50,57,0.18888888888888888,44,96,0.21739130434782608
klima.jason.8hgo_design_vdcjs_1_2,24,49,0.21666666666666667,29,90,0.10185185185185185
kurumida.yoichi.mg_05,15,22,0.1935483870967742,16,54,0.22807017543859648
lennart.nickel.egfr_l114_s69310_mpnn7,22,57,0.12857142857142856,24,119,0.16260162601626016
lennart.nickel.egfr_l139_s63093_mpnn2,23,44,0.17543859649122806,24,70,0.22077922077922077
lennart.nickel.egfr_l170_s20625_mpnn10,32,67,0.2222222222222222,32,101,0.1981981981981982
lennart.nickel.egfr_l179_s82283_mpnn1,20,41,0.17307692307692307,19,77,0.2
lennart.nickel.egfr_l98_s70756_mpnn3,20,30,0.041666666666666664,25,67,0.2602739726027397
lhallee.lhallee_128_driveid_1_2,29,60,0.2191780821917808,44,98,0.14516129032258066
lhallee.lhallee_128_driveid_3_4,16,66,0.09333333333333334,21,106,0.12389380530973451
lhallee.lhallee_20_on_target_2000,11,12,0.35294117647058826,17,25,0.23529411764705882
lhallee.lhallee_40_full_driveid_8_9,11,24,0.20689655172413793,15,41,0.3333333333333333
lhallee.lhallee_40_target_driveid_10,14,20,0.3076923076923077,19,34,0.2926829268292683
lyu.1,33,44,0.26229508196721313,30,98,0.20754716981132076
lyu.2,33,47,0.2698412698412698,29,88,0.25806451612903225
lyu.3,28,40,0.21428571428571427,27,83,0.1827956989247312
markus.braun.egfr_binder_1,49,81,0.09243697478991597,47,107,0.24193548387096775
markus.braun.egfr_binder_3,64,69,0.17699115044247787,48,101,0.14615384615384616
markus.braun.egfr_binder_6,54,99,0.15037593984962405,48,145,0.22929936305732485
markus.braun.egfr_binder_7,51,77,0.0847457627118644,47,126,0.21830985915492956
markus.braun.egfr_binder_8,50,81,0.22429906542056074,50,118,0.16666666666666666
martin.egfr_l111_s89744_mpnn1,18,41,0.11320754716981132,18,76,0.08045977011494253
martin.egfr_l121_s46924_mpnn18,31,32,0.16666666666666666,27,50,0.3275862068965517
martin.egfr_l142_s75963_mpnn1,31,57,0.1282051282051282,28,100,0.2549019607843137
martin.egfr_l165_s31019_mpnn3,26,71,0.15476190476190477,25,124,0.09558823529411764
martin.egfr_l177_s77884_mpnn7,22,63,0.11842105263157894,21,97,0.1568627450980392
maxall4.egfr_ed_binder_l124_s860500_mpnn1_model1_unrelaxed_rank_001_alphafold2_multimer_v3_model_1_seed_000_top1_mutation_d81n_round1_chain_a,33,60,0.2077922077922078,32,97,0.2169811320754717
maxall4.egfr_ed_binder_l132_s581930_mpnn1_model1_unrelaxed_rank_001_alphafold2_multimer_v3_model_1_seed_000_top1_mutation_r79a_round1_chain_a,29,48,0.14925373134328357,28,93,0.24742268041237114
maxall4.egfr_ed_binder_l134_s906486_mpnn2_model1_unrelaxed_rank_001_alphafold2_multimer_v3_model_1_seed_000_top1_mutation_g108s_round1_y80d_chain_a,21,56,0.203125,25,88,0.15306122448979592
maxall4.egfr_ed_binder_l134_s906486_mpnn2_model1_unrelaxed_rank_001_alphafold2_multimer_v3_model_1_seed_000_top1_mutation_g108s_round1_chain_a,22,51,0.15873015873015872,27,91,0.21649484536082475
maxall4.egfr_trim_l126_s498823_mpnn2_model1_unrelaxed_rank_001_alphafold2_multimer_v3_model_1_seed_000_top1_mutation_l39g_round1_chain_a,26,32,0.1836734693877551,30,54,0.3333333333333333
mchrnwsk.marta_chronowska_dom1_l99_s666690_mpnn16,20,33,0.08163265306122448,26,55,0.24615384615384617
merlettaia.seq0v3,32,50,0.18840579710144928,33,89,0.016666666666666666
merlettaia.seq0v4,15,66,0.1095890410958904,19,102,0.09009009009009009
merlettaia.seq52v3,14,62,0.07042253521126761,25,101,0.008
merlettaia.seq6v4,9,59,0.15254237288135594,10,100,0.1
merlettaia.seq70v3,20,49,0.11290322580645161,21,79,0.17647058823529413
minji.lee.111,31,29,0.30434782608695654,31,69,0.0
minji.lee.3458,15,38,0.23255813953488372,17,77,0.0
minji.lee.386,12,32,0.1282051282051282,11,66,0.0
minji.lee.3995,12,43,0.14583333333333334,18,83,0.10989010989010989
minji.lee.459,18,23,0.17142857142857143,19,45,0.14285714285714285
mlange05.a,27,59,0.13157894736842105,25,93,0.1919191919191919
mlange05.b,31,72,0.17045454545454544,31,118,0.192
mlange05.c,15,77,0.045454545454545456,23,116,0.13008130081300814
mosquitolkfo.nab_design_1,19,55,0.08823529411764706,26,95,0.025423728813559324
mosquitolkfo.nab_design_3,19,68,0.12987012987012986,26,105,0.007692307692307693
mosquitolkfo.nab_design_6,18,55,0.10606060606060606,27,100,0.0
mosquitolkfo.nab_design_7,19,60,0.12857142857142856,24,102,0.0
mosquitolkfo.nab_design_9,20,54,0.08823529411764706,27,86,0.008928571428571428
nhaas.2,25,59,0.2,27,65,0.09523809523809523
nhaas.3,21,56,0.02666666666666667,29,65,0.13253012048192772
nhaas.4,22,52,0.12121212121212122,25,75,0.13636363636363635
nhaas.6,17,79,0.07865168539325842,18,99,0.008620689655172414
nhaas.8,25,71,0.11627906976744186,24,96,0.12149532710280374
nicholas-schnicker.schnick_04,21,27,0.11627906976744186,25,45,0.34615384615384615
niklas.7a72d922-1677-4fc8-9315-d7996ba05d8e_l150_s530325711_mpnn12,20,59,0.14492753623188406,26,99,0.12612612612612611
niklas.95b59203-b642-4754-bcd3-8e670a722c8d_l91_s349792600_mpnn19,14,42,0.16666666666666666,15,75,0.125
niklas.95b59203-b642-4754-bcd3-8e670a722c8d_l91_s349792600_mpnn2,16,45,0.17307692307692307,16,83,0.16470588235294117
niklas.e5a28fa3-3501-41c2-922c-ec848e0bc020_l81_s514858345_mpnn4,26,42,0.3333333333333333,29,84,0.2840909090909091
niklas.ee4629a9-322f-48f0-884d-8f4418db9bce_l151_s241659642_mpnn11,35,72,0.35443037974683544,38,118,0.20930232558139536
nitesh.mishra3.stepwise_egf_based_egfr_binder_3,16,24,0.1111111111111111,17,46,0.08620689655172414
nitesh.mishra3.stepwise_rfdiff_egfr_binder_1,17,35,0.18181818181818182,24,70,0.23684210526315788
nitesh.mishra3.stepwise_scaffold_egfr_binder_6,17,23,0.14285714285714285,24,46,0.34615384615384615
noah.holzleitner.noah_egfr-binder_1,21,34,0.34146341463414637,28,70,0.2727272727272727
noah.holzleitner.noah_egfr-binder_2,21,30,0.24390243902439024,29,67,0.17073170731707318
noah.holzleitner.noah_egfr-binder_3,23,36,0.3111111111111111,29,80,0.1978021978021978
noah.holzleitner.noah_egfr-binder_4,16,31,0.3055555555555556,18,47,0.0
noah.holzleitner.noah_egfr-binder_8,23,36,0.2826086956521739,29,74,0.32051282051282054
pastei5.egfr_binder_01,19,21,0.17647058823529413,16,56,0.0
paulafcfranklin.synth_rosetta_1,34,27,0.35555555555555557,42,44,0.4827586206896552
paulafcfranklin.synth_rosetta_10,36,27,0.3404255319148936,43,60,0.5373134328358209
paulafcfranklin.synth_rosetta_2,33,29,0.37777777777777777,41,60,0.44285714285714284
