complex,AF3_binder_Interface_size,Protenix_binder_interface_size,Binder_Jaccard,AF3_Target_interface_size,Protenix_Target_interface_size,target_jaccard
aureliabustos.wwt_noised_i_scaffold_shorted_var9391,31,47,0.5918367346938775,38,77,0.18556701030927836
duynth29.duy_l111_mpnn14_l80m_l42m,29,56,0.5178571428571429,32,71,0.0
merlettaia.seq6v4,9,68,0.1323529411764706,10,103,0.046296296296296294
lhallee.lhallee_128_driveid_3_4,16,77,0.10714285714285714,21,94,0.0
noah.holzleitner.noah_egfr-binder_4,16,27,0.5357142857142857,18,30,0.0
paulafcfranklin.synth_rosetta_9,34,48,0.5185185185185185,42,97,0.09448818897637795
xiuming_li2015.eureka_seq_1,21,73,0.2702702702702703,24,88,0.05660377358490566
christoph.gruber.upperbinder_scaffold3_lowerbinder,33,65,0.4626865671641791,54,105,0.07432432432432433
joel.rf_diffusion_trim_3,19,47,0.375,24,67,0.0
jude.wells.21.panitumumab_fused_trimmed_task_12_iter_123,22,83,0.14130434782608695,24,90,0.06542056074766354
stocco.filippo.1.3.3.18_13_0_iteration12_1.0279718223732435,14,41,0.34146341463414637,22,76,0.010309278350515464
nhaas.4,22,83,0.11702127659574468,25,99,0.024793388429752067
s1995825.cotimed_egf_netsolp_usability_2,32,45,0.6739130434782609,39,86,0.016260162601626018
minji.lee.3458,15,30,0.45161290322580644,17,38,0.057692307692307696
kerrding.seq8,34,36,0.37254901960784315,45,57,0.0851063829787234
julie.ryfqy,16,25,0.64,20,41,0.03389830508474576
keaun.gwfgvvfkadiagvsekvaielsggyegslttpsgwnq,16,38,0.42105263157894735,23,107,0.1016949152542373
junhee.park1999.egfr_binder_6,21,75,0.2,28,90,0.02608695652173913
darius.szablowski.egfr_binder_2___ggggs_3_linked_top_binders_1_and_2,41,59,0.47058823529411764,48,69,0.02631578947368421
stocco.filippo.1.3.3.18_65_0_iteration3_1.028317065130863,33,35,0.5111111111111111,43,66,0.12371134020618557
spacecruiser42.d2_prompt_binder_t0.8_88,11,19,0.5789473684210527,15,61,0.0410958904109589
duynth29.l88_mpnn5,25,29,0.8,33,42,0.0
julian.faust.pimurutamab_mpnn_17_scfv,23,105,0.19626168224299065,22,112,0.03076923076923077
s1995825.cotimed_egf_netsolp_usability_7,25,40,0.5476190476190477,22,63,0.024096385542168676
tim.silica_corpora_sampled_epitope_0_generated_variant_1_rank_8_phase_2,21,59,0.2698412698412698,17,74,0.08333333333333333
a.tucs.andrejs_tucs_seq3,31,40,0.6136363636363636,40,84,0.03333333333333333
aswini.seed1,32,46,0.5918367346938775,44,105,0.1640625
elian.elian2,30,45,0.6304347826086957,28,62,0.0
aureliabustos.bce_var464,31,44,0.5957446808510638,40,88,0.015873015873015872
qxy615.s1_rfd_base_46_60,15,29,0.4666666666666667,16,38,0.0
antorsae.ta_5_2,18,33,0.5454545454545454,25,69,0.044444444444444446
lennart.nickel.egfr_l98_s70756_mpnn3,20,28,0.5483870967741935,25,30,0.057692307692307696
aureliabustos.wwt_noised_i_scaffold_shorted_var6640,32,50,0.64,39,97,0.07936507936507936
gitter.yolo46,27,34,0.7941176470588235,26,40,0.0
dre.lgdl_egfr_001,9,37,0.24324324324324326,17,92,0.018691588785046728
paulafcfranklin.synth_rosetta_3,35,48,0.5961538461538461,42,102,0.09923664122137404
flowuenne.nf-proteindesign_design7,17,35,0.3333333333333333,19,60,0.06756756756756757
spacecruiser42.d2_prompt_binder_t0.8_42,10,19,0.5263157894736842,15,77,0.045454545454545456
z_peplib.pepseq_design_9,19,43,0.4418604651162791,33,68,0.01
begonia.sp.13.egfr_l61_s456546_mpnn1_model1,21,24,0.6071428571428571,28,36,0.0
s1995825.cotimed_egf_netsolp_usability_3,32,38,0.5555555555555556,39,46,0.0
jvogt4.vogt_scfv_2143,24,49,0.46,22,52,0.027777777777777776
jvogt4.vogt_scfv_2279,22,117,0.07751937984496124,22,113,0.015037593984962405
tim.silica_corpora_sampled_epitope_0_generated_variant_8_rank_1_phase_2,21,65,0.2112676056338028,20,89,0.009259259259259259
begonia.sp.13.egfr_l88_s11832_mpnn1_model2,23,42,0.5116279069767442,27,60,0.0
aswinijavadi160197.8_a,10,11,0.75,12,16,0.0
xiuming_li2015.eureka_seq_4,21,97,0.21649484536082475,23,132,0.06164383561643835
mosquitolkfo.nab_design_1,19,54,0.08955223880597014,26,79,0.009615384615384616
klima.jason.8hgo_design_8gswy_1_2,34,80,0.26666666666666666,42,91,0.10833333333333334
chuh.egfr_seg2_l58_s53469_mpnn1,26,31,0.78125,28,47,0.0
ccalia.paesani_lab_design8,31,102,0.24299065420560748,30,116,0.050359712230215826
zulfatmi.pocket1pep78,13,14,0.9285714285714286,32,47,0.025974025974025976
darius.szablowski.egfr_binder_5___ggggs_3_linked_top_binders_1_and_2_efficiently_evolved_and_sapiens_evolved,44,55,0.39436619718309857,55,70,0.008064516129032258
akash.arunabharathi.design8,19,68,0.12987012987012986,20,67,0.03571428571428571
x.rustamov.traj_11_8_model_5_0,23,51,0.34545454545454546,22,64,0.04878048780487805
cameron.kroll.gertrude_gen5,28,46,0.6086956521739131,31,54,0.04938271604938271
zhoup1366.dbz6___a,16,44,0.25,19,62,0.0
colby.tupegfr_010___anti-egfr_fv-like_protein_diffused_with_evodiff,18,97,0.10576923076923077,16,115,0.048
stocco.filippo.1.3.3.18_51_2_iteration3_1.0356664070457622,32,38,0.6666666666666666,41,57,0.010309278350515464
jvogt4.vogt_scfv_2009,19,59,0.25806451612903225,19,71,0.011235955056179775
alecl.relaxeda,32,30,0.631578947368421,36,50,0.10256410256410256
724928537.dbz7___a,14,51,0.2037037037037037,16,77,0.08139534883720931
toluwase.fatoki.toluwase_sequence6_112,21,77,0.24050632911392406,23,104,0.040983606557377046
ssomani.17,16,47,0.06779661016949153,16,62,0.012987012987012988
gitter.yolo48,18,27,0.5517241379310345,23,38,0.0
nhaas.6,17,148,0.07142857142857142,18,158,0.005714285714285714
nhaas.3,21,125,0.13178294573643412,29,142,0.049079754601226995
a.tucs.andrejs_tucs_seq6,18,33,0.275,24,46,0.0
martin.egfr_l165_s31019_mpnn3,26,53,0.43636363636363634,25,58,0.0375
724928537.dbz8___a,17,72,0.09876543209876543,16,98,0.08571428571428572
chrisxushaoyong.hu_nano1_3_eef94e,15,51,0.11864406779661017,20,77,0.010416666666666666
x.rustamov.p_vhh_partial_1_32,16,50,0.2222222222222222,19,69,0.023255813953488372
amirm.mhosseini.seq4,19,35,0.42105263157894735,16,67,0.0
cchallacombe.1,20,41,0.35555555555555557,24,55,0.025974025974025976
coreyhowe99.corey82,26,26,0.8571428571428571,29,36,0.0
antorsae.ta_4_4,16,22,0.4074074074074074,23,38,0.0
cameron.kroll.gertrude_gen3_s69d_n61e,23,49,0.44,21,62,0.0
qy.qilin.yu.10-13-21_sample267_complex_42_complex,19,30,0.48484848484848486,24,36,0.01694915254237288
markus.braun.egfr_binder_8,50,75,0.6233766233766234,50,82,0.0
biolucasmachado.engineered_binder_7,33,52,0.6037735849056604,41,93,0.19642857142857142
briannaughton.2_plus_1,38,86,0.4090909090909091,40,114,0.12408759124087591
kerrding.seq6,33,39,0.6,38,72,0.0891089108910891
tim.silica_corpora_regions_sampled_epitope_0_generated_variant_6_rank_7_phase_2,11,67,0.13043478260869565,12,77,0.022988505747126436
maxall4.egfr_ed_binder_l134_s906486_mpnn2_model1_unrelaxed_rank_001_alphafold2_multimer_v3_model_1_seed_000_top1_mutation_g108s_round1_y80d_chain_a,21,35,0.5555555555555556,25,54,0.0
kerrding.seq5,31,32,0.3695652173913043,37,48,0.024096385542168676
biolucasmachado.engineered_binder_2,19,46,0.25,22,85,0.0
s1995825.cotimed_egf_netsolp_usability_5,33,33,0.6097560975609756,37,55,0.01098901098901099
binom16.pocket2pep89,9,17,0.5294117647058824,14,78,0.01098901098901099
alex.naka.charmeleon,17,37,0.42105263157894735,21,71,0.0
nitesh.mishra3.stepwise_egf_based_egfr_binder_3,16,44,0.30434782608695654,17,83,0.030927835051546393
alejandro.corrochano-navarro.eng_scfv_binder_3,22,76,0.225,23,80,0.0
keaun.gwfgvvfkadiarvsefvaiglstgplgsestfsiwrq,14,35,0.4,22,79,0.12222222222222222
salireza111.seq166_3_002_4,15,33,0.45454545454545453,19,53,0.0
cetuximab_scfv,22,85,0.20224719101123595,23,107,0.031746031746031744
julian.faust.becotatugxpimurutamab_scfv,24,41,0.5476190476190477,23,45,0.11475409836065574
akash.arunabharathi.design4,14,88,0.1590909090909091,24,125,0.05673758865248227
mosquitolkfo.nab_design_3,19,84,0.14444444444444443,26,119,0.013986013986013986
allongoldberg.3_52_10_refined_ideal,20,31,0.3076923076923077,26,48,0.04225352112676056
huiyu.cai.h3_15_3351_h,11,47,0.23404255319148937,16,76,0.022222222222222223
baptiste.roelens.ognk,23,32,0.27906976744186046,27,53,0.012658227848101266
tadaskluonis.cotimed_egf_bcseq_2,33,38,0.6904761904761905,40,63,0.00980392156862745
elian.elian1,31,50,0.5882352941176471,29,70,0.0
rohith.mohan.model_67_69_2,22,33,0.5714285714285714,25,52,0.02666666666666667
paulafcfranklin.synth_rosetta_6,36,40,0.52,42,64,0.0
biolucasmachado.engineered_binder_6,36,49,0.5740740740740741,43,92,0.1440677966101695
antorsae.ta_4_5,17,24,0.41379310344827586,22,50,0.07462686567164178
biolucasmachado.engineered_binder_5,35,41,0.6521739130434783,41,65,0.325
joaosartori2.c1,34,44,0.625,40,87,0.058333333333333334
kurumida.yoichi.mg_05,15,25,0.5384615384615384,16,35,0.0
nicholas-schnicker.schnick_04,21,40,0.4878048780487805,25,54,0.025974025974025976
youngsuko2000.fast4,37,45,0.6078431372549019,42,94,0.014925373134328358
christoph.gruber.upperbinder_scaffold1_lowerbinder,37,59,0.45454545454545453,59,97,0.09090909090909091
lennart.nickel.egfr_l179_s82283_mpnn1,20,57,0.3050847457627119,19,64,0.0375
ccalia.paesani_lab_design3,37,82,0.32222222222222224,44,95,0.022058823529411766
zhoup1366.dbz7___a,20,81,0.18823529411764706,25,105,0.04838709677419355
x.rustamov.traj_9_8_model_1_0,14,47,0.2708333333333333,18,78,0.02127659574468085
jude.wells.21.6b3s_necitumumab_fused_trimmed_task_211_iter_150,24,118,0.10077519379844961,26,135,0.03205128205128205
qilin_y.test5,18,43,0.38636363636363635,23,66,0.0
joaosartori2.c4,36,41,0.4807692307692308,43,74,0.035398230088495575
maxall4.egfr_ed_binder_l132_s581930_mpnn1_model1_unrelaxed_rank_001_alphafold2_multimer_v3_model_1_seed_000_top1_mutation_r79a_round1_chain_a,29,59,0.3968253968253968,28,76,0.0
keaun.gafpvvfkadiarvsefvaigpstgylgslttmsgvnq,19,38,0.5,21,113,0.06349206349206349
christoph.gruber.upperbinder_xten_lowerbinder,26,45,0.33962264150943394,40,54,0.03296703296703297
ccalia.paesani_lab_design1,31,87,0.07272727272727272,30,93,0.0603448275862069
stocco.filippo.1.3.3.18_40_0_iteration12_1.0321554292304749,35,54,0.6481481481481481,42,90,0.07317073170731707
salireza111.seq166_7_003_9,17,35,0.4444444444444444,18,61,0.0
christoph.gruber.upperbinder_scaffold2_lowerbinder,43,60,0.5373134328358209,64,89,0.17692307692307693
enzo.morro.design_0_n_0_mpnn_1.117_plddt_0.713_i_ptm_0.082_i_pae_27.542_rmsd_25.669,24,59,0.38333333333333336,25,69,0.056179775280898875
jakublala.epitope_1_20aa.pdb,11,20,0.55,23,90,0.08653846153846154
enzo.morro.design_0_n_1_mpnn_1.085_plddt_0.817_i_ptm_0.076_i_pae_28.084_rmsd_25.372,28,46,0.574468085106383,30,62,0.09523809523809523
jakublala.full_dibinder_45aa.pdb,15,41,0.36585365853658536,17,92,0.0
antorsae.ta525_0_0,14,23,0.32142857142857145,22,40,0.0
amelie.schreiber.model_60_151_9,23,25,0.6,30,36,0.0
stocco.filippo.1.3.3.18_37_0_iteration3_1.024851931427025,15,34,0.225,21,64,0.0
tim.silica_corpora_regions_sampled_epitope_2_generated_variant_8_rank_3_phase_2,33,60,0.4090909090909091,33,88,0.025423728813559324
alex.naka.blastoise,33,38,0.4489795918367347,41,51,0.01098901098901099
binom16.pocket2pep86,11,14,0.6666666666666666,16,38,0.018867924528301886
begonia.sp.13.egfr_l110_s478327_mpnn7_model2,28,49,0.5714285714285714,28,72,0.02040816326530612
allongoldberg.3_52_1_refined,16,31,0.46875,23,50,0.0
huiyu.cai.h3_15_2431_h,20,49,0.3269230769230769,16,65,0.0125
amelie.schreiber.model_83_156_16,30,47,0.54,33,62,0.010638297872340425
briannaughton.1_plus_egfr,50,84,0.4888888888888889,52,133,0.022099447513812154
lhallee.lhallee_40_full_driveid_8_9,11,39,0.28205128205128205,15,108,0.00819672131147541
x.rustamov.traj_6_1_model_1_8,24,50,0.2982456140350877,23,62,0.1038961038961039
julie.jg26n,17,23,0.7391304347826086,20,41,0.0
human_egf,33,44,0.54,40,81,0.06140350877192982
lennart.nickel.egfr_l114_s69310_mpnn7,22,47,0.4375,24,55,0.0
youngsuko2000.last,38,52,0.6363636363636364,48,106,0.17557251908396945
zhoup1366.dbz8___a,15,47,0.3191489361702128,21,71,0.045454545454545456
huiyu.cai.h3_15_877_h,26,39,0.5116279069767442,25,56,0.0125
tadaskluonis.cotimed_egf_bcseq_1,33,46,0.717391304347826,39,122,0.09523809523809523
alan.blakely.12_3,40,85,0.4367816091954023,41,99,0.021897810218978103
a.tucs.andrejs_tucs_seq4,30,20,0.47058823529411764,39,29,0.0
martin.egfr_l121_s46924_mpnn18,31,51,0.4909090909090909,27,56,0.0
qilin_y.test6,22,57,0.3389830508474576,17,80,0.10227272727272728
niklas.7a72d922-1677-4fc8-9315-d7996ba05d8e_l150_s530325711_mpnn12,20,57,0.3275862068965517,26,67,0.06896551724137931
lhallee.lhallee_40_target_driveid_10,14,40,0.35,19,98,0.035398230088495575
youngsuko2000.queen,37,50,0.6730769230769231,45,90,0.07142857142857142
alecl.unrelaxeda,28,47,0.5306122448979592,40,97,0.0873015873015873
lennart.nickel.egfr_l170_s20625_mpnn10,32,54,0.4827586206896552,32,59,0.011111111111111112
bundit.b_s18.manbaritone_seq3_egfr-binder-70-100_beta_303_dldesign_6_lenght71,29,39,0.6190476190476191,25,43,0.07936507936507936
lyu.3,28,43,0.5106382978723404,27,62,0.07228915662650602
alessio.daddio.ad_1,31,48,0.6122448979591837,36,77,0.046296296296296294
revoli.mutated_nab_8,40,86,0.2857142857142857,47,122,0.043209876543209874
nitesh.mishra3.stepwise_scaffold_egfr_binder_6,17,18,0.12903225806451613,24,29,0.019230769230769232
karmanyaaggarwal.ds003076,18,40,0.0,20,51,0.0
biolucasmachado.engineered_binder_4,38,35,0.5208333333333334,46,55,0.01
fernando.meireles.design_hybrid_partial_diff_7_1_binder,22,45,0.45652173913043476,30,65,0.0
724928537.dbz6___a,24,44,0.4782608695652174,25,66,0.0
lyu.2,33,42,0.7045454545454546,29,73,0.02
antorsae.ta_5_3,16,25,0.41379310344827586,22,48,0.0
alex.naka.charizard,16,44,0.36363636363636365,23,87,0.009174311926605505
amirm.mhosseini.seq9,18,31,0.4,18,50,0.014925373134328358
klima.jason.8hgo_design_94eja_1_5,15,84,0.16470588235294117,21,143,0.0379746835443038
toluwase.fatoki.toluwase_sequence3_119,10,73,0.12162162162162163,14,135,0.034722222222222224
duynth29.duy_l111_mpnn14_i36m__l80m_l42m,28,44,0.6,31,58,0.0
noah.holzleitner.noah_egfr-binder_3,23,26,0.75,29,37,0.0
pastei5.egfr_binder_01,19,61,0.15942028985507245,16,136,0.04827586206896552
paulafcfranklin.synth_rosetta_7,36,42,0.625,39,61,0.0
fernando.meireles.design_hybrid_partial_diff_4_31_binder,28,58,0.3870967741935484,36,81,0.017391304347826087
a.tucs.andrejs_tucs_seq7,32,36,0.5813953488372093,38,62,0.010101010101010102
biolucasmachado.engineered_binder_3,29,48,0.5714285714285714,41,102,0.12598425196850394
cbrown.cbrown_0005_2_egfr_l81_s801188_mpnn1_model1,25,41,0.5,25,75,0.0
aureliabustos.wt_noised_i_scaffold_shorted_var71,34,45,0.6458333333333334,39,86,0.008064516129032258
tadej.satler.egfr_binder_3,31,54,0.39344262295081966,26,84,0.06796116504854369
aswini.seed2_3,29,43,0.5652173913043478,29,88,0.13592233009708737
a.tucs.andrejs_tucs_seq2,32,29,0.7941176470588235,40,45,0.08974358974358974
bundit.b_s18.manbaritone_seq6_egfr-binder-70-100_beta_778_dldesign_0_length71,25,36,0.6944444444444444,28,38,0.0
binom16.pocket7pep80,9,17,0.5294117647058824,16,61,0.02666666666666667
binom16.pocket1pep15,9,15,0.6,18,53,0.05970149253731343
s1995825.cotimed_egf_netsolp_usability_4,33,33,0.4666666666666667,38,58,0.02127659574468085
elian.elian5,31,51,0.43859649122807015,29,76,0.039603960396039604
martin.egfr_l142_s75963_mpnn1,31,46,0.6041666666666666,28,61,0.03488372093023256
praghava531.seq2,13,40,0.23255813953488372,15,49,0.0
hughy.4krp_b_a_89_rnd3_full,11,63,0.15625,13,92,0.019417475728155338
a.tucs.andrejs_tucs_seq10,30,30,0.5384615384615384,41,59,0.010101010101010102
niklas.e5a28fa3-3501-41c2-922c-ec848e0bc020_l81_s514858345_mpnn4,26,38,0.6,29,54,0.0375
mchrnwsk.marta_chronowska_dom1_l99_s666690_mpnn16,20,36,0.4,26,55,0.06578947368421052
hughy.7om4_b_a_180_rnd1_v1_full,15,39,0.38461538461538464,17,49,0.015384615384615385
alan.blakely.12_6,33,93,0.3263157894736842,36,115,0.006666666666666667
minji.lee.386,12,36,0.23076923076923078,11,48,0.05357142857142857
revoli.mutated_nab_5,34,53,0.22535211267605634,41,84,0.10619469026548672
allongoldberg.4_44,20,44,0.391304347826087,24,67,0.03409090909090909
tadaskluonis.cotimed_egf_bcseq_0,30,44,0.6086956521739131,39,122,0.08053691275167785
biolucasmachado.engineered_binder_1,15,47,0.2653061224489796,17,78,0.07954545454545454
kerrding.seq7,32,32,0.45454545454545453,42,56,0.0
duynth29.l148_mpnn1,26,46,0.5319148936170213,30,57,0.0
hughy.7om4_b_a_17_rnd2_v2_full,33,59,0.21052631578947367,44,71,0.13861386138613863
spacecruiser42.d2_prompt_binder_t1.0_37,11,16,0.6875,20,50,0.029411764705882353
martin.egfr_l177_s77884_mpnn7,22,54,0.3333333333333333,21,62,0.0375
darius.szablowski.egfr_binder_3___ggggs_3_linked_top_binders_1_rev_and_2_rev,23,69,0.08235294117647059,24,79,0.05102040816326531
chrisxushaoyong.hu_nano1_5_559c85,13,55,0.0967741935483871,16,86,0.02
paulafcfranklin.synth_rosetta_8,34,46,0.48148148148148145,44,87,0.03968253968253968
mlange05.b,31,41,0.6744186046511628,31,51,0.10810810810810811
antorsae.ta_5_1,11,20,0.24,19,45,0.03225806451612903
tim.silica_corpora_sampled_epitope_2_generated_variant_9_rank_6_phase_2,19,54,0.140625,24,67,0.1375
wtj19921231.egfr_binder_design_208_dldesign_0_cycle1_run5_af2pred.pdb_a,20,36,0.36585365853658536,23,65,0.023255813953488372
chuh.egfr_seg1_l58_s941869_mpnn2,15,22,0.6086956521739131,18,37,0.0
jude.wells.21.6b3s_necitumumab_fused_trimmed_task_89_iter_216,24,97,0.14150943396226415,26,116,0.0
jakublala.epitope_1_30aa.pdb,14,28,0.4482758620689655,19,74,0.03333333333333333
paulafcfranklin.synth_rosetta_10,36,40,0.46153846153846156,43,98,0.029197080291970802
a.tucs.andrejs_tucs_seq9,31,37,0.5813953488372093,36,70,0.02912621359223301
chuh.egfr_seg2_l62_s244475_mpnn4,24,26,0.8518518518518519,26,36,0.0
zalavi.zalavi3_ggg_shortpacesa,27,63,0.3235294117647059,26,74,0.02040816326530612
paulafcfranklin.synth_rosetta_5,33,38,0.42,43,61,0.08333333333333333
stocco.filippo.1.3.3.18_4_2_iteration0_1.0407930462953479,36,40,0.7272727272727273,40,68,0.17391304347826086
julian.faust.pimurutamab_mpnn_18_scfv,22,69,0.3,22,80,0.04081632653061224
dre.lgdl_egfr_008,14,38,0.3684210526315789,17,111,0.04918032786885246
darius.szablowski.egfr_binder_4___ggggs_3_linked_top_binders_1_and_2_efficiently_evolved,31,72,0.410958904109589,39,97,0.014925373134328358
markus.braun.egfr_binder_3,64,91,0.631578947368421,48,101,0.09558823529411764
mosquitolkfo.nab_design_7,19,55,0.15625,24,70,0.010752688172043012
klima.jason.8hgo_design_vdcjs_1_2,24,65,0.15584415584415584,29,99,0.03225806451612903
allongoldberg.3_52,16,38,0.2558139534883721,21,54,0.041666666666666664
jude.wells.21.panitumumab_fused_trimmed_crossbreed3,21,139,0.1347517730496454,24,148,0.04878048780487805
bundit.b_s18.manbaritone_seq5_egfr-binder-70-100_beta_303_dldesign_1_length71,28,33,0.6486486486486487,27,44,0.09230769230769231
qilin_y.test8,8,27,0.2962962962962963,12,66,0.0
spacecruiser42.d2_prompt_binder_t1.0_139,15,20,0.75,22,67,0.022988505747126436
biolucasmachado.engineered_binder_9,28,42,0.5555555555555556,40,71,0.16842105263157894
darius.szablowski.egfr_binder_1___top_binder_1,21,38,0.5128205128205128,27,56,0.0
lhallee.lhallee_128_driveid_1_2,29,100,0.22857142857142856,44,147,0.08522727272727272
alessio.daddio.ad_4,30,50,0.5686274509803921,27,75,0.0
aswini.clipgen30,14,39,0.358974358974359,15,83,0.010309278350515464
alessio.daddio.ad_9,23,64,0.3181818181818182,26,88,0.02702702702702703
zhoup1366.dbz1___a,19,59,0.14705882352941177,16,73,0.0
cameron.kroll.leitner,29,47,0.5510204081632653,27,57,0.024390243902439025
gitter.yolo23,23,33,0.6470588235294118,28,50,0.0
biolucasmachado.engineered_binder_8,35,38,0.40384615384615385,41,74,0.026785714285714284
maxall4.egfr_ed_binder_l124_s860500_mpnn1_model1_unrelaxed_rank_001_alphafold2_multimer_v3_model_1_seed_000_top1_mutation_d81n_round1_chain_a,33,43,0.6888888888888889,32,64,0.0
chrisxushaoyong.hu_nano2_4_85252b,17,61,0.21875,27,75,0.0
mosquitolkfo.nab_design_9,20,44,0.10344827586206896,27,68,0.0
eceiiitn786.8s2,25,36,0.4523809523809524,27,63,0.034482758620689655
mlange05.a,27,56,0.4067796610169492,25,65,0.125
z_peplib.pepseq_design_8,11,29,0.3333333333333333,16,50,0.06451612903225806
keaun.gifgvvfkadiarvsidvaidystgylgslttfsgcnq,6,38,0.15789473684210525,7,88,0.03260869565217391
chrisxushaoyong.hu_nano1_1_ff3e18,24,49,0.23728813559322035,26,71,0.031914893617021274
colby.tupegfr_001___anti-egfr_fv-like_protein_diffused_with_evodiff,38,170,0.1751412429378531,32,228,0.04838709677419355
nhaas.2,25,103,0.18518518518518517,27,107,0.046875
noah.holzleitner.noah_egfr-binder_2,21,29,0.5625,29,42,0.0
briannaughton.2_plus_2,56,114,0.452991452991453,59,152,0.07106598984771574
qxy615.s1_rfd_comp_beta_782_81,13,30,0.3870967741935484,19,46,0.0
carson.vaux.baker1_18,16,25,0.5185185185185185,22,32,0.038461538461538464
alex.naka.charmander,36,35,0.5434782608695652,43,59,0.04081632653061224
jakublala.epitope_2_30aa_1.pdb,9,30,0.3,15,81,0.03225806451612903
julian.faust.demupitamab_mpnn_19_scfv,24,105,0.09322033898305085,25,114,0.014598540145985401
tiejun.wei.egfr_binder_design_208_dldesign_10_af2pred.pdb_a,32,32,0.7297297297297297,48,44,0.01098901098901099
antorsae.t0.1_sample939_score0.9451_global_score1.3625_seq_recovery0.4250,13,26,0.3448275862068966,22,50,0.014084507042253521
alex.naka.wartortle,31,40,0.4791666666666667,43,60,0.11956521739130435
salireza111.seq119_3_001_8,14,33,0.42424242424242425,15,43,0.017543859649122806
karmanyaaggarwal.ds004729,15,41,0.09803921568627451,18,57,0.13636363636363635
jakublala.full_dibinder_45aa_2.pdb,15,43,0.3488372093023256,17,108,0.016260162601626018
enzo.morro.design_0_n_2_mpnn_1.120_plddt_0.858_i_ptm_0.072_i_pae_28.117_rmsd_30.276,28,70,0.4,25,88,0.17708333333333334
salireza111.seq166_1_001_7,17,26,0.5925925925925926,18,35,0.019230769230769232
duynth29.duy_l111_mpnn14,29,41,0.627906976744186,31,55,0.0
alex.naka.squirtle,31,29,0.5384615384615384,44,57,0.0
zalavi.shortrustamov_ggg_zalavi3,54,80,0.5581395348837209,58,103,0.08783783783783784
zulfatmi.pocket7pep42,11,13,0.8461538461538461,17,52,0.014705882352941176
karmanyaaggarwal.ds002542,17,54,0.2909090909090909,16,57,0.013888888888888888
ali.rasouli.intern.model_77_142_3,22,38,0.17647058823529413,23,59,0.17142857142857143
tarkhov.andrey.erithacus_rubecula_gigantus_9,16,92,0.08,19,97,0.02654867256637168
hughy.7om4_b_a_33_rnd2_v2_full,24,47,0.26785714285714285,23,73,0.010526315789473684
