complex_id,af3_contacts,af2_contacts,overlap_contacts
ccalia.paesani_lab_design9,102,87,64
cchallacombe.1,71,94,0
cchallacombe.4,99,111,0
cchallacombe.6,45,114,0
chenceshi1105.steven_binder_design_l75_s60968_it100_mpnn0,77,78,73
chenceshi1105.steven_binder_design_l82_s44755_it100_mpnn6,70,71,57
chenceshi1105.steven_binder_design_l89_s48081_it100_mpnn4,54,57,51
christoph.gruber.binder12_1,48,53,28
christoph.gruber.upperbinder_scaffold1_lowerbinder,160,30,0
christoph.gruber.upperbinder_scaffold2_lowerbinder,190,65,2
christoph.gruber.upperbinder_scaffold3_lowerbinder,147,104,32
christoph.gruber.upperbinder_xten_lowerbinder,101,83,37
chrisxushaoyong.hu_nano1_1_ff3e18,73,40,0
chrisxushaoyong.hu_nano1_3_eef94e,51,42,26
chrisxushaoyong.hu_nano1_5_559c85,46,65,0
chrisxushaoyong.hu_nano2_2_7ef96e,64,83,0
chrisxushaoyong.hu_nano2_4_85252b,66,49,0
chuh.egfr_seg1_l58_s941869_mpnn2,43,38,36
chuh.egfr_seg2_l58_s53469_mpnn1,65,73,62
chuh.egfr_seg2_l62_s244475_mpnn4,68,71,66
colby.tupegfr_001___anti-egfr_fv-like_protein_diffused_with_evodiff,97,182,3
colby.tupegfr_006___anti-egfr_fv-like_protein_diffused_with_evodiff,79,138,0
colby.tupegfr_010___anti-egfr_fv-like_protein_diffused_with_evodiff,51,133,2
colby.tupegfr_012___anti-egfr_fv-like_protein_diffused_with_evodiff,63,167,1
colby.tupegfr_018___anti-egfr_fv-like_protein_diffused_with_esm3,85,126,0
coreyhowe99.corey82,76,77,72
darius.szablowski.egfr_binder_1___top_binder_1,72,62,57
darius.szablowski.egfr_binder_2___ggggs_3_linked_top_binders_1_and_2,127,87,71
darius.szablowski.egfr_binder_3___ggggs_3_linked_top_binders_1_rev_and_2_rev,56,173,0
darius.szablowski.egfr_binder_4___ggggs_3_linked_top_binders_1_and_2_efficiently_evolved,95,89,0
darius.szablowski.egfr_binder_5___ggggs_3_linked_top_binders_1_and_2_efficiently_evolved_and_sapiens_evolved,145,87,0
deepsatflow.6aru_final_chain_a_domain_3_l138_s466479_mpnn9,91,93,83
deepsatflow.6aru_final_chain_a_domain_3_l142_s806907_mpnn1,69,69,61
deepsatflow.6aru_final_chain_a_domain_3_l147_s945609_mpnn1,70,67,55
dre.lgdl_egfr_001,39,80,0
dre.lgdl_egfr_008,41,50,5
duynth29.duy_l111_mpnn14,91,98,75
duynth29.duy_l111_mpnn14_i36m__l80m_l42m,88,103,57
duynth29.duy_l111_mpnn14_l80m_l42m,89,84,0
duynth29.l148_mpnn1,74,73,69
duynth29.l88_mpnn5,79,97,70
eceiiitn786.8s2,71,94,0
elian.elian1,87,86,80
elian.elian2,78,85,72
elian.elian3,81,79,71
elian.elian4,78,81,74
elian.elian5,87,84,78
enzo.morro.design_0_n_0_mpnn_1.117_plddt_0.713_i_ptm_0.082_i_pae_27.542_rmsd_25.669,71,72,0
enzo.morro.design_0_n_1_mpnn_1.085_plddt_0.817_i_ptm_0.076_i_pae_28.084_rmsd_25.372,86,112,2
enzo.morro.design_0_n_2_mpnn_1.120_plddt_0.858_i_ptm_0.072_i_pae_28.117_rmsd_30.276,75,131,0
fernando.meireles.design_hybrid_partial_diff_4_31_binder,85,80,39
fernando.meireles.design_hybrid_partial_diff_7_1_binder,75,127,10
fernando.meireles.design_hybrid_partial_diff_9_54_binder,75,98,2
fgndd1.fg_seq1,76,87,73
flowuenne.nf-proteindesign_design10,39,41,0
flowuenne.nf-proteindesign_design7,51,44,15
flowuenne.nf-proteindesign_design8,60,24,1
gitter.yolo23,72,73,64
gitter.yolo46,74,76,68
gitter.yolo48,56,56,50
hughy.4krp_b_a_89_rnd3_full,31,61,0
hughy.7om4_b_a_17_rnd2_v2_full,108,106,0
hughy.7om4_b_a_180_rnd1_v1_full,45,73,4
hughy.7om4_b_a_33_rnd2_v2_full,57,59,0
hughy.7om4_b_a_8_rnd2_v2_full,50,50,0
huiyu.cai.h3_15_2431_h,44,117,0
huiyu.cai.h3_15_2847_h,55,44,20
huiyu.cai.h3_15_3351_h,36,48,0
huiyu.cai.h3_15_4373_h,57,51,0
huiyu.cai.h3_15_877_h,82,90,3
jack.li.egfrbindingcandidate_7,55,254,0
jakublala.epitope_1_20aa.pdb,50,74,9
jakublala.epitope_1_30aa.pdb,48,40,35
jakublala.epitope_2_30aa_1.pdb,31,62,0
jakublala.full_dibinder_45aa.pdb,49,45,41
jakublala.full_dibinder_45aa_2.pdb,45,46,40
joaosartori2.c1,111,112,97
joaosartori2.c3,108,118,103
joaosartori2.c4,122,122,105
joaosartori2.c6,110,115,94
joel.rf_diffusion_trim_3,61,111,0
jude.wells.21.6b3s_necitumumab_fused_trimmed_task_211_iter_150,72,77,67
jude.wells.21.6b3s_necitumumab_fused_trimmed_task_89_iter_216,73,77,64
jude.wells.21.6b3s_necitumumab_fused_trimmed_task_98_iter_184,73,74,69
jude.wells.21.panitumumab_fused_trimmed_crossbreed3,67,93,59
jude.wells.21.panitumumab_fused_trimmed_task_12_iter_123,67,83,11
julian.faust.becotatugxpimurutamab_scfv,80,69,65
julian.faust.demupitamab_mpnn_19_scfv,73,65,62
julian.faust.pimurutamab_mpnn_17_scfv,73,74,63
julian.faust.pimurutamab_mpnn_18_scfv,71,70,63
julian.faust.pimurutamabxbecotatug_scfv,76,72,66
julie.jg26n,53,68,52
julie.rj0aa,56,54,51
julie.ryfqy,51,50,47
junhee.park1999.egfr_binder_6,73,74,66
junhee.park1999.egfr_binder_7,74,76,67
junhee.park1999.egfr_binder_9,72,70,61
jvogt4.vogt_scfv_0128,64,93,6
jvogt4.vogt_scfv_2009,45,94,19
jvogt4.vogt_scfv_2143,68,92,13
jvogt4.vogt_scfv_2279,60,99,12
jvogt4.vogt_scfv_2470,50,86,0
karmanyaaggarwal.ds002542,45,60,0
karmanyaaggarwal.ds003076,48,59,22
karmanyaaggarwal.ds004729,46,53,24
keaun.gafpvvfkadiarvsefvaigpstgylgslttmsgvnq,59,106,0
keaun.gifgvvfkadiarvsidvaidystgylgslttfsgcnq,18,117,0
keaun.gwfgvvfkadiagvsekvaielsggyegslttpsgwnq,54,111,0
keaun.gwfgvvfkadiardsefvailesqgylssittfsgwnq,51,128,0
keaun.gwfgvvfkadiarvsefvaiglstgplgsestfsiwrq,47,102,3
kerrding.seq5,101,101,87
kerrding.seq6,100,104,90
kerrding.seq7,109,112,104
kerrding.seq8,113,112,105
kerrding.seq9,34,112,4
klima.jason.8hgo_design_4yyaf_0_0,72,158,60
klima.jason.8hgo_design_8gswy_1_2,98,85,0
klima.jason.8hgo_design_94eja_1_5,40,166,0
klima.jason.8hgo_design_jt8s1_0_3_proteinmpnn_20,131,106,1
klima.jason.8hgo_design_vdcjs_1_2,71,76,0
kurumida.yoichi.mg_05,53,54,48
lennart.nickel.egfr_l114_s69310_mpnn7,71,73,63
lennart.nickel.egfr_l139_s63093_mpnn2,64,69,54
lennart.nickel.egfr_l170_s20625_mpnn10,83,93,70
lennart.nickel.egfr_l179_s82283_mpnn1,55,58,50
lennart.nickel.egfr_l98_s70756_mpnn3,66,71,62
lhallee.lhallee_128_driveid_1_2,76,181,0
lhallee.lhallee_128_driveid_3_4,53,87,1
lhallee.lhallee_20_on_target_2000,41,66,13
lhallee.lhallee_40_full_driveid_8_9,35,115,0
lhallee.lhallee_40_target_driveid_10,42,106,5
lyu.1,82,74,69
lyu.2,90,85,77
lyu.3,75,72,65
markus.braun.egfr_binder_1,136,173,1
markus.braun.egfr_binder_3,163,79,0
markus.braun.egfr_binder_6,139,120,103
markus.braun.egfr_binder_7,149,74,0
markus.braun.egfr_binder_8,160,160,138
martin.egfr_l111_s89744_mpnn1,47,60,37
martin.egfr_l121_s46924_mpnn18,88,84,76
martin.egfr_l142_s75963_mpnn1,75,90,50
martin.egfr_l165_s31019_mpnn3,73,67,52
martin.egfr_l177_s77884_mpnn7,55,75,5
maxall4.egfr_ed_binder_l124_s860500_mpnn1_model1_unrelaxed_rank_001_alphafold2_multimer_v3_model_1_seed_000_top1_mutation_d81n_round1_chain_a,99,101,91
maxall4.egfr_ed_binder_l132_s581930_mpnn1_model1_unrelaxed_rank_001_alphafold2_multimer_v3_model_1_seed_000_top1_mutation_r79a_round1_chain_a,74,71,66
maxall4.egfr_ed_binder_l134_s906486_mpnn2_model1_unrelaxed_rank_001_alphafold2_multimer_v3_model_1_seed_000_top1_mutation_g108s_round1_y80d_chain_a,73,73,66
maxall4.egfr_ed_binder_l134_s906486_mpnn2_model1_unrelaxed_rank_001_alphafold2_multimer_v3_model_1_seed_000_top1_mutation_g108s_round1_chain_a,74,79,69
maxall4.egfr_trim_l126_s498823_mpnn2_model1_unrelaxed_rank_001_alphafold2_multimer_v3_model_1_seed_000_top1_mutation_l39g_round1_chain_a,71,76,62
mchrnwsk.marta_chronowska_dom1_l99_s666690_mpnn16,66,69,54
merlettaia.seq0v3,105,71,0
merlettaia.seq0v4,50,59,22
merlettaia.seq52v3,51,43,0
merlettaia.seq6v4,23,46,0
merlettaia.seq70v3,62,93,14
minji.lee.111,83,14,0
minji.lee.3458,48,100,0
minji.lee.386,31,111,0
minji.lee.3995,47,62,17
minji.lee.459,56,72,5
mlange05.a,72,61,0
mlange05.b,89,86,78
mlange05.c,52,75,4
mosquitolkfo.nab_design_1,69,129,0
mosquitolkfo.nab_design_3,68,101,0
mosquitolkfo.nab_design_6,67,109,0
mosquitolkfo.nab_design_7,69,83,0
mosquitolkfo.nab_design_9,73,86,0
nhaas.2,80,88,41
nhaas.3,75,79,4
nhaas.4,68,134,6
nhaas.6,52,89,0
nhaas.8,74,69,10
nicholas-schnicker.schnick_04,68,62,60
niklas.7a72d922-1677-4fc8-9315-d7996ba05d8e_l150_s530325711_mpnn12,61,65,55
niklas.95b59203-b642-4754-bcd3-8e670a722c8d_l91_s349792600_mpnn19,38,38,36
niklas.95b59203-b642-4754-bcd3-8e670a722c8d_l91_s349792600_mpnn2,45,44,39
niklas.e5a28fa3-3501-41c2-922c-ec848e0bc020_l81_s514858345_mpnn4,82,85,79
niklas.ee4629a9-322f-48f0-884d-8f4418db9bce_l151_s241659642_mpnn11,95,80,73
nitesh.mishra3.stepwise_egf_based_egfr_binder_3,44,105,5
nitesh.mishra3.stepwise_rfdiff_egfr_binder_1,51,54,48
nitesh.mishra3.stepwise_scaffold_egfr_binder_6,52,54,49
noah.holzleitner.noah_egfr-binder_1,67,61,58
noah.holzleitner.noah_egfr-binder_2,62,64,57
noah.holzleitner.noah_egfr-binder_3,74,77,70
noah.holzleitner.noah_egfr-binder_4,49,47,44
noah.holzleitner.noah_egfr-binder_8,73,77,62
pastei5.egfr_binder_01,42,90,0
paulafcfranklin.synth_rosetta_1,113,111,103
paulafcfranklin.synth_rosetta_10,112,114,102
paulafcfranklin.synth_rosetta_2,112,112,102
paulafcfranklin.synth_rosetta_3,115,110,103
paulafcfranklin.synth_rosetta_4,112,110,101
paulafcfranklin.synth_rosetta_5,113,116,107
paulafcfranklin.synth_rosetta_6,114,114,105
paulafcfranklin.synth_rosetta_7,115,110,101
paulafcfranklin.synth_rosetta_8,114,112,104
paulafcfranklin.synth_rosetta_9,113,113,103
praghava531.seq2,33,89,23
qilin_y.test4,38,93,0
qilin_y.test5,57,50,0
qilin_y.test6,54,110,16
qilin_y.test7,40,39,0
qilin_y.test8,27,47,0
qxy615.s1_rfd_base_46_60,35,63,0
qxy615.s1_rfd_base_46_94,54,48,38
qxy615.s1_rfd_comp_beta_782_81,43,51,0
qy.qilin.yu.10-13-21_sample267_complex_42_complex,60,112,6
revoli.mutated_nab_5,105,50,0
revoli.mutated_nab_8,121,79,0
revoli.mutated_nab_9,100,87,0
rohith.mohan.model_67_69_2,61,70,31
round1zeroshot.k5q_n70s_k71r_n73t_s87t_n88d_r179k_k183r_e213d_s214p,71,70,64
s1995825.cotimed_egf_netsolp_usability_1,100,108,95
s1995825.cotimed_egf_netsolp_usability_2,102,110,98
s1995825.cotimed_egf_netsolp_usability_3,98,106,91
s1995825.cotimed_egf_netsolp_usability_4,105,105,89
s1995825.cotimed_egf_netsolp_usability_5,97,105,84
s1995825.cotimed_egf_netsolp_usability_6,100,111,93
s1995825.cotimed_egf_netsolp_usability_7,62,108,0
s1995825.cotimed_egf_netsolp_usability_8,101,102,85
s1995825.timed_egf_netsolp_usability_consensus_1,100,104,88
s1995825.timed_egf_netsolp_usability_consensus_2,98,102,87
salireza111.seq119_3_001_8,32,43,0
salireza111.seq166_1_001_7,59,41,34
salireza111.seq166_3_002_4,54,87,48
salireza111.seq166_7_003_9,55,105,6
salireza111.seq206_1_001_6,61,43,0
silvia.toscani.b_egfr_6,70,52,0
spacecruiser42.d2_prompt_binder_t0.8_42,35,67,4
spacecruiser42.d2_prompt_binder_t0.8_88,36,30,22
spacecruiser42.d2_prompt_binder_t1.0_139,43,69,0
spacecruiser42.d2_prompt_binder_t1.0_22,45,67,6
spacecruiser42.d2_prompt_binder_t1.0_37,34,50,0
ssomani.17,50,51,42
stocco.filippo.1.3.3.18_13_0_iteration12_1.0279718223732435,49,100,42
stocco.filippo.1.3.3.18_37_0_iteration3_1.024851931427025,49,102,38
stocco.filippo.1.3.3.18_40_0_iteration12_1.0321554292304749,113,118,101
stocco.filippo.1.3.3.18_4_2_iteration0_1.0407930462953479,113,110,101
stocco.filippo.1.3.3.18_51_2_iteration3_1.0356664070457622,108,112,93
stocco.filippo.1.3.3.18_65_0_iteration3_1.028317065130863,112,119,101
tadaskluonis.cotimed_egf_bcseq_0,100,95,62
tadaskluonis.cotimed_egf_bcseq_1,106,113,98
tadaskluonis.cotimed_egf_bcseq_2,99,114,93
tadej.satler.egfr_binder_3,75,130,73
tarkhov.andrey.erithacus_rubecula_gigantus_1,78,202,1
tarkhov.andrey.erithacus_rubecula_gigantus_4,84,147,1
tarkhov.andrey.erithacus_rubecula_gigantus_7,85,173,0
tarkhov.andrey.erithacus_rubecula_gigantus_8,89,192,5
tarkhov.andrey.erithacus_rubecula_gigantus_9,38,256,0
tiejun.wei.egfr_binder_design_208_dldesign_10_af2pred.pdb_a,120,114,88
tim.silica_corpora_regions_sampled_epitope_0_generated_variant_6_rank_7_phase_2,28,128,0
tim.silica_corpora_regions_sampled_epitope_2_generated_variant_8_rank_3_phase_2,96,98,0
tim.silica_corpora_sampled_epitope_0_generated_variant_1_rank_8_phase_2,50,63,0
tim.silica_corpora_sampled_epitope_0_generated_variant_8_rank_1_phase_2,49,50,34
tim.silica_corpora_sampled_epitope_2_generated_variant_9_rank_6_phase_2,64,130,27
toluwase.fatoki.toluwase_sequence3_119,33,153,1
toluwase.fatoki.toluwase_sequence4_148,75,64,0
toluwase.fatoki.toluwase_sequence6_112,61,134,0
wtj19921231.egfr_binder_design_208_dldesign_0_cycle1_run5_af2pred.pdb_a,66,117,4
x.rustamov.p_vhh_partial_1_32,51,101,0
x.rustamov.traj_11_8_model_5_0,62,74,0
x.rustamov.traj_4_8_model_1_5,64,90,0
x.rustamov.traj_6_1_model_1_8,77,87,0
x.rustamov.traj_9_8_model_1_0,40,94,0
xiuming_li2015.eureka_seq_1,76,69,17
xiuming_li2015.eureka_seq_3,77,37,4
xiuming_li2015.eureka_seq_4,76,70,3
youngsuko2000.fast4,120,117,101
youngsuko2000.last,123,115,101
youngsuko2000.queen,124,125,111
z_peplib.pepseq_design_6,48,115,5
z_peplib.pepseq_design_8,34,106,0
z_peplib.pepseq_design_9,66,94,0
zalavi.shortrustamov_ggg_zalavi3,158,137,122
zalavi.zalavi3_ggg_shortpacesa,75,87,68
zalavi.zalavi3_mergedaltered_rustamov,152,91,79
zhoup1366.dbz1___a,50,46,28
zhoup1366.dbz10___a,49,47,0
zhoup1366.dbz6___a,46,57,29
zhoup1366.dbz7___a,50,47,0
zhoup1366.dbz8___a,49,91,0
zulfatmi.pocket1pep78,71,62,0
zulfatmi.pocket2pep63,24,57,2
zulfatmi.pocket7pep42,34,31,0
