complex_id,af3_contacts,helixfold_contacts,overlap_contacts
chenceshi1105.steven_binder_design_l82_s44755_it100_mpnn6,70,67,48
chenceshi1105.steven_binder_design_l89_s48081_it100_mpnn4,54,59,52
christoph.gruber.binder12_1,48,72,1
christoph.gruber.upperbinder_scaffold1_lowerbinder,160,65,45
christoph.gruber.upperbinder_scaffold2_lowerbinder,190,35,2
christoph.gruber.upperbinder_scaffold3_lowerbinder,147,46,1
christoph.gruber.upperbinder_xten_lowerbinder,101,102,5
chrisxushaoyong.hu_nano1_1_ff3e18,73,78,0
chrisxushaoyong.hu_nano1_3_eef94e,51,41,31
chrisxushaoyong.hu_nano1_5_559c85,46,38,0
chrisxushaoyong.hu_nano2_2_7ef96e,64,90,0
chrisxushaoyong.hu_nano2_4_85252b,66,43,0
chuh.egfr_seg1_l58_s941869_mpnn2,43,41,41
chuh.egfr_seg2_l58_s53469_mpnn1,65,68,59
chuh.egfr_seg2_l62_s244475_mpnn4,68,54,0
colby.tupegfr_001___anti-egfr_fv-like_protein_diffused_with_evodiff,97,85,0
colby.tupegfr_006___anti-egfr_fv-like_protein_diffused_with_evodiff,79,107,0
colby.tupegfr_010___anti-egfr_fv-like_protein_diffused_with_evodiff,51,116,9
colby.tupegfr_012___anti-egfr_fv-like_protein_diffused_with_evodiff,63,181,0
colby.tupegfr_018___anti-egfr_fv-like_protein_diffused_with_esm3,85,53,0
coreyhowe99.corey82,76,76,63
darius.szablowski.egfr_binder_1___top_binder_1,72,67,64
darius.szablowski.egfr_binder_2___ggggs_3_linked_top_binders_1_and_2,127,96,0
darius.szablowski.egfr_binder_3___ggggs_3_linked_top_binders_1_rev_and_2_rev,56,30,0
darius.szablowski.egfr_binder_4___ggggs_3_linked_top_binders_1_and_2_efficiently_evolved,95,79,63
darius.szablowski.egfr_binder_5___ggggs_3_linked_top_binders_1_and_2_efficiently_evolved_and_sapiens_evolved,145,99,0
deepsatflow.6aru_final_chain_a_domain_3_l138_s466479_mpnn9,91,92,21
deepsatflow.6aru_final_chain_a_domain_3_l142_s806907_mpnn1,69,57,54
deepsatflow.6aru_final_chain_a_domain_3_l147_s945609_mpnn1,70,64,51
dre.lgdl_egfr_001,39,110,0
dre.lgdl_egfr_008,41,91,1
duynth29.duy_l111_mpnn14,91,86,70
duynth29.duy_l111_mpnn14_i36m__l80m_l42m,88,97,68
duynth29.duy_l111_mpnn14_l80m_l42m,89,86,66
duynth29.l148_mpnn1,74,71,67
duynth29.l88_mpnn5,79,49,8
eceiiitn786.8s2,71,69,0
elian.elian1,87,81,73
elian.elian2,78,88,67
elian.elian3,81,70,67
elian.elian4,78,75,67
elian.elian5,87,84,67
enzo.morro.design_0_n_0_mpnn_1.117_plddt_0.713_i_ptm_0.082_i_pae_27.542_rmsd_25.669,71,29,0
enzo.morro.design_0_n_1_mpnn_1.085_plddt_0.817_i_ptm_0.076_i_pae_28.084_rmsd_25.372,86,44,0
enzo.morro.design_0_n_2_mpnn_1.120_plddt_0.858_i_ptm_0.072_i_pae_28.117_rmsd_30.276,75,58,0
fernando.meireles.design_hybrid_partial_diff_4_31_binder,85,89,2
fernando.meireles.design_hybrid_partial_diff_7_1_binder,75,70,0
fernando.meireles.design_hybrid_partial_diff_9_54_binder,75,61,4
fgndd1.fg_seq1,76,84,68
flowuenne.nf-proteindesign_design10,39,43,0
flowuenne.nf-proteindesign_design7,51,29,12
flowuenne.nf-proteindesign_design8,60,56,1
gitter.yolo23,72,78,60
gitter.yolo46,74,81,67
gitter.yolo48,56,55,47
hughy.4krp_b_a_89_rnd3_full,31,95,0
hughy.7om4_b_a_17_rnd2_v2_full,108,95,0
hughy.7om4_b_a_180_rnd1_v1_full,45,43,35
hughy.7om4_b_a_33_rnd2_v2_full,57,44,0
hughy.7om4_b_a_8_rnd2_v2_full,50,46,1
huiyu.cai.h3_15_2431_h,44,83,0
huiyu.cai.h3_15_2847_h,55,40,22
huiyu.cai.h3_15_3351_h,36,67,0
huiyu.cai.h3_15_4373_h,57,87,1
huiyu.cai.h3_15_877_h,82,81,4
jack.li.egfrbindingcandidate_7,55,42,0
jakublala.epitope_1_20aa.pdb,50,51,1
jakublala.epitope_1_30aa.pdb,48,35,0
jakublala.epitope_2_30aa_1.pdb,31,43,3
jakublala.full_dibinder_45aa.pdb,49,61,43
jakublala.full_dibinder_45aa_2.pdb,45,57,41
joaosartori2.c1,111,109,28
joaosartori2.c3,108,76,6
joaosartori2.c4,122,101,2
joaosartori2.c6,110,99,23
joel.rf_diffusion_trim_3,61,73,0
jude.wells.21.6b3s_necitumumab_fused_trimmed_task_211_iter_150,72,72,66
jude.wells.21.6b3s_necitumumab_fused_trimmed_task_89_iter_216,73,72,67
jude.wells.21.6b3s_necitumumab_fused_trimmed_task_98_iter_184,73,85,63
jude.wells.21.panitumumab_fused_trimmed_crossbreed3,67,67,62
jude.wells.21.panitumumab_fused_trimmed_task_12_iter_123,67,75,53
julian.faust.becotatugxpimurutamab_scfv,80,73,68
julian.faust.demupitamab_mpnn_19_scfv,73,64,61
julian.faust.pimurutamab_mpnn_17_scfv,73,47,39
julian.faust.pimurutamab_mpnn_18_scfv,71,36,2
julian.faust.pimurutamabxbecotatug_scfv,76,65,61
julie.jg26n,53,58,42
julie.rj0aa,56,57,52
julie.ryfqy,51,48,46
junhee.park1999.egfr_binder_6,73,45,0
junhee.park1999.egfr_binder_7,74,50,0
junhee.park1999.egfr_binder_9,72,23,17
jvogt4.vogt_scfv_0128,64,61,5
jvogt4.vogt_scfv_2009,45,52,15
jvogt4.vogt_scfv_2143,68,43,0
jvogt4.vogt_scfv_2279,60,45,39
jvogt4.vogt_scfv_2470,50,71,0
karmanyaaggarwal.ds002542,45,55,32
karmanyaaggarwal.ds003076,48,63,16
karmanyaaggarwal.ds004729,46,70,21
keaun.gafpvvfkadiarvsefvaigpstgylgslttmsgvnq,59,73,2
keaun.gifgvvfkadiarvsidvaidystgylgslttfsgcnq,18,91,2
keaun.gwfgvvfkadiagvsekvaielsggyegslttpsgwnq,54,48,2
keaun.gwfgvvfkadiardsefvailesqgylssittfsgwnq,51,55,14
keaun.gwfgvvfkadiarvsefvaiglstgplgsestfsiwrq,47,41,17
kerrding.seq5,101,95,84
kerrding.seq6,100,102,81
kerrding.seq7,109,96,39
kerrding.seq8,113,78,14
kerrding.seq9,34,41,0
klima.jason.8hgo_design_4yyaf_0_0,72,141,5
klima.jason.8hgo_design_8gswy_1_2,98,91,2
klima.jason.8hgo_design_94eja_1_5,40,87,0
klima.jason.8hgo_design_jt8s1_0_3_proteinmpnn_20,131,42,1
klima.jason.8hgo_design_vdcjs_1_2,71,86,3
kurumida.yoichi.mg_05,53,51,46
lennart.nickel.egfr_l114_s69310_mpnn7,71,68,58
lennart.nickel.egfr_l139_s63093_mpnn2,64,64,45
lennart.nickel.egfr_l170_s20625_mpnn10,83,83,70
lennart.nickel.egfr_l179_s82283_mpnn1,55,52,48
lennart.nickel.egfr_l98_s70756_mpnn3,66,35,0
lhallee.lhallee_128_driveid_1_2,76,71,1
lhallee.lhallee_128_driveid_3_4,53,68,0
lhallee.lhallee_20_on_target_2000,41,38,0
lhallee.lhallee_40_full_driveid_8_9,35,86,0
lhallee.lhallee_40_target_driveid_10,42,103,19
lyu.1,82,80,66
lyu.2,90,87,79
lyu.3,75,73,0
markus.braun.egfr_binder_1,136,117,112
markus.braun.egfr_binder_3,163,41,0
markus.braun.egfr_binder_6,139,128,106
markus.braun.egfr_binder_7,149,34,0
markus.braun.egfr_binder_8,160,86,0
martin.egfr_l111_s89744_mpnn1,47,54,28
martin.egfr_l121_s46924_mpnn18,88,52,0
martin.egfr_l142_s75963_mpnn1,75,87,0
martin.egfr_l165_s31019_mpnn3,73,64,59
martin.egfr_l177_s77884_mpnn7,55,31,0
maxall4.egfr_ed_binder_l124_s860500_mpnn1_model1_unrelaxed_rank_001_alphafold2_multimer_v3_model_1_seed_000_top1_mutation_d81n_round1_chain_a,99,105,87
maxall4.egfr_ed_binder_l132_s581930_mpnn1_model1_unrelaxed_rank_001_alphafold2_multimer_v3_model_1_seed_000_top1_mutation_r79a_round1_chain_a,74,66,63
maxall4.egfr_ed_binder_l134_s906486_mpnn2_model1_unrelaxed_rank_001_alphafold2_multimer_v3_model_1_seed_000_top1_mutation_g108s_round1_y80d_chain_a,73,77,63
maxall4.egfr_ed_binder_l134_s906486_mpnn2_model1_unrelaxed_rank_001_alphafold2_multimer_v3_model_1_seed_000_top1_mutation_g108s_round1_chain_a,74,72,62
maxall4.egfr_trim_l126_s498823_mpnn2_model1_unrelaxed_rank_001_alphafold2_multimer_v3_model_1_seed_000_top1_mutation_l39g_round1_chain_a,71,77,63
mchrnwsk.marta_chronowska_dom1_l99_s666690_mpnn16,66,56,48
merlettaia.seq0v3,105,68,0
merlettaia.seq0v4,50,48,25
merlettaia.seq52v3,51,43,0
merlettaia.seq6v4,23,91,0
merlettaia.seq70v3,62,62,0
minji.lee.111,83,51,0
minji.lee.3458,48,42,0
minji.lee.386,31,34,0
minji.lee.3995,47,41,0
minji.lee.459,56,40,29
mlange05.a,72,45,0
mlange05.b,89,62,1
mlange05.c,52,37,0
mosquitolkfo.nab_design_1,69,58,0
mosquitolkfo.nab_design_3,68,38,0
mosquitolkfo.nab_design_6,67,104,0
mosquitolkfo.nab_design_7,69,77,0
mosquitolkfo.nab_design_9,73,33,0
nhaas.2,80,58,0
nhaas.3,75,54,40
nhaas.4,68,93,0
nhaas.6,52,34,0
nhaas.8,74,33,0
nicholas-schnicker.schnick_04,68,63,60
niklas.7a72d922-1677-4fc8-9315-d7996ba05d8e_l150_s530325711_mpnn12,61,74,45
niklas.95b59203-b642-4754-bcd3-8e670a722c8d_l91_s349792600_mpnn19,38,40,35
niklas.95b59203-b642-4754-bcd3-8e670a722c8d_l91_s349792600_mpnn2,45,44,37
niklas.e5a28fa3-3501-41c2-922c-ec848e0bc020_l81_s514858345_mpnn4,82,76,74
niklas.ee4629a9-322f-48f0-884d-8f4418db9bce_l151_s241659642_mpnn11,95,77,65
nitesh.mishra3.stepwise_egf_based_egfr_binder_3,44,102,6
nitesh.mishra3.stepwise_rfdiff_egfr_binder_1,51,53,46
nitesh.mishra3.stepwise_scaffold_egfr_binder_6,52,50,44
noah.holzleitner.noah_egfr-binder_1,67,58,55
noah.holzleitner.noah_egfr-binder_2,62,65,56
noah.holzleitner.noah_egfr-binder_3,74,77,66
noah.holzleitner.noah_egfr-binder_4,49,77,0
noah.holzleitner.noah_egfr-binder_8,73,72,0
pastei5.egfr_binder_01,42,114,0
paulafcfranklin.synth_rosetta_1,113,81,4
paulafcfranklin.synth_rosetta_10,112,113,101
paulafcfranklin.synth_rosetta_2,112,40,15
paulafcfranklin.synth_rosetta_3,115,68,20
paulafcfranklin.synth_rosetta_4,112,46,12
paulafcfranklin.synth_rosetta_5,113,103,49
paulafcfranklin.synth_rosetta_6,114,54,15
paulafcfranklin.synth_rosetta_7,115,100,21
paulafcfranklin.synth_rosetta_8,114,109,3
paulafcfranklin.synth_rosetta_9,113,87,5
praghava531.seq2,33,73,23
qilin_y.test4,38,68,0
qilin_y.test5,57,91,10
qilin_y.test6,54,98,9
qilin_y.test7,40,58,0
qilin_y.test8,27,69,0
qxy615.s1_rfd_base_46_60,35,68,0
qxy615.s1_rfd_base_46_94,54,65,48
qxy615.s1_rfd_comp_beta_782_81,43,48,0
qy.qilin.yu.10-13-21_sample267_complex_42_complex,60,53,42
revoli.mutated_nab_5,105,61,0
revoli.mutated_nab_8,121,39,0
revoli.mutated_nab_9,100,58,0
rohith.mohan.model_67_69_2,61,42,0
round1zeroshot.k5q_n70s_k71r_n73t_s87t_n88d_r179k_k183r_e213d_s214p,71,66,62
s1995825.cotimed_egf_netsolp_usability_1,100,30,8
s1995825.cotimed_egf_netsolp_usability_2,102,51,43
s1995825.cotimed_egf_netsolp_usability_3,98,94,86
s1995825.cotimed_egf_netsolp_usability_4,105,100,85
s1995825.cotimed_egf_netsolp_usability_5,97,44,28
s1995825.cotimed_egf_netsolp_usability_6,100,60,6
s1995825.cotimed_egf_netsolp_usability_7,62,68,0
s1995825.cotimed_egf_netsolp_usability_8,101,96,54
s1995825.timed_egf_netsolp_usability_consensus_1,100,87,83
s1995825.timed_egf_netsolp_usability_consensus_2,98,85,31
salireza111.seq119_3_001_8,32,58,0
salireza111.seq166_1_001_7,59,40,7
salireza111.seq166_3_002_4,54,55,47
salireza111.seq166_7_003_9,55,52,40
salireza111.seq206_1_001_6,61,64,0
silvia.toscani.b_egfr_6,70,40,0
spacecruiser42.d2_prompt_binder_t0.8_42,35,35,0
spacecruiser42.d2_prompt_binder_t0.8_88,36,72,27
spacecruiser42.d2_prompt_binder_t1.0_139,43,46,0
spacecruiser42.d2_prompt_binder_t1.0_22,45,45,8
spacecruiser42.d2_prompt_binder_t1.0_37,34,72,0
ssomani.17,50,57,40
stocco.filippo.1.3.3.18_13_0_iteration12_1.0279718223732435,49,81,9
stocco.filippo.1.3.3.18_37_0_iteration3_1.024851931427025,49,77,12
stocco.filippo.1.3.3.18_40_0_iteration12_1.0321554292304749,113,41,2
stocco.filippo.1.3.3.18_4_2_iteration0_1.0407930462953479,113,83,6
stocco.filippo.1.3.3.18_51_2_iteration3_1.0356664070457622,108,52,12
stocco.filippo.1.3.3.18_65_0_iteration3_1.028317065130863,112,54,2
tadaskluonis.cotimed_egf_bcseq_0,100,70,6
tadaskluonis.cotimed_egf_bcseq_1,106,96,11
tadaskluonis.cotimed_egf_bcseq_2,99,64,5
tadej.satler.egfr_binder_3,75,71,62
tarkhov.andrey.erithacus_rubecula_gigantus_1,78,169,56
tarkhov.andrey.erithacus_rubecula_gigantus_4,84,289,1
tarkhov.andrey.erithacus_rubecula_gigantus_7,85,87,0
tarkhov.andrey.erithacus_rubecula_gigantus_8,89,69,0
tarkhov.andrey.erithacus_rubecula_gigantus_9,38,110,0
tiejun.wei.egfr_binder_design_208_dldesign_10_af2pred.pdb_a,120,98,51
tim.silica_corpora_regions_sampled_epitope_0_generated_variant_6_rank_7_phase_2,28,50,1
tim.silica_corpora_regions_sampled_epitope_2_generated_variant_8_rank_3_phase_2,96,54,0
tim.silica_corpora_sampled_epitope_0_generated_variant_1_rank_8_phase_2,50,46,0
tim.silica_corpora_sampled_epitope_0_generated_variant_8_rank_1_phase_2,49,43,19
tim.silica_corpora_sampled_epitope_2_generated_variant_9_rank_6_phase_2,64,45,21
toluwase.fatoki.toluwase_sequence3_119,33,58,2
toluwase.fatoki.toluwase_sequence4_148,75,80,0
toluwase.fatoki.toluwase_sequence6_112,61,70,0
wtj19921231.egfr_binder_design_208_dldesign_0_cycle1_run5_af2pred.pdb_a,66,46,1
x.rustamov.p_vhh_partial_1_32,51,48,0
x.rustamov.traj_11_8_model_5_0,62,54,0
x.rustamov.traj_4_8_model_1_5,64,46,0
x.rustamov.traj_6_1_model_1_8,77,53,34
x.rustamov.traj_9_8_model_1_0,40,97,0
xiuming_li2015.eureka_seq_1,76,71,67
xiuming_li2015.eureka_seq_3,77,72,66
xiuming_li2015.eureka_seq_4,76,65,63
youngsuko2000.fast4,120,77,0
youngsuko2000.last,123,63,2
youngsuko2000.queen,124,88,15
z_peplib.pepseq_design_6,48,92,0
z_peplib.pepseq_design_8,34,46,0
z_peplib.pepseq_design_9,66,38,0
zalavi.shortrustamov_ggg_zalavi3,158,131,74
zalavi.zalavi3_ggg_shortpacesa,75,69,63
zalavi.zalavi3_mergedaltered_rustamov,152,134,72
zhoup1366.dbz1___a,50,45,26
zhoup1366.dbz10___a,49,47,0
zhoup1366.dbz6___a,46,104,4
zhoup1366.dbz7___a,50,72,0
zhoup1366.dbz8___a,49,85,0
zulfatmi.pocket1pep78,71,69,1
zulfatmi.pocket2pep63,24,44,2
zulfatmi.pocket7pep42,34,49,0
