name,iptm,ptm,fraction_disordered,ranking_score,chain_iptm,chain_pair_iptm,chain_ptm
aureliabustos.wwt_noised_i_scaffold_shorted_var7524,0.94,0.77,0.02,0.91,"[0.94, 0.94]","[[0.67, 0.94], [0.94, 0.76]]","[0.67, 0.76]"
alex.naka.ivysaur,0.8,0.63,0.02,0.77,"[0.8, 0.8]","[[0.63, 0.8], [0.8, 0.61]]","[0.63, 0.61]"
huiyu.cai.h3_15_4373_h,0.14,0.61,0.02,0.24,"[0.14, 0.14]","[[0.86, 0.14], [0.14, 0.69]]","[0.86, 0.69]"
ccalia.paesani_lab_design2,0.57,0.62,0.02,0.59,"[0.57, 0.57]","[[0.35, 0.57], [0.57, 0.71]]","[0.35, 0.71]"
keaun.gwfgvvfkadiardsefvailesqgylssittfsgwnq,0.25,0.7,0.03,0.35,"[0.25, 0.25]","[[0.28, 0.25], [0.25, 0.73]]","[0.28, 0.73]"
salireza111.seq206_1_001_6,0.23,0.71,0.09,0.37,"[0.23, 0.23]","[[0.21, 0.23], [0.23, 0.74]]","[0.21, 0.74]"
cchallacombe.6,0.13,0.64,0.02,0.24,"[0.13, 0.13]","[[0.8, 0.13], [0.13, 0.72]]","[0.8, 0.72]"
zulfatmi.pocket2pep63,0.37,0.76,0.05,0.47,"[0.37, 0.37]","[[0.01, 0.37], [0.37, 0.77]]","[0.01, 0.77]"
junhee.park1999.egfr_binder_9,0.8,0.76,0.04,0.81,"[0.8, 0.8]","[[0.84, 0.8], [0.8, 0.74]]","[0.84, 0.74]"
huiyu.cai.h3_15_2847_h,0.14,0.64,0.02,0.25,"[0.14, 0.14]","[[0.83, 0.14], [0.14, 0.72]]","[0.83, 0.72]"
aureliabustos.wwt_noised_i_scaffold_shorted_var9391,0.93,0.74,0.02,0.9,"[0.93, 0.93]","[[0.67, 0.93], [0.93, 0.72]]","[0.67, 0.72]"
duynth29.duy_l111_mpnn14_l80m_l42m,0.94,0.77,0.02,0.91,"[0.94, 0.94]","[[0.85, 0.94], [0.94, 0.75]]","[0.85, 0.75]"
merlettaia.seq6v4,0.26,0.63,0.02,0.35,"[0.26, 0.26]","[[0.83, 0.26], [0.26, 0.7]]","[0.83, 0.7]"
lhallee.lhallee_128_driveid_3_4,0.16,0.65,0.04,0.28,"[0.16, 0.16]","[[0.15, 0.16], [0.16, 0.73]]","[0.15, 0.73]"
noah.holzleitner.noah_egfr-binder_4,0.88,0.75,0.02,0.86,"[0.88, 0.88]","[[0.7, 0.88], [0.88, 0.75]]","[0.7, 0.75]"
paulafcfranklin.synth_rosetta_9,0.87,0.73,0.04,0.86,"[0.87, 0.87]","[[0.65, 0.87], [0.87, 0.71]]","[0.65, 0.71]"
xiuming_li2015.eureka_seq_1,0.87,0.8,0.03,0.87,"[0.87, 0.87]","[[0.87, 0.87], [0.87, 0.76]]","[0.87, 0.76]"
christoph.gruber.upperbinder_scaffold3_lowerbinder,0.85,0.54,0.05,0.82,"[0.85, 0.85]","[[0.69, 0.85], [0.85, 0.59]]","[0.69, 0.59]"
joel.rf_diffusion_trim_3,0.18,0.66,0.04,0.3,"[0.18, 0.18]","[[0.53, 0.18], [0.18, 0.72]]","[0.53, 0.72]"
jude.wells.21.panitumumab_fused_trimmed_task_12_iter_123,0.83,0.78,0.02,0.83,"[0.83, 0.83]","[[0.83, 0.83], [0.83, 0.75]]","[0.83, 0.75]"
stocco.filippo.1.3.3.18_13_0_iteration12_1.0279718223732435,0.79,0.64,0.02,0.77,"[0.79, 0.79]","[[0.59, 0.79], [0.79, 0.64]]","[0.59, 0.64]"
nhaas.4,0.15,0.56,0.03,0.25,"[0.15, 0.15]","[[0.83, 0.15], [0.15, 0.69]]","[0.83, 0.69]"
s1995825.cotimed_egf_netsolp_usability_2,0.9,0.76,0.03,0.88,"[0.9, 0.9]","[[0.65, 0.9], [0.9, 0.74]]","[0.65, 0.74]"
minji.lee.3458,0.13,0.62,0.02,0.24,"[0.13, 0.13]","[[0.57, 0.13], [0.13, 0.68]]","[0.57, 0.68]"
kerrding.seq8,0.86,0.73,0.03,0.84,"[0.86, 0.86]","[[0.64, 0.86], [0.86, 0.71]]","[0.64, 0.71]"
julie.ryfqy,0.58,0.72,0.02,0.62,"[0.58, 0.58]","[[0.71, 0.58], [0.58, 0.72]]","[0.71, 0.72]"
keaun.gwfgvvfkadiagvsekvaielsggyegslttpsgwnq,0.16,0.7,0.08,0.31,"[0.16, 0.16]","[[0.09, 0.16], [0.16, 0.73]]","[0.09, 0.73]"
junhee.park1999.egfr_binder_6,0.75,0.74,0.04,0.76,"[0.75, 0.75]","[[0.84, 0.75], [0.75, 0.73]]","[0.84, 0.73]"
darius.szablowski.egfr_binder_2___ggggs_3_linked_top_binders_1_and_2,0.35,0.6,0.04,0.42,"[0.35, 0.35]","[[0.45, 0.35], [0.35, 0.69]]","[0.45, 0.69]"
stocco.filippo.1.3.3.18_65_0_iteration3_1.028317065130863,0.89,0.81,0.03,0.89,"[0.89, 0.89]","[[0.61, 0.89], [0.89, 0.8]]","[0.61, 0.8]"
spacecruiser42.d2_prompt_binder_t0.8_88,0.48,0.77,0.05,0.56,"[0.48, 0.48]","[[0.02, 0.48], [0.48, 0.78]]","[0.02, 0.78]"
duynth29.l88_mpnn5,0.93,0.77,0.02,0.91,"[0.93, 0.93]","[[0.78, 0.93], [0.93, 0.76]]","[0.78, 0.76]"
julian.faust.pimurutamab_mpnn_17_scfv,0.85,0.79,0.04,0.86,"[0.85, 0.85]","[[0.85, 0.85], [0.85, 0.75]]","[0.85, 0.75]"
s1995825.cotimed_egf_netsolp_usability_7,0.16,0.7,0.02,0.28,"[0.16, 0.16]","[[0.53, 0.16], [0.16, 0.73]]","[0.53, 0.73]"
tim.silica_corpora_sampled_epitope_0_generated_variant_1_rank_8_phase_2,0.11,0.63,0.02,0.22,"[0.11, 0.11]","[[0.84, 0.11], [0.11, 0.72]]","[0.84, 0.72]"
a.tucs.andrejs_tucs_seq3,0.92,0.75,0.02,0.9,"[0.92, 0.92]","[[0.65, 0.92], [0.92, 0.73]]","[0.65, 0.73]"
aswini.seed1,0.19,0.72,0.02,0.31,"[0.19, 0.19]","[[0.28, 0.19], [0.19, 0.76]]","[0.28, 0.76]"
elian.elian2,0.87,0.78,0.02,0.86,"[0.87, 0.87]","[[0.7, 0.87], [0.87, 0.76]]","[0.7, 0.76]"
aureliabustos.bce_var464,0.93,0.78,0.03,0.92,"[0.93, 0.93]","[[0.68, 0.93], [0.93, 0.77]]","[0.68, 0.77]"
qxy615.s1_rfd_base_46_60,0.26,0.67,0.02,0.35,"[0.26, 0.26]","[[0.58, 0.26], [0.26, 0.71]]","[0.58, 0.71]"
antorsae.ta_5_2,0.25,0.72,0.02,0.35,"[0.25, 0.25]","[[0.43, 0.25], [0.25, 0.74]]","[0.43, 0.74]"
lennart.nickel.egfr_l98_s70756_mpnn3,0.88,0.77,0.02,0.86,"[0.88, 0.88]","[[0.72, 0.88], [0.88, 0.76]]","[0.72, 0.76]"
aureliabustos.wwt_noised_i_scaffold_shorted_var6640,0.94,0.75,0.02,0.91,"[0.94, 0.94]","[[0.67, 0.94], [0.94, 0.73]]","[0.67, 0.73]"
gitter.yolo46,0.89,0.75,0.02,0.88,"[0.89, 0.89]","[[0.67, 0.89], [0.89, 0.75]]","[0.67, 0.75]"
dre.lgdl_egfr_001,0.16,0.75,0.07,0.32,"[0.16, 0.16]","[[0.09, 0.16], [0.16, 0.78]]","[0.09, 0.78]"
paulafcfranklin.synth_rosetta_3,0.89,0.74,0.04,0.88,"[0.89, 0.89]","[[0.66, 0.89], [0.89, 0.72]]","[0.66, 0.72]"
flowuenne.nf-proteindesign_design7,0.21,0.7,0.07,0.34,"[0.21, 0.21]","[[0.32, 0.21], [0.21, 0.73]]","[0.32, 0.73]"
spacecruiser42.d2_prompt_binder_t0.8_42,0.41,0.76,0.05,0.51,"[0.41, 0.41]","[[0.02, 0.41], [0.41, 0.77]]","[0.02, 0.77]"
z_peplib.pepseq_design_9,0.21,0.71,0.09,0.36,"[0.21, 0.21]","[[0.19, 0.21], [0.21, 0.74]]","[0.19, 0.74]"
begonia.sp.13.egfr_l61_s456546_mpnn1_model1,0.85,0.76,0.02,0.84,"[0.85, 0.85]","[[0.69, 0.85], [0.85, 0.76]]","[0.69, 0.76]"
s1995825.cotimed_egf_netsolp_usability_3,0.89,0.75,0.03,0.88,"[0.89, 0.89]","[[0.64, 0.89], [0.89, 0.74]]","[0.64, 0.74]"
jvogt4.vogt_scfv_2143,0.26,0.57,0.04,0.34,"[0.26, 0.26]","[[0.83, 0.26], [0.26, 0.69]]","[0.83, 0.69]"
jvogt4.vogt_scfv_2279,0.31,0.56,0.04,0.38,"[0.31, 0.31]","[[0.84, 0.31], [0.31, 0.67]]","[0.84, 0.67]"
tim.silica_corpora_sampled_epitope_0_generated_variant_8_rank_1_phase_2,0.35,0.66,0.02,0.42,"[0.35, 0.35]","[[0.81, 0.35], [0.35, 0.71]]","[0.81, 0.71]"
begonia.sp.13.egfr_l88_s11832_mpnn1_model2,0.9,0.77,0.02,0.88,"[0.9, 0.9]","[[0.75, 0.9], [0.9, 0.75]]","[0.75, 0.75]"
aswinijavadi160197.8_a,0.16,0.66,0.02,0.27,"[0.16, 0.16]","[[0.73, 0.16], [0.16, 0.73]]","[0.73, 0.73]"
xiuming_li2015.eureka_seq_4,0.87,0.79,0.03,0.87,"[0.87, 0.87]","[[0.87, 0.87], [0.87, 0.76]]","[0.87, 0.76]"
mosquitolkfo.nab_design_1,0.86,0.78,0.02,0.85,"[0.86, 0.86]","[[0.84, 0.86], [0.86, 0.77]]","[0.84, 0.77]"
klima.jason.8hgo_design_8gswy_1_2,0.19,0.63,0.02,0.29,"[0.19, 0.19]","[[0.29, 0.19], [0.19, 0.7]]","[0.29, 0.7]"
chuh.egfr_seg2_l58_s53469_mpnn1,0.94,0.76,0.02,0.92,"[0.94, 0.94]","[[0.71, 0.94], [0.94, 0.75]]","[0.71, 0.75]"
ccalia.paesani_lab_design8,0.65,0.64,0.03,0.67,"[0.65, 0.65]","[[0.37, 0.65], [0.65, 0.71]]","[0.37, 0.71]"
zulfatmi.pocket1pep78,0.3,0.74,0.05,0.41,"[0.3, 0.3]","[[0.01, 0.3], [0.3, 0.74]]","[0.01, 0.74]"
darius.szablowski.egfr_binder_5___ggggs_3_linked_top_binders_1_and_2_efficiently_evolved_and_sapiens_evolved,0.25,0.6,0.05,0.34,"[0.25, 0.25]","[[0.38, 0.25], [0.25, 0.69]]","[0.38, 0.69]"
akash.arunabharathi.design8,0.14,0.61,0.05,0.26,"[0.14, 0.14]","[[0.34, 0.14], [0.14, 0.71]]","[0.34, 0.71]"
x.rustamov.traj_11_8_model_5_0,0.21,0.62,0.02,0.3,"[0.21, 0.21]","[[0.79, 0.21], [0.21, 0.69]]","[0.79, 0.69]"
cameron.kroll.gertrude_gen5,0.19,0.6,0.02,0.28,"[0.19, 0.19]","[[0.81, 0.19], [0.19, 0.69]]","[0.81, 0.69]"
zhoup1366.dbz6___a,0.29,0.63,0.02,0.37,"[0.29, 0.29]","[[0.84, 0.29], [0.29, 0.7]]","[0.84, 0.7]"
colby.tupegfr_010___anti-egfr_fv-like_protein_diffused_with_evodiff,0.16,0.57,0.01,0.25,"[0.16, 0.16]","[[0.45, 0.16], [0.16, 0.71]]","[0.45, 0.71]"
stocco.filippo.1.3.3.18_51_2_iteration3_1.0356664070457622,0.92,0.77,0.02,0.9,"[0.92, 0.92]","[[0.63, 0.92], [0.92, 0.75]]","[0.63, 0.75]"
jvogt4.vogt_scfv_2009,0.15,0.54,0.03,0.24,"[0.15, 0.15]","[[0.84, 0.15], [0.15, 0.67]]","[0.84, 0.67]"
alecl.relaxeda,0.52,0.57,0.02,0.54,"[0.52, 0.52]","[[0.58, 0.52], [0.52, 0.57]]","[0.58, 0.57]"
724928537.dbz7___a,0.23,0.63,0.02,0.32,"[0.23, 0.23]","[[0.82, 0.23], [0.23, 0.7]]","[0.82, 0.7]"
toluwase.fatoki.toluwase_sequence6_112,0.15,0.65,0.03,0.26,"[0.15, 0.15]","[[0.19, 0.15], [0.15, 0.73]]","[0.19, 0.73]"
ssomani.17,0.41,0.66,0.02,0.47,"[0.41, 0.41]","[[0.73, 0.41], [0.41, 0.72]]","[0.73, 0.72]"
gitter.yolo48,0.92,0.77,0.02,0.9,"[0.92, 0.92]","[[0.74, 0.92], [0.92, 0.76]]","[0.74, 0.76]"
nhaas.6,0.12,0.55,0.03,0.23,"[0.12, 0.12]","[[0.84, 0.12], [0.12, 0.69]]","[0.84, 0.69]"
nhaas.3,0.29,0.6,0.03,0.37,"[0.29, 0.29]","[[0.84, 0.29], [0.29, 0.73]]","[0.84, 0.73]"
a.tucs.andrejs_tucs_seq6,0.86,0.75,0.03,0.85,"[0.86, 0.86]","[[0.58, 0.86], [0.86, 0.75]]","[0.58, 0.75]"
martin.egfr_l165_s31019_mpnn3,0.71,0.72,0.02,0.72,"[0.71, 0.71]","[[0.82, 0.71], [0.71, 0.73]]","[0.82, 0.73]"
724928537.dbz8___a,0.22,0.6,0.02,0.3,"[0.22, 0.22]","[[0.82, 0.22], [0.22, 0.67]]","[0.82, 0.67]"
chrisxushaoyong.hu_nano1_3_eef94e,0.18,0.61,0.02,0.27,"[0.18, 0.18]","[[0.84, 0.18], [0.18, 0.69]]","[0.84, 0.69]"
x.rustamov.p_vhh_partial_1_32,0.18,0.64,0.02,0.28,"[0.18, 0.18]","[[0.85, 0.18], [0.18, 0.72]]","[0.85, 0.72]"
amirm.mhosseini.seq4,0.84,0.69,0.02,0.82,"[0.84, 0.84]","[[0.62, 0.84], [0.84, 0.69]]","[0.62, 0.69]"
cchallacombe.1,0.14,0.63,0.02,0.24,"[0.14, 0.14]","[[0.78, 0.14], [0.14, 0.72]]","[0.78, 0.72]"
coreyhowe99.corey82,0.94,0.77,0.02,0.91,"[0.94, 0.94]","[[0.66, 0.94], [0.94, 0.77]]","[0.66, 0.77]"
antorsae.ta_4_4,0.27,0.72,0.02,0.37,"[0.27, 0.27]","[[0.42, 0.27], [0.27, 0.74]]","[0.42, 0.74]"
cameron.kroll.gertrude_gen3_s69d_n61e,0.24,0.61,0.02,0.32,"[0.24, 0.24]","[[0.81, 0.24], [0.24, 0.69]]","[0.81, 0.69]"
qy.qilin.yu.10-13-21_sample267_complex_42_complex,0.46,0.7,0.02,0.52,"[0.46, 0.46]","[[0.69, 0.46], [0.46, 0.72]]","[0.69, 0.72]"
markus.braun.egfr_binder_8,0.91,0.81,0.01,0.89,"[0.91, 0.91]","[[0.84, 0.91], [0.91, 0.75]]","[0.84, 0.75]"
biolucasmachado.engineered_binder_7,0.87,0.76,0.04,0.86,"[0.87, 0.87]","[[0.69, 0.87], [0.87, 0.74]]","[0.69, 0.74]"
briannaughton.2_plus_1,0.64,0.67,0.03,0.66,"[0.64, 0.64]","[[0.54, 0.64], [0.64, 0.7]]","[0.54, 0.7]"
kerrding.seq6,0.86,0.74,0.03,0.85,"[0.86, 0.86]","[[0.66, 0.86], [0.86, 0.72]]","[0.66, 0.72]"
tim.silica_corpora_regions_sampled_epitope_0_generated_variant_6_rank_7_phase_2,0.14,0.62,0.02,0.24,"[0.14, 0.14]","[[0.8, 0.14], [0.14, 0.7]]","[0.8, 0.7]"
maxall4.egfr_ed_binder_l134_s906486_mpnn2_model1_unrelaxed_rank_001_alphafold2_multimer_v3_model_1_seed_000_top1_mutation_g108s_round1_y80d_chain_a,0.89,0.77,0.02,0.87,"[0.89, 0.89]","[[0.82, 0.89], [0.89, 0.75]]","[0.82, 0.75]"
kerrding.seq5,0.85,0.72,0.03,0.84,"[0.85, 0.85]","[[0.65, 0.85], [0.85, 0.71]]","[0.65, 0.71]"
biolucasmachado.engineered_binder_2,0.35,0.71,0.04,0.44,"[0.35, 0.35]","[[0.54, 0.35], [0.35, 0.75]]","[0.54, 0.75]"
s1995825.cotimed_egf_netsolp_usability_5,0.89,0.74,0.03,0.88,"[0.89, 0.89]","[[0.64, 0.89], [0.89, 0.72]]","[0.64, 0.72]"
binom16.pocket2pep89,0.46,0.75,0.05,0.54,"[0.46, 0.46]","[[0.02, 0.46], [0.46, 0.76]]","[0.02, 0.76]"
alex.naka.charmeleon,0.88,0.76,0.02,0.86,"[0.88, 0.88]","[[0.57, 0.88], [0.88, 0.76]]","[0.57, 0.76]"
nitesh.mishra3.stepwise_egf_based_egfr_binder_3,0.17,0.71,0.02,0.29,"[0.17, 0.17]","[[0.54, 0.17], [0.17, 0.74]]","[0.54, 0.74]"
alejandro.corrochano-navarro.eng_scfv_binder_3,0.81,0.77,0.03,0.81,"[0.81, 0.81]","[[0.86, 0.81], [0.81, 0.75]]","[0.86, 0.75]"
keaun.gwfgvvfkadiarvsefvaiglstgplgsestfsiwrq,0.21,0.71,0.03,0.32,"[0.21, 0.21]","[[0.14, 0.21], [0.21, 0.74]]","[0.14, 0.74]"
salireza111.seq166_3_002_4,0.42,0.67,0.02,0.48,"[0.42, 0.42]","[[0.56, 0.42], [0.42, 0.68]]","[0.56, 0.68]"
cetuximab_scfv,0.89,0.8,0.03,0.88,"[0.89, 0.89]","[[0.86, 0.89], [0.89, 0.76]]","[0.86, 0.76]"
julian.faust.becotatugxpimurutamab_scfv,0.88,0.8,0.04,0.88,"[0.88, 0.88]","[[0.85, 0.88], [0.88, 0.76]]","[0.85, 0.76]"
akash.arunabharathi.design4,0.16,0.62,0.05,0.27,"[0.16, 0.16]","[[0.35, 0.16], [0.16, 0.71]]","[0.35, 0.71]"
mosquitolkfo.nab_design_3,0.82,0.76,0.02,0.82,"[0.82, 0.82]","[[0.84, 0.82], [0.82, 0.74]]","[0.84, 0.74]"
allongoldberg.3_52_10_refined_ideal,0.27,0.69,0.02,0.36,"[0.27, 0.27]","[[0.53, 0.27], [0.27, 0.72]]","[0.53, 0.72]"
huiyu.cai.h3_15_3351_h,0.14,0.63,0.02,0.25,"[0.14, 0.14]","[[0.84, 0.14], [0.14, 0.71]]","[0.84, 0.71]"
baptiste.roelens.ognk,0.93,0.76,0.02,0.9,"[0.93, 0.93]","[[0.72, 0.93], [0.93, 0.76]]","[0.72, 0.76]"
tadaskluonis.cotimed_egf_bcseq_2,0.88,0.75,0.03,0.87,"[0.88, 0.88]","[[0.65, 0.88], [0.88, 0.74]]","[0.65, 0.74]"
elian.elian1,0.9,0.78,0.02,0.89,"[0.9, 0.9]","[[0.72, 0.9], [0.9, 0.76]]","[0.72, 0.76]"
rohith.mohan.model_67_69_2,0.48,0.73,0.02,0.54,"[0.48, 0.48]","[[0.4, 0.48], [0.48, 0.76]]","[0.4, 0.76]"
paulafcfranklin.synth_rosetta_6,0.87,0.74,0.04,0.86,"[0.87, 0.87]","[[0.64, 0.87], [0.87, 0.72]]","[0.64, 0.72]"
biolucasmachado.engineered_binder_6,0.87,0.77,0.03,0.87,"[0.87, 0.87]","[[0.67, 0.87], [0.87, 0.75]]","[0.67, 0.75]"
antorsae.ta_4_5,0.31,0.71,0.02,0.4,"[0.31, 0.31]","[[0.4, 0.31], [0.31, 0.73]]","[0.4, 0.73]"
biolucasmachado.engineered_binder_5,0.93,0.77,0.03,0.91,"[0.93, 0.93]","[[0.69, 0.93], [0.93, 0.76]]","[0.69, 0.76]"
jvogt4.vogt_scfv_0128,0.52,0.65,0.04,0.56,"[0.52, 0.52]","[[0.85, 0.52], [0.52, 0.7]]","[0.85, 0.7]"
joaosartori2.c1,0.87,0.74,0.04,0.86,"[0.87, 0.87]","[[0.64, 0.87], [0.87, 0.72]]","[0.64, 0.72]"
kurumida.yoichi.mg_05,0.88,0.75,0.02,0.86,"[0.88, 0.88]","[[0.57, 0.88], [0.88, 0.74]]","[0.57, 0.74]"
nicholas-schnicker.schnick_04,0.88,0.77,0.02,0.87,"[0.88, 0.88]","[[0.77, 0.88], [0.88, 0.76]]","[0.77, 0.76]"
youngsuko2000.fast4,0.88,0.85,0.03,0.89,"[0.88, 0.88]","[[0.64, 0.88], [0.88, 0.84]]","[0.64, 0.84]"
christoph.gruber.upperbinder_scaffold1_lowerbinder,0.69,0.48,0.03,0.66,"[0.69, 0.69]","[[0.64, 0.69], [0.69, 0.53]]","[0.64, 0.53]"
lennart.nickel.egfr_l179_s82283_mpnn1,0.87,0.78,0.02,0.86,"[0.87, 0.87]","[[0.79, 0.87], [0.87, 0.75]]","[0.79, 0.75]"
ccalia.paesani_lab_design3,0.58,0.62,0.06,0.62,"[0.58, 0.58]","[[0.34, 0.58], [0.58, 0.71]]","[0.34, 0.71]"
zalavi.zalavi3_mergedaltered_rustamov,0.59,0.61,0.01,0.6,"[0.59, 0.59]","[[0.62, 0.59], [0.59, 0.61]]","[0.62, 0.61]"
zhoup1366.dbz7___a,0.14,0.63,0.02,0.24,"[0.14, 0.14]","[[0.83, 0.14], [0.14, 0.71]]","[0.83, 0.71]"
x.rustamov.traj_9_8_model_1_0,0.13,0.6,0.01,0.23,"[0.13, 0.13]","[[0.83, 0.13], [0.13, 0.68]]","[0.83, 0.68]"
jude.wells.21.6b3s_necitumumab_fused_trimmed_task_211_iter_150,0.87,0.8,0.02,0.86,"[0.87, 0.87]","[[0.86, 0.87], [0.87, 0.77]]","[0.86, 0.77]"
qilin_y.test5,0.21,0.64,0.02,0.31,"[0.21, 0.21]","[[0.72, 0.21], [0.21, 0.7]]","[0.72, 0.7]"
joaosartori2.c4,0.79,0.7,0.03,0.78,"[0.79, 0.79]","[[0.57, 0.79], [0.79, 0.69]]","[0.57, 0.69]"
maxall4.egfr_ed_binder_l132_s581930_mpnn1_model1_unrelaxed_rank_001_alphafold2_multimer_v3_model_1_seed_000_top1_mutation_r79a_round1_chain_a,0.89,0.77,0.02,0.87,"[0.89, 0.89]","[[0.82, 0.89], [0.89, 0.74]]","[0.82, 0.74]"
keaun.gafpvvfkadiarvsefvaigpstgylgslttmsgvnq,0.18,0.73,0.08,0.33,"[0.18, 0.18]","[[0.12, 0.18], [0.18, 0.76]]","[0.12, 0.76]"
christoph.gruber.upperbinder_xten_lowerbinder,0.59,0.69,0.11,0.67,"[0.59, 0.59]","[[0.26, 0.59], [0.59, 0.72]]","[0.26, 0.72]"
ccalia.paesani_lab_design1,0.61,0.62,0.03,0.62,"[0.61, 0.61]","[[0.35, 0.61], [0.61, 0.71]]","[0.35, 0.71]"
stocco.filippo.1.3.3.18_40_0_iteration12_1.0321554292304749,0.9,0.76,0.02,0.88,"[0.9, 0.9]","[[0.64, 0.9], [0.9, 0.74]]","[0.64, 0.74]"
salireza111.seq166_7_003_9,0.59,0.7,0.02,0.62,"[0.59, 0.59]","[[0.58, 0.59], [0.59, 0.71]]","[0.58, 0.71]"
christoph.gruber.upperbinder_scaffold2_lowerbinder,0.6,0.53,0.06,0.62,"[0.6, 0.6]","[[0.6, 0.6], [0.6, 0.6]]","[0.6, 0.6]"
enzo.morro.design_0_n_0_mpnn_1.117_plddt_0.713_i_ptm_0.082_i_pae_27.542_rmsd_25.669,0.22,0.59,0.02,0.3,"[0.22, 0.22]","[[0.7, 0.22], [0.22, 0.68]]","[0.7, 0.68]"
jakublala.epitope_1_20aa.pdb,0.33,0.76,0.05,0.44,"[0.33, 0.33]","[[0.02, 0.33], [0.33, 0.77]]","[0.02, 0.77]"
enzo.morro.design_0_n_1_mpnn_1.085_plddt_0.817_i_ptm_0.076_i_pae_28.084_rmsd_25.372,0.14,0.55,0.02,0.23,"[0.14, 0.14]","[[0.59, 0.14], [0.14, 0.64]]","[0.59, 0.64]"
