complex,AF3_binder_Interface_size,OF3_binder_interface_size,Binder_Jaccard,AF3_Target_interface_size,OF3_Target_interface_size,target_jaccard,design_class,binding,binding_strength
allongoldberg.4_44_14_refined_ideal,22,48,0.2068965517241379,27,79,0.2771084337349397,Other,False,
amelie.schreiber.model_56_119_15,20,39,0.2553191489361702,32,77,0.1473684210526315,Miniprotein,False,
amelie.schreiber.model_60_151_9,23,29,0.3333333333333333,30,66,0.1707317073170731,Miniprotein,False,
amelie.schreiber.model_83_156_16,30,49,0.2741935483870967,33,75,0.3012048192771084,Other,False,
amirmhosseini47.mohammad_seq2,34,35,0.3529411764705882,39,69,0.44,Peptide,False,
antorsae.t0.1_sample939_score0.9451_global_score1.3625_seq_recovery0.4250,13,27,0.3793103448275862,22,74,0.2151898734177215,Peptide,False,
antorsae.ta525_0_0,14,21,0.25,22,35,0.3571428571428571,Peptide,False,
antorsae.ta_4_4,16,22,0.4615384615384615,23,56,0.144927536231884,Peptide,False,
antorsae.ta_4_5,17,17,0.4166666666666667,22,37,0.3111111111111111,Peptide,False,
antorsae.ta_5_1,11,20,0.1923076923076923,19,49,0.1333333333333333,Peptide,False,
antorsae.ta_5_2,18,25,0.4333333333333333,25,64,0.1265822784810126,Peptide,False,
antorsae.ta_5_3,16,25,0.4137931034482758,22,50,0.1428571428571428,Peptide,False,
antorsae.ta397unsafety_2,11,15,0.238095238095238,20,31,0.1333333333333333,Peptide,False,
areddy.egfr_l169_s781475,30,58,0.1428571428571428,36,93,0.1834862385321101,Other,False,
aswini.clipgen30,14,27,0.2424242424242424,15,70,0.1486486486486486,Peptide,False,
aswini.seed1,32,27,0.3720930232558139,44,62,0.1777777777777777,Peptide,False,
aswini.seed1_1,26,27,0.325,40,65,0.0714285714285714,Peptide,False,
aswini.seed2_1,27,27,0.4594594594594595,36,50,0.036144578313253,Peptide,False,
aswini.seed2_3,29,27,0.4,29,47,0.0,Peptide,False,
aswinijavadi160197.8_a,10,30,0.0,12,68,0.0,Other,False,
aureliabustos.bce_var433,31,24,0.3414634146341463,37,42,0.6122448979591837,Peptide,True,Medium
aureliabustos.bce_var464,31,23,0.35,40,38,0.56,Peptide,True,Strong
aureliabustos.bce_var702,30,28,0.3809523809523809,38,60,0.4626865671641791,Peptide,True,Medium
aureliabustos.wt_noised_i_scaffold_shorted_var71,34,30,0.391304347826087,39,68,0.4266666666666667,Peptide,True,Weak
aureliabustos.wwt_noised_i_scaffold_shorted_var6640,32,25,0.3255813953488372,39,41,0.6,Peptide,True,Weak
aureliabustos.wwt_noised_i_scaffold_shorted_var7524,34,25,0.475,37,61,0.4848484848484848,Peptide,True,Weak
aureliabustos.wwt_noised_i_scaffold_shorted_var8423,33,21,0.2272727272727272,38,40,0.56,Peptide,True,Weak
aureliabustos.wwt_noised_i_scaffold_shorted_var9391,31,28,0.4047619047619047,38,64,0.4366197183098591,Peptide,True,Weak
baptiste.roelens.ognk,23,32,0.4102564102564102,27,60,0.1917808219178082,Miniprotein,False,
begonia.sp.13.egfr_l110_s478327_mpnn7_model2,28,56,0.2537313432835821,28,90,0.1919191919191919,Other,False,
begonia.sp.13.egfr_l61_s456546_mpnn1_model1,21,35,0.3023255813953488,28,69,0.3287671232876712,Miniprotein,False,
begonia.sp.13.egfr_l88_s11832_mpnn1_model2,23,35,0.2340425531914893,27,79,0.2045454545454545,Other,True,Medium
binom16.pocket1pep15,9,13,0.5714285714285714,18,32,0.1363636363636363,Peptide,False,
binom16.pocket2pep86,11,7,0.3846153846153846,16,16,0.1851851851851851,Peptide,False,
binom16.pocket2pep89,9,13,0.4666666666666667,14,26,0.25,Peptide,False,
binom16.pocket3pep98,12,13,0.3888888888888889,18,34,0.2093023255813953,Peptide,False,
binom16.pocket7pep80,9,9,0.3846153846153846,16,26,0.1052631578947368,Peptide,False,
biolucasmachado.engineered_binder_1,15,29,0.3333333333333333,17,63,0.2307692307692307,Peptide,True,Weak
biolucasmachado.engineered_binder_2,19,28,0.3055555555555556,22,54,0.2258064516129032,Peptide,False,
biolucasmachado.engineered_binder_3,29,23,0.2682926829268293,41,43,0.6153846153846154,Peptide,False,
biolucasmachado.engineered_binder_4,38,32,0.4583333333333333,46,73,0.3837209302325581,Peptide,False,
biolucasmachado.engineered_binder_5,35,25,0.3333333333333333,41,47,0.4666666666666667,Peptide,False,
biolucasmachado.engineered_binder_6,36,32,0.5813953488372093,43,64,0.4657534246575342,Peptide,False,
biolucasmachado.engineered_binder_7,33,30,0.5,41,59,0.3888888888888889,Peptide,False,
biolucasmachado.engineered_binder_8,35,24,0.3409090909090909,41,61,0.3421052631578947,Peptide,False,
biolucasmachado.engineered_binder_9,28,30,0.4146341463414634,40,69,0.4533333333333333,Peptide,False,
briannaughton.1_plus_2,30,64,0.1604938271604938,29,96,0.2254901960784313,Other,True,Medium
briannaughton.1_plus_egfr,50,66,0.2210526315789473,52,98,0.3157894736842105,Other,True,Medium
briannaughton.2_plus_1,38,87,0.1682242990654205,40,132,0.1621621621621621,Other,True,Medium
briannaughton.2_plus_2,56,78,0.2293577981651376,59,99,0.0972222222222222,Other,True,Weak
briannaughton.egfr_plus_egfr,37,47,0.4,43,92,0.3917525773195876,Other,True,Weak
bronte.egfr_binder_4_91,14,37,0.1860465116279069,17,86,0.1075268817204301,Miniprotein,False,
bundit.b_s18.manbaritone_seq3_egfr-binder-70-100_beta_303_dldesign_6_lenght71,29,39,0.2830188679245283,25,88,0.2282608695652173,Miniprotein,False,
bundit.b_s18.manbaritone_seq5_egfr-binder-70-100_beta_303_dldesign_1_length71,28,34,0.4090909090909091,27,69,0.2631578947368421,Miniprotein,False,
bundit.b_s18.manbaritone_seq6_egfr-binder-70-100_beta_778_dldesign_0_length71,25,32,0.2954545454545454,28,68,0.28,Miniprotein,False,
cameron.kroll.gertrude_gen3,29,55,0.2,28,77,0.2804878048780488,Other,False,
cameron.kroll.gertrude_gen3_s69d_n61e,23,63,0.1168831168831168,21,114,0.1440677966101695,Other,False,
cameron.kroll.gertrude_gen5,28,59,0.2083333333333333,31,109,0.2612612612612612,Other,False,
cameron.kroll.gertrude_gen6,28,64,0.2266666666666666,29,97,0.2352941176470588,Other,False,
cameron.kroll.leitner,29,54,0.1690140845070422,27,92,0.1121495327102803,Other,False,
carson.vaux.baker1_18,16,36,0.1818181818181818,22,67,0.2361111111111111,Miniprotein,False,
cbrown.cbrown_0005_2_egfr_l81_s801188_mpnn1_model1,25,39,0.3061224489795918,25,58,0.3387096774193548,Miniprotein,False,
ccalia.paesani_lab_design1,31,63,0.1604938271604938,30,96,0.1775700934579439,Other,False,
ccalia.paesani_lab_design2,43,54,0.1547619047619047,54,92,0.2166666666666666,Other,False,
ccalia.paesani_lab_design3,37,63,0.1494252873563218,44,102,0.2695652173913043,Other,False,
ccalia.paesani_lab_design8,31,63,0.119047619047619,30,104,0.175438596491228,Other,False,
ccalia.paesani_lab_design9,38,103,0.0681818181818181,39,162,0.1485714285714285,Other,False,
cchallacombe.1,20,46,0.32,24,89,0.0,Nanobody,False,
cchallacombe.4,29,39,0.2592592592592592,35,75,0.1827956989247312,Nanobody,False,
cchallacombe.6,18,62,0.1428571428571428,14,100,0.0,Nanobody,False,
chenceshi1105.steven_binder_design_l75_s60968_it100_mpnn0,26,28,0.125,27,59,0.2463768115942029,Miniprotein,False,
chenceshi1105.steven_binder_design_l82_s44755_it100_mpnn6,26,28,0.2272727272727272,22,53,0.2711864406779661,Miniprotein,False,
chenceshi1105.steven_binder_design_l89_s48081_it100_mpnn4,20,34,0.2,20,56,0.2258064516129032,Miniprotein,False,
christoph.gruber.binder12_1,13,28,0.28125,19,65,0.0632911392405063,Other,False,
christoph.gruber.upperbinder_scaffold1_lowerbinder,37,56,0.1772151898734177,59,88,0.1574803149606299,Other,False,
christoph.gruber.upperbinder_scaffold2_lowerbinder,43,61,0.3164556962025316,64,93,0.2265625,Other,False,
christoph.gruber.upperbinder_scaffold3_lowerbinder,33,71,0.238095238095238,54,116,0.2878787878787879,Other,False,
christoph.gruber.upperbinder_xten_lowerbinder,26,30,0.4736842105263157,40,67,0.0808080808080808,Peptide,False,
chrisxushaoyong.hu_nano1_1_ff3e18,24,64,0.3134328358208955,26,116,0.1735537190082644,Nanobody,False,
chrisxushaoyong.hu_nano1_3_eef94e,15,55,0.09375,20,110,0.0924369747899159,Nanobody,True,Medium
chrisxushaoyong.hu_nano1_5_559c85,13,52,0.2264150943396226,16,107,0.1081081081081081,Nanobody,False,
chrisxushaoyong.hu_nano2_2_7ef96e,20,33,0.0392156862745098,26,66,0.0109890109890109,Nanobody,True,Strong
chrisxushaoyong.hu_nano2_4_85252b,17,62,0.1969696969696969,27,111,0.037593984962406,Nanobody,True,Strong
chuh.egfr_seg1_l58_s941869_mpnn2,15,28,0.1944444444444444,18,74,0.1794871794871795,Miniprotein,False,
chuh.egfr_seg2_l58_s53469_mpnn1,26,31,0.2954545454545454,28,70,0.240506329113924,Miniprotein,True,Medium
chuh.egfr_seg2_l62_s244475_mpnn4,24,34,0.3488372093023256,26,78,0.238095238095238,Miniprotein,False,
colby.tupegfr_001___anti-egfr_fv-like_protein_diffused_with_evodiff,38,61,0.1785714285714285,32,90,0.173076923076923,scFv,False,
colby.tupegfr_006___anti-egfr_fv-like_protein_diffused_with_evodiff,32,68,0.2048192771084337,27,107,0.0983606557377049,scFv,False,
colby.tupegfr_010___anti-egfr_fv-like_protein_diffused_with_evodiff,18,72,0.0465116279069767,16,110,0.1150442477876106,scFv,False,
colby.tupegfr_012___anti-egfr_fv-like_protein_diffused_with_evodiff,19,71,0.0344827586206896,23,109,0.2,scFv,True,Weak
colby.tupegfr_018___anti-egfr_fv-like_protein_diffused_with_esm3,26,57,0.136986301369863,27,85,0.2043010752688172,scFv,False,
coreyhowe99.corey82,26,20,0.3529411764705882,29,39,0.3076923076923077,Miniprotein,False,
darius.szablowski.egfr_binder_1___top_binder_1,21,32,0.1276595744680851,27,86,0.1530612244897959,Other,False,
darius.szablowski.egfr_binder_2___ggggs_3_linked_top_binders_1_and_2,41,86,0.1545454545454545,48,132,0.2080536912751678,Other,False,
darius.szablowski.egfr_binder_3___ggggs_3_linked_top_binders_1_rev_and_2_rev,23,80,0.0842105263157894,24,125,0.1374045801526717,Other,False,
darius.szablowski.egfr_binder_4___ggggs_3_linked_top_binders_1_and_2_efficiently_evolved,31,49,0.1594202898550724,39,81,0.348314606741573,Other,False,
darius.szablowski.egfr_binder_5___ggggs_3_linked_top_binders_1_and_2_efficiently_evolved_and_sapiens_evolved,44,61,0.1170212765957446,55,98,0.2966101694915254,Other,False,
deepsatflow.6aru_final_chain_a_domain_3_l138_s466479_mpnn9,34,68,0.1724137931034483,33,98,0.2129629629629629,Other,False,
deepsatflow.6aru_final_chain_a_domain_3_l142_s806907_mpnn1,24,53,0.1846153846153846,28,88,0.2473118279569892,Other,True,Weak
deepsatflow.6aru_final_chain_a_domain_3_l147_s945609_mpnn1,24,52,0.1875,29,93,0.173076923076923,Other,True,Weak
dre.lgdl_egfr_001,9,29,0.2258064516129032,17,55,0.1612903225806451,Peptide,False,
dre.lgdl_egfr_008,14,20,0.2592592592592592,17,39,0.217391304347826,Peptide,False,
duynth29.duy_l111_mpnn14,29,60,0.3283582089552239,31,97,0.2075471698113207,Other,False,
duynth29.duy_l111_mpnn14_i36m__l80m_l42m,28,62,0.2676056338028169,31,104,0.1739130434782608,Other,False,
duynth29.duy_l111_mpnn14_l80m_l42m,29,56,0.2686567164179104,32,91,0.2424242424242424,Other,False,
duynth29.l148_mpnn1,26,58,0.1666666666666666,30,89,0.2659574468085106,Other,False,
duynth29.l88_mpnn5,25,46,0.1639344262295081,33,94,0.2450980392156862,Other,False,
eceiiitn786.8s2,25,28,0.4324324324324324,27,70,0.0777777777777777,Peptide,False,
elian.elian1,31,32,0.3404255319148936,29,61,0.2328767123287671,Other,False,
elian.elian2,30,42,0.2413793103448276,28,81,0.2674418604651162,Other,False,
elian.elian3,30,21,0.2439024390243902,31,53,0.2352941176470588,Other,False,
elian.elian4,30,31,0.3863636363636363,28,69,0.3108108108108108,Other,False,
elian.elian5,31,33,0.3061224489795918,29,72,0.160919540229885,Other,False,
enzo.morro.design_0_n_0_mpnn_1.117_plddt_0.713_i_ptm_0.082_i_pae_27.542_rmsd_25.669,24,62,0.0617283950617283,25,92,0.1818181818181818,Other,False,
enzo.morro.design_0_n_1_mpnn_1.085_plddt_0.817_i_ptm_0.076_i_pae_28.084_rmsd_25.372,28,49,0.0266666666666666,30,83,0.1770833333333333,Other,False,
enzo.morro.design_0_n_2_mpnn_1.120_plddt_0.858_i_ptm_0.072_i_pae_28.117_rmsd_30.276,28,59,0.2253521126760563,25,89,0.0,Other,False,
fernando.meireles.design_hybrid_partial_diff_4_31_binder,28,40,0.1333333333333333,36,67,0.2409638554216867,Other,False,
fernando.meireles.design_hybrid_partial_diff_7_1_binder,22,52,0.1746031746031746,30,102,0.1186440677966101,Other,False,
fernando.meireles.design_hybrid_partial_diff_9_54_binder,26,55,0.1571428571428571,32,95,0.233009708737864,Other,False,
fgndd1.fg_seq1,27,53,0.1111111111111111,31,91,0.2448979591836734,Other,False,
flowuenne.nf-proteindesign_design10,12,20,0.1034482758620689,13,38,0.0625,Miniprotein,False,
flowuenne.nf-proteindesign_design7,17,20,0.2333333333333333,19,37,0.2727272727272727,Miniprotein,False,
flowuenne.nf-proteindesign_design8,15,24,0.1818181818181818,22,58,0.1764705882352941,Miniprotein,False,
gitter.yolo23,23,28,0.4571428571428571,28,63,0.2297297297297297,Miniprotein,False,
gitter.yolo46,27,25,0.2682926829268293,26,67,0.2077922077922078,Miniprotein,False,
gitter.yolo48,18,36,0.1739130434782608,23,61,0.1830985915492957,Miniprotein,True,Weak
hughy.4krp_b_a_89_rnd3_full,11,59,0.09375,13,96,0.0,Nanobody,False,
hughy.7om4_b_a_17_rnd2_v2_full,33,59,0.1948051948051948,44,113,0.1214285714285714,Nanobody,False,
hughy.7om4_b_a_180_rnd1_v1_full,15,54,0.1896551724137931,17,100,0.1142857142857142,Nanobody,False,
hughy.7om4_b_a_33_rnd2_v2_full,24,50,0.2131147540983606,23,86,0.101010101010101,Nanobody,False,
hughy.7om4_b_a_8_rnd2_v2_full,20,47,0.1964285714285714,22,101,0.0603448275862069,Nanobody,False,
huiyu.cai.h3_15_2431_h,20,51,0.0923076923076923,16,91,0.1030927835051546,Nanobody,False,
huiyu.cai.h3_15_2847_h,21,33,0.08,21,56,0.1846153846153846,Nanobody,False,
huiyu.cai.h3_15_3351_h,11,50,0.1296296296296296,16,105,0.09009009009009,Nanobody,False,
huiyu.cai.h3_15_4373_h,18,38,0.1666666666666666,20,66,0.2112676056338028,Nanobody,False,
huiyu.cai.h3_15_877_h,26,32,0.1153846153846153,25,69,0.189873417721519,Nanobody,False,
jack.li.egfrbindingcandidate_7,19,83,0.0625,22,114,0.0708661417322834,scFv,False,
jakublala.epitope_1_20aa.pdb,11,13,0.7142857142857143,23,31,0.1489361702127659,Peptide,False,
jakublala.epitope_1_30aa.pdb,14,20,0.36,19,43,0.2156862745098039,Miniprotein,False,
jakublala.epitope_2_30aa_1.pdb,9,13,0.2222222222222222,15,37,0.1063829787234042,Miniprotein,False,
jakublala.full_dibinder_45aa.pdb,15,25,0.3333333333333333,17,56,0.3035714285714285,Peptide,False,
jakublala.full_dibinder_45aa_2.pdb,15,26,0.28125,17,45,0.3478260869565217,Miniprotein,False,
joaosartori2.c1,34,31,0.3,40,73,0.2988505747126437,Peptide,True,Weak
joaosartori2.c3,33,28,0.3555555555555555,41,54,0.5079365079365079,Peptide,False,
joaosartori2.c4,36,32,0.5111111111111111,43,67,0.375,Peptide,False,
joaosartori2.c6,38,35,0.4897959183673469,38,77,0.4556962025316455,Peptide,False,
joel.rf_diffusion_trim_3,19,34,0.1777777777777777,24,68,0.0,Other,False,
jude.wells.21.6b3s_necitumumab_fused_trimmed_task_211_iter_150,24,63,0.0481927710843373,26,76,0.2,scFv,False,
jude.wells.21.6b3s_necitumumab_fused_trimmed_task_89_iter_216,24,85,0.09,26,99,0.0964912280701754,scFv,False,
jude.wells.21.6b3s_necitumumab_fused_trimmed_task_98_iter_184,22,72,0.1058823529411764,26,87,0.1078431372549019,scFv,False,
jude.wells.21.panitumumab_fused_trimmed_crossbreed3,21,64,0.0897435897435897,24,87,0.1443298969072164,scFv,False,
jude.wells.21.panitumumab_fused_trimmed_task_12_iter_123,22,81,0.0510204081632653,24,103,0.0948275862068965,scFv,False,
julian.faust.becotatugxpimurutamab_scfv,24,80,0.0947368421052631,23,101,0.1171171171171171,scFv,False,
julian.faust.demupitamab_mpnn_19_scfv,24,72,0.0786516853932584,25,100,0.1261261261261261,scFv,False,
julian.faust.pimurutamab_mpnn_17_scfv,23,54,0.0845070422535211,22,85,0.1505376344086021,scFv,True,Medium
julian.faust.pimurutamab_mpnn_18_scfv,22,75,0.0898876404494382,22,86,0.1134020618556701,scFv,True,Weak
julian.faust.pimurutamabxbecotatug_scfv,24,72,0.0666666666666666,24,92,0.1485148514851485,scFv,False,
julie.jg26n,17,25,0.3548387096774194,20,61,0.208955223880597,Miniprotein,False,
julie.rj0aa,18,30,0.3714285714285714,19,69,0.1733333333333333,Miniprotein,False,
julie.ryfqy,16,31,0.1463414634146341,20,68,0.2054794520547945,Miniprotein,False,
junhee.park1999.egfr_binder_6,21,88,0.058252427184466,28,109,0.1138211382113821,scFv,False,
junhee.park1999.egfr_binder_7,21,81,0.0851063829787234,28,106,0.1074380165289256,scFv,False,
junhee.park1999.egfr_binder_9,20,101,0.0803571428571428,27,151,0.1265822784810126,scFv,False,
jvogt4.vogt_scfv_0128,23,47,0.0769230769230769,22,85,0.07,scFv,True,Medium
jvogt4.vogt_scfv_2009,19,82,0.0631578947368421,19,113,0.1,scFv,True,Medium
jvogt4.vogt_scfv_2143,24,55,0.1126760563380281,22,77,0.2073170731707317,scFv,True,Medium
jvogt4.vogt_scfv_2279,22,57,0.1126760563380281,22,90,0.1428571428571428,scFv,True,Weak
jvogt4.vogt_scfv_2470,18,68,0.036144578313253,17,101,0.0535714285714285,scFv,True,Medium
karmanyaaggarwal.ds002542,17,49,0.081967213114754,16,79,0.1585365853658536,Nanobody,False,
karmanyaaggarwal.ds003076,18,31,0.0652173913043478,20,68,0.1282051282051282,Nanobody,False,
karmanyaaggarwal.ds004729,15,44,0.0535714285714285,18,90,0.1489361702127659,Nanobody,False,
keaun.gafpvvfkadiarvsefvaigpstgylgslttmsgvnq,19,25,0.4193548387096774,21,65,0.1025641025641025,Peptide,False,
keaun.gifgvvfkadiarvsidvaidystgylgslttfsgcnq,6,23,0.16,7,55,0.087719298245614,Peptide,False,
keaun.gwfgvvfkadiagvsekvaielsggyegslttpsgwnq,16,24,0.3793103448275862,23,55,0.1818181818181818,Peptide,False,
keaun.gwfgvvfkadiardsefvailesqgylssittfsgwnq,17,18,0.25,23,37,0.25,Peptide,False,
keaun.gwfgvvfkadiarvsefvaiglstgplgsestfsiwrq,14,20,0.3076923076923077,22,37,0.2826086956521739,Miniprotein,False,
kerrding.seq5,31,22,0.358974358974359,37,43,0.4035087719298245,Peptide,True,Weak
kerrding.seq6,33,30,0.4318181818181818,38,76,0.4074074074074074,Peptide,True,Weak
kerrding.seq7,32,31,0.4651162790697674,42,63,0.5217391304347826,Peptide,False,
kerrding.seq8,34,26,0.3636363636363636,45,49,0.5161290322580645,Peptide,False,
kerrding.seq9,12,25,0.2333333333333333,16,49,0.0833333333333333,Peptide,False,
klima.jason.8hgo_design_4yyaf_0_0,24,60,0.12,31,103,0.2407407407407407,Other,False,
klima.jason.8hgo_design_8gswy_1_2,34,73,0.1758241758241758,42,109,0.2377049180327868,Other,False,
klima.jason.8hgo_design_94eja_1_5,15,61,0.1692307692307692,21,109,0.1818181818181818,Other,False,
klima.jason.8hgo_design_jt8s1_0_3_proteinmpnn_20,50,57,0.1888888888888888,44,96,0.217391304347826,Other,False,
klima.jason.8hgo_design_vdcjs_1_2,24,49,0.2166666666666666,29,90,0.1018518518518518,Other,False,
kurumida.yoichi.mg_05,15,22,0.1935483870967742,16,54,0.2280701754385964,Miniprotein,True,Medium
lennart.nickel.egfr_l114_s69310_mpnn7,22,57,0.1285714285714285,24,119,0.1626016260162601,Other,False,
lennart.nickel.egfr_l139_s63093_mpnn2,23,44,0.175438596491228,24,70,0.2207792207792207,Other,False,
lennart.nickel.egfr_l170_s20625_mpnn10,32,67,0.2222222222222222,32,101,0.1981981981981982,Other,True,Weak
lennart.nickel.egfr_l179_s82283_mpnn1,20,41,0.173076923076923,19,77,0.2,Other,True,Medium
lennart.nickel.egfr_l98_s70756_mpnn3,20,30,0.0416666666666666,25,67,0.2602739726027397,Other,False,
lhallee.lhallee_128_driveid_1_2,29,60,0.2191780821917808,44,98,0.1451612903225806,Other,False,
lhallee.lhallee_128_driveid_3_4,16,66,0.0933333333333333,21,106,0.1238938053097345,Other,False,
lhallee.lhallee_20_on_target_2000,11,12,0.3529411764705882,17,25,0.2352941176470588,Miniprotein,False,
lhallee.lhallee_40_full_driveid_8_9,11,24,0.2068965517241379,15,41,0.3333333333333333,Peptide,False,
lhallee.lhallee_40_target_driveid_10,14,20,0.3076923076923077,19,34,0.2926829268292683,Peptide,False,
lyu.1,33,44,0.2622950819672131,30,98,0.2075471698113207,Other,False,
lyu.2,33,47,0.2698412698412698,29,88,0.2580645161290322,Other,False,
lyu.3,28,40,0.2142857142857142,27,83,0.1827956989247312,Other,False,
markus.braun.egfr_binder_1,49,81,0.0924369747899159,47,107,0.2419354838709677,Other,False,
markus.braun.egfr_binder_3,64,69,0.1769911504424778,48,101,0.1461538461538461,Other,False,
markus.braun.egfr_binder_6,54,99,0.150375939849624,48,145,0.2292993630573248,Other,False,
markus.braun.egfr_binder_7,51,77,0.0847457627118644,47,126,0.2183098591549295,Other,False,
markus.braun.egfr_binder_8,50,81,0.2242990654205607,50,118,0.1666666666666666,Other,False,
martin.egfr_l111_s89744_mpnn1,18,41,0.1132075471698113,18,76,0.0804597701149425,Other,False,
martin.egfr_l121_s46924_mpnn18,31,32,0.1666666666666666,27,50,0.3275862068965517,Other,False,
martin.egfr_l142_s75963_mpnn1,31,57,0.1282051282051282,28,100,0.2549019607843137,Other,False,
martin.egfr_l165_s31019_mpnn3,26,71,0.1547619047619047,25,124,0.0955882352941176,Other,False,
martin.egfr_l177_s77884_mpnn7,22,63,0.1184210526315789,21,97,0.1568627450980392,Other,False,
maxall4.egfr_ed_binder_l124_s860500_mpnn1_model1_unrelaxed_rank_001_alphafold2_multimer_v3_model_1_seed_000_top1_mutation_d81n_round1_chain_a,33,60,0.2077922077922078,32,97,0.2169811320754717,Other,False,
maxall4.egfr_ed_binder_l132_s581930_mpnn1_model1_unrelaxed_rank_001_alphafold2_multimer_v3_model_1_seed_000_top1_mutation_r79a_round1_chain_a,29,48,0.1492537313432835,28,93,0.2474226804123711,Other,False,
