complex,AF3_binder_Interface_size,Boltz_binder_interface_size,Binder_Jaccard,AF3_Target_interface_size,Boltz_Target_interface_size,target_jaccard
cchallacombe.6,18,19,0.6086956521739131,14,20,0.0
zulfatmi.pocket2pep63,7,12,0.5833333333333334,14,24,0.35714285714285715
junhee.park1999.egfr_binder_9,20,30,0.6129032258064516,27,36,0.6153846153846154
huiyu.cai.h3_15_2847_h,21,36,0.05555555555555555,21,35,0.3333333333333333
aureliabustos.wwt_noised_i_scaffold_shorted_var9391,31,31,0.8787878787878788,38,40,0.8571428571428571
duynth29.duy_l111_mpnn14_l80m_l42m,29,34,0.6153846153846154,32,39,0.4791666666666667
merlettaia.seq6v4,9,24,0.2692307692307692,10,32,0.2
lhallee.lhallee_128_driveid_3_4,16,39,0.1702127659574468,21,50,0.26785714285714285
noah.holzleitner.noah_egfr-binder_4,16,16,0.7777777777777778,18,17,0.9444444444444444
paulafcfranklin.synth_rosetta_9,34,34,0.8378378378378378,42,42,0.8260869565217391
xiuming_li2015.eureka_seq_1,21,26,0.7407407407407407,24,25,0.5806451612903226
christoph.gruber.upperbinder_scaffold3_lowerbinder,33,31,0.2549019607843137,54,35,0.14102564102564102
joel.rf_diffusion_trim_3,19,23,0.2,24,29,0.0
jude.wells.21.panitumumab_fused_trimmed_task_12_iter_123,22,26,0.6551724137931034,24,28,0.7333333333333333
stocco.filippo.1.3.3.18_13_0_iteration12_1.0279718223732435,14,28,0.5,22,42,0.4222222222222222
nhaas.4,22,32,0.5882352941176471,25,33,0.48717948717948717
s1995825.cotimed_egf_netsolp_usability_2,32,29,0.8484848484848485,39,39,0.813953488372093
minji.lee.3458,15,19,0.4782608695652174,17,21,0.0
kerrding.seq8,34,30,0.8823529411764706,45,36,0.7608695652173914
julie.ryfqy,16,17,0.9411764705882353,20,21,0.8636363636363636
keaun.gwfgvvfkadiagvsekvaielsggyegslttpsgwnq,16,28,0.375,23,36,0.3409090909090909
junhee.park1999.egfr_binder_6,21,32,0.5588235294117647,28,29,0.46153846153846156
darius.szablowski.egfr_binder_2___ggggs_3_linked_top_binders_1_and_2,41,38,0.38596491228070173,48,38,0.3230769230769231
stocco.filippo.1.3.3.18_65_0_iteration3_1.028317065130863,33,34,0.8108108108108109,43,41,0.8260869565217391
spacecruiser42.d2_prompt_binder_t0.8_88,11,15,0.7333333333333333,15,39,0.2857142857142857
duynth29.l88_mpnn5,25,24,0.8148148148148148,33,34,0.7631578947368421
julian.faust.pimurutamab_mpnn_17_scfv,23,32,0.6666666666666666,22,41,0.5365853658536586
s1995825.cotimed_egf_netsolp_usability_7,25,27,0.625,22,37,0.0
tim.silica_corpora_sampled_epitope_0_generated_variant_1_rank_8_phase_2,21,10,0.24,17,15,0.0
a.tucs.andrejs_tucs_seq3,31,30,0.90625,40,41,0.9285714285714286
aswini.seed1,32,32,0.6842105263157895,44,43,0.023529411764705882
elian.elian2,30,39,0.5681818181818182,28,40,0.5813953488372093
aureliabustos.bce_var464,31,30,0.967741935483871,40,42,0.8222222222222222
qxy615.s1_rfd_base_46_60,15,26,0.36666666666666664,16,34,0.0
antorsae.ta_5_2,18,22,0.48148148148148145,25,33,0.20833333333333334
lennart.nickel.egfr_l98_s70756_mpnn3,20,32,0.40540540540540543,25,36,0.38636363636363635
aureliabustos.wwt_noised_i_scaffold_shorted_var6640,32,31,0.8529411764705882,39,39,0.9024390243902439
gitter.yolo46,27,26,0.6060606060606061,26,30,0.07692307692307693
dre.lgdl_egfr_001,9,31,0.25,17,50,0.34
paulafcfranklin.synth_rosetta_3,35,33,0.9428571428571428,42,40,0.8222222222222222
flowuenne.nf-proteindesign_design7,17,21,0.4074074074074074,19,29,0.37142857142857144
spacecruiser42.d2_prompt_binder_t0.8_42,10,14,0.6,15,33,0.3333333333333333
z_peplib.pepseq_design_9,19,22,0.28125,33,27,0.0
begonia.sp.13.egfr_l61_s456546_mpnn1_model1,21,25,0.5333333333333333,28,41,0.5681818181818182
s1995825.cotimed_egf_netsolp_usability_3,32,31,0.9090909090909091,39,39,0.9024390243902439
jvogt4.vogt_scfv_2143,24,35,0.3409090909090909,22,40,0.12727272727272726
jvogt4.vogt_scfv_2279,22,23,0.5,22,24,0.0
tim.silica_corpora_sampled_epitope_0_generated_variant_8_rank_1_phase_2,21,20,0.10810810810810811,20,22,0.0
begonia.sp.13.egfr_l88_s11832_mpnn1_model2,23,36,0.475,27,36,0.5365853658536586
aswinijavadi160197.8_a,10,11,0.0,12,8,0.0
xiuming_li2015.eureka_seq_4,21,26,0.8076923076923077,23,26,0.6333333333333333
mosquitolkfo.nab_design_1,19,19,0.46153846153846156,26,28,0.0
klima.jason.8hgo_design_8gswy_1_2,34,45,0.43636363636363634,42,53,0.23376623376623376
chuh.egfr_seg2_l58_s53469_mpnn1,26,27,0.7666666666666667,28,34,0.8235294117647058
ccalia.paesani_lab_design8,31,64,0.14457831325301204,30,72,0.275
zulfatmi.pocket1pep78,13,16,0.8125,32,35,0.015151515151515152
darius.szablowski.egfr_binder_5___ggggs_3_linked_top_binders_1_and_2_efficiently_evolved_and_sapiens_evolved,44,32,0.22580645161290322,55,41,0.5737704918032787
akash.arunabharathi.design8,19,57,0.02702702702702703,20,68,0.07317073170731707
x.rustamov.traj_11_8_model_5_0,23,21,0.2571428571428571,22,20,0.0
cameron.kroll.gertrude_gen5,28,20,0.2631578947368421,31,20,0.0
zhoup1366.dbz6___a,16,14,0.5,19,18,0.0
colby.tupegfr_010___anti-egfr_fv-like_protein_diffused_with_evodiff,18,68,0.14666666666666667,16,63,0.2153846153846154
stocco.filippo.1.3.3.18_51_2_iteration3_1.0356664070457622,32,34,0.8857142857142857,41,40,0.8409090909090909
jvogt4.vogt_scfv_2009,19,17,0.5,19,20,0.02631578947368421
alecl.relaxeda,32,31,0.9090909090909091,36,32,0.8888888888888888
724928537.dbz7___a,14,30,0.41935483870967744,16,31,0.38235294117647056
toluwase.fatoki.toluwase_sequence6_112,21,35,0.19148936170212766,23,47,0.0
ssomani.17,16,18,0.0,16,17,0.0
gitter.yolo48,18,19,0.85,23,26,0.8846153846153846
nhaas.6,17,16,0.375,18,21,0.56
nhaas.3,21,29,0.3888888888888889,29,35,0.4883720930232558
a.tucs.andrejs_tucs_seq6,18,30,0.6,24,37,0.4186046511627907
martin.egfr_l165_s31019_mpnn3,26,27,0.358974358974359,25,34,0.3111111111111111
724928537.dbz8___a,17,31,0.4117647058823529,16,43,0.37209302325581395
chrisxushaoyong.hu_nano1_3_eef94e,15,28,0.2647058823529412,20,30,0.25
x.rustamov.p_vhh_partial_1_32,16,15,0.7222222222222222,19,19,0.5833333333333334
amirm.mhosseini.seq4,19,33,0.5294117647058824,16,45,0.35555555555555557
cchallacombe.1,20,24,0.4666666666666667,24,30,0.0
coreyhowe99.corey82,26,25,0.9615384615384616,29,28,0.9
antorsae.ta_4_4,16,20,0.5,23,31,0.22727272727272727
cameron.kroll.gertrude_gen3_s69d_n61e,23,26,0.48484848484848486,21,28,0.4411764705882353
qy.qilin.yu.10-13-21_sample267_complex_42_complex,19,31,0.42857142857142855,24,38,0.37777777777777777
markus.braun.egfr_binder_8,50,46,0.2,50,49,0.11235955056179775
biolucasmachado.engineered_binder_7,33,34,0.8611111111111112,41,41,0.8636363636363636
briannaughton.2_plus_1,38,49,0.6111111111111112,40,46,0.5925925925925926
kerrding.seq6,33,33,0.9411764705882353,38,41,0.8809523809523809
tim.silica_corpora_regions_sampled_epitope_0_generated_variant_6_rank_7_phase_2,11,22,0.43478260869565216,12,27,0.18181818181818182
maxall4.egfr_ed_binder_l134_s906486_mpnn2_model1_unrelaxed_rank_001_alphafold2_multimer_v3_model_1_seed_000_top1_mutation_g108s_round1_y80d_chain_a,21,22,0.8695652173913043,25,25,0.8518518518518519
kerrding.seq5,31,34,0.8571428571428571,37,40,0.8780487804878049
biolucasmachado.engineered_binder_2,19,28,0.11904761904761904,22,38,0.30434782608695654
s1995825.cotimed_egf_netsolp_usability_5,33,30,0.9090909090909091,37,36,0.8717948717948718
binom16.pocket2pep89,9,15,0.5,14,30,0.1891891891891892
alex.naka.charmeleon,17,33,0.47058823529411764,21,39,0.4634146341463415
nitesh.mishra3.stepwise_egf_based_egfr_binder_3,16,29,0.5,17,42,0.2553191489361702
alejandro.corrochano-navarro.eng_scfv_binder_3,22,28,0.5625,23,28,0.59375
keaun.gwfgvvfkadiarvsefvaiglstgplgsestfsiwrq,14,32,0.4375,22,48,0.2962962962962963
salireza111.seq166_3_002_4,15,18,0.2692307692307692,19,19,0.35714285714285715
cetuximab_scfv,22,28,0.7241379310344828,23,28,0.6451612903225806
julian.faust.becotatugxpimurutamab_scfv,24,32,0.5555555555555556,23,32,0.6176470588235294
akash.arunabharathi.design4,14,19,0.7368421052631579,24,25,0.0
mosquitolkfo.nab_design_3,19,17,0.38461538461538464,26,25,0.0
allongoldberg.3_52_10_refined_ideal,20,25,0.18421052631578946,26,31,0.11764705882352941
huiyu.cai.h3_15_3351_h,11,15,0.3,16,20,0.125
baptiste.roelens.ognk,23,31,0.5882352941176471,27,33,0.6216216216216216
tadaskluonis.cotimed_egf_bcseq_2,33,32,0.9696969696969697,40,41,0.8837209302325582
elian.elian1,31,28,0.84375,29,28,0.8387096774193549
rohith.mohan.model_67_69_2,22,30,0.5294117647058824,25,34,0.5945945945945946
paulafcfranklin.synth_rosetta_6,36,37,0.7804878048780488,42,43,0.7708333333333334
biolucasmachado.engineered_binder_6,36,33,0.7692307692307693,43,44,0.851063829787234
antorsae.ta_4_5,17,19,0.5652173913043478,22,31,0.17777777777777778
biolucasmachado.engineered_binder_5,35,35,0.9444444444444444,41,44,0.9318181818181818
jvogt4.vogt_scfv_0128,23,23,0.5862068965517241,22,16,0.0
joaosartori2.c1,34,34,0.8378378378378378,40,45,0.8478260869565217
kurumida.yoichi.mg_05,15,27,0.4482758620689655,16,35,0.34210526315789475
nicholas-schnicker.schnick_04,21,28,0.75,25,36,0.6486486486486487
youngsuko2000.fast4,37,26,0.575,42,38,0.7391304347826086
christoph.gruber.upperbinder_scaffold1_lowerbinder,37,37,0.15625,59,38,0.0898876404494382
lennart.nickel.egfr_l179_s82283_mpnn1,20,23,0.6538461538461539,19,21,0.7391304347826086
ccalia.paesani_lab_design3,37,53,0.40625,44,58,0.4782608695652174
zalavi.zalavi3_mergedaltered_rustamov,53,56,0.8793103448275862,59,58,0.8571428571428571
zhoup1366.dbz7___a,20,35,0.375,25,45,0.0
x.rustamov.traj_9_8_model_1_0,14,19,0.32,18,18,0.02857142857142857
jude.wells.21.6b3s_necitumumab_fused_trimmed_task_211_iter_150,24,32,0.6470588235294118,26,32,0.6111111111111112
qilin_y.test5,18,34,0.5294117647058824,23,44,0.45652173913043476
joaosartori2.c4,36,32,0.7,43,36,0.6122448979591837
maxall4.egfr_ed_binder_l132_s581930_mpnn1_model1_unrelaxed_rank_001_alphafold2_multimer_v3_model_1_seed_000_top1_mutation_r79a_round1_chain_a,29,26,0.896551724137931,28,25,0.8928571428571429
keaun.gafpvvfkadiarvsefvaigpstgylgslttmsgvnq,19,25,0.375,21,47,0.13333333333333333
christoph.gruber.upperbinder_xten_lowerbinder,26,44,0.2962962962962963,40,57,0.1686746987951807
ccalia.paesani_lab_design1,31,39,0.09375,30,32,0.08771929824561403
stocco.filippo.1.3.3.18_40_0_iteration12_1.0321554292304749,35,37,0.9459459459459459,42,42,0.8260869565217391
salireza111.seq166_7_003_9,17,30,0.5666666666666667,18,33,0.5
christoph.gruber.upperbinder_scaffold2_lowerbinder,43,29,0.3090909090909091,64,41,0.19318181818181818
enzo.morro.design_0_n_0_mpnn_1.117_plddt_0.713_i_ptm_0.082_i_pae_27.542_rmsd_25.669,24,34,0.2608695652173913,25,43,0.23636363636363636
jakublala.epitope_1_20aa.pdb,11,20,0.55,23,42,0.27450980392156865
enzo.morro.design_0_n_1_mpnn_1.085_plddt_0.817_i_ptm_0.076_i_pae_28.084_rmsd_25.372,28,10,0.22580645161290322,30,13,0.30303030303030304
jakublala.full_dibinder_45aa.pdb,15,31,0.4838709677419355,17,40,0.32558139534883723
antorsae.ta525_0_0,14,28,0.5,22,40,0.47619047619047616
amelie.schreiber.model_60_151_9,23,20,0.7916666666666666,30,28,0.7575757575757576
stocco.filippo.1.3.3.18_37_0_iteration3_1.024851931427025,15,25,0.48148148148148145,21,37,0.48717948717948717
tim.silica_corpora_regions_sampled_epitope_2_generated_variant_8_rank_3_phase_2,33,25,0.45,33,35,0.0
alex.naka.blastoise,33,33,0.8333333333333334,41,38,0.7555555555555555
binom16.pocket2pep86,11,13,0.5,16,22,0.4074074074074074
begonia.sp.13.egfr_l110_s478327_mpnn7_model2,28,41,0.6428571428571429,28,42,0.5909090909090909
allongoldberg.3_52_1_refined,16,26,0.3548387096774194,23,40,0.46511627906976744
huiyu.cai.h3_15_2431_h,20,15,0.16666666666666666,16,13,0.0
amelie.schreiber.model_83_156_16,30,25,0.7741935483870968,33,28,0.7428571428571429
briannaughton.1_plus_egfr,50,57,0.6984126984126984,52,57,0.7301587301587301
lhallee.lhallee_40_full_driveid_8_9,11,28,0.11428571428571428,15,46,0.17307692307692307
x.rustamov.traj_6_1_model_1_8,24,18,0.68,23,18,0.64
julie.jg26n,17,24,0.7083333333333334,20,29,0.5806451612903226
human_egf,33,27,0.6216216216216216,40,41,0.8
lennart.nickel.egfr_l114_s69310_mpnn7,22,35,0.5833333333333334,24,36,0.5384615384615384
youngsuko2000.last,38,37,0.9230769230769231,48,47,0.7924528301886793
zhoup1366.dbz8___a,15,23,0.26666666666666666,21,26,0.0
huiyu.cai.h3_15_877_h,26,13,0.3448275862068966,25,17,0.2
tadaskluonis.cotimed_egf_bcseq_1,33,33,1.0,39,40,0.8809523809523809
alan.blakely.12_3,40,78,0.42168674698795183,41,81,0.28421052631578947
a.tucs.andrejs_tucs_seq4,30,32,0.8787878787878788,39,41,0.9047619047619048
martin.egfr_l121_s46924_mpnn18,31,38,0.3018867924528302,27,45,0.3584905660377358
qilin_y.test6,22,27,0.48484848484848486,17,29,0.1794871794871795
niklas.7a72d922-1677-4fc8-9315-d7996ba05d8e_l150_s530325711_mpnn12,20,21,0.64,26,26,0.6774193548387096
lhallee.lhallee_40_target_driveid_10,14,28,0.4,19,33,0.40540540540540543
youngsuko2000.queen,37,38,0.8292682926829268,45,48,0.8235294117647058
alecl.unrelaxeda,28,30,0.8125,40,35,0.7857142857142857
lennart.nickel.egfr_l170_s20625_mpnn10,32,31,0.6578947368421053,32,37,0.6428571428571429
bundit.b_s18.manbaritone_seq3_egfr-binder-70-100_beta_303_dldesign_6_lenght71,29,38,0.7631578947368421,25,38,0.6578947368421053
lyu.3,28,34,0.7714285714285715,27,37,0.6410256410256411
alessio.daddio.ad_1,31,35,0.7837837837837838,36,43,0.6808510638297872
revoli.mutated_nab_8,40,23,0.21153846153846154,47,25,0.0
nitesh.mishra3.stepwise_scaffold_egfr_binder_6,17,21,0.11764705882352941,24,21,0.2857142857142857
karmanyaaggarwal.ds003076,18,18,0.16129032258064516,20,18,0.35714285714285715
biolucasmachado.engineered_binder_4,38,38,0.9,46,45,0.8571428571428571
fernando.meireles.design_hybrid_partial_diff_7_1_binder,22,41,0.46511627906976744,30,51,0.24615384615384617
724928537.dbz6___a,24,12,0.2857142857142857,25,15,0.0
lyu.2,33,28,0.8484848484848485,29,31,0.875
antorsae.ta_5_3,16,21,0.48,22,33,0.1956521739130435
alex.naka.charizard,16,29,0.5,23,44,0.5227272727272727
amirm.mhosseini.seq9,18,32,0.5151515151515151,18,37,0.375
klima.jason.8hgo_design_94eja_1_5,15,48,0.125,21,54,0.22950819672131148
toluwase.fatoki.toluwase_sequence3_119,10,47,0.11764705882352941,14,52,0.24528301886792453
duynth29.duy_l111_mpnn14_i36m__l80m_l42m,28,24,0.7333333333333333,31,24,0.6176470588235294
noah.holzleitner.noah_egfr-binder_3,23,27,0.5151515151515151,29,31,0.22448979591836735
pastei5.egfr_binder_01,19,25,0.4666666666666667,16,24,0.0
paulafcfranklin.synth_rosetta_7,36,29,0.8055555555555556,39,37,0.8536585365853658
fernando.meireles.design_hybrid_partial_diff_4_31_binder,28,38,0.5348837209302325,36,49,0.2878787878787879
a.tucs.andrejs_tucs_seq7,32,30,0.9375,38,42,0.8604651162790697
biolucasmachado.engineered_binder_3,29,31,0.875,41,37,0.813953488372093
cbrown.cbrown_0005_2_egfr_l81_s801188_mpnn1_model1,25,25,0.9230769230769231,25,25,0.9230769230769231
aureliabustos.wt_noised_i_scaffold_shorted_var71,34,29,0.8,39,37,0.9
tadej.satler.egfr_binder_3,31,39,0.5555555555555556,26,39,0.5476190476190477
aswini.seed2_3,29,30,0.37209302325581395,29,43,0.0
a.tucs.andrejs_tucs_seq2,32,31,0.96875,40,45,0.8478260869565217
bundit.b_s18.manbaritone_seq6_egfr-binder-70-100_beta_778_dldesign_0_length71,25,24,0.96,28,22,0.7241379310344828
binom16.pocket7pep80,9,17,0.5294117647058824,16,29,0.125
binom16.pocket1pep15,9,12,0.5,18,29,0.23684210526315788
s1995825.cotimed_egf_netsolp_usability_4,33,30,0.9090909090909091,38,37,0.8292682926829268
elian.elian5,31,29,0.8181818181818182,29,27,0.8064516129032258
martin.egfr_l142_s75963_mpnn1,31,19,0.42857142857142855,28,20,0.06666666666666667
praghava531.seq2,13,30,0.43333333333333335,15,37,0.3333333333333333
hughy.4krp_b_a_89_rnd3_full,11,24,0.34615384615384615,13,27,0.0
a.tucs.andrejs_tucs_seq10,30,30,1.0,41,41,0.8636363636363636
niklas.e5a28fa3-3501-41c2-922c-ec848e0bc020_l81_s514858345_mpnn4,26,37,0.6578947368421053,29,41,0.7073170731707317
mchrnwsk.marta_chronowska_dom1_l99_s666690_mpnn16,20,30,0.6666666666666666,26,37,0.575
hughy.7om4_b_a_180_rnd1_v1_full,15,15,0.6666666666666666,17,18,0.029411764705882353
alan.blakely.12_6,33,74,0.4266666666666667,36,72,0.4794520547945205
minji.lee.386,12,22,0.36,11,22,0.0
revoli.mutated_nab_5,34,21,0.1702127659574468,41,24,0.0
allongoldberg.4_44,20,27,0.42424242424242425,24,37,0.4186046511627907
tadaskluonis.cotimed_egf_bcseq_0,30,32,0.8235294117647058,39,43,0.782608695652174
biolucasmachado.engineered_binder_1,15,36,0.3783783783783784,17,46,0.3695652173913043
kerrding.seq7,32,34,0.8333333333333334,42,42,0.8260869565217391
duynth29.l148_mpnn1,26,27,0.9629629629629629,30,30,0.8181818181818182
hughy.7om4_b_a_17_rnd2_v2_full,33,16,0.3611111111111111,44,16,0.0
spacecruiser42.d2_prompt_binder_t1.0_37,11,16,0.5,20,23,0.0
martin.egfr_l177_s77884_mpnn7,22,37,0.3409090909090909,21,46,0.21818181818181817
darius.szablowski.egfr_binder_3___ggggs_3_linked_top_binders_1_rev_and_2_rev,23,40,0.03278688524590164,24,45,0.078125
chrisxushaoyong.hu_nano1_5_559c85,13,23,0.16129032258064516,16,25,0.0
paulafcfranklin.synth_rosetta_8,34,36,0.8421052631578947,44,45,0.8936170212765957
mlange05.b,31,33,0.7777777777777778,31,35,0.7837837837837838
antorsae.ta_5_1,11,23,0.4782608695652174,19,37,0.47368421052631576
tim.silica_corpora_sampled_epitope_2_generated_variant_9_rank_6_phase_2,19,17,0.09090909090909091,24,18,0.3125
wtj19921231.egfr_binder_design_208_dldesign_0_cycle1_run5_af2pred.pdb_a,20,28,0.37142857142857144,23,32,0.2222222222222222
chuh.egfr_seg1_l58_s941869_mpnn2,15,19,0.6190476190476191,18,26,0.6923076923076923
jude.wells.21.6b3s_necitumumab_fused_trimmed_task_89_iter_216,24,29,0.7666666666666667,26,28,0.7419354838709677
jakublala.epitope_1_30aa.pdb,14,15,0.5263157894736842,19,24,0.30303030303030304
paulafcfranklin.synth_rosetta_10,36,34,0.7948717948717948,43,43,0.8297872340425532
a.tucs.andrejs_tucs_seq9,31,30,0.8484848484848485,36,39,0.875
chuh.egfr_seg2_l62_s244475_mpnn4,24,29,0.7096774193548387,26,36,0.6756756756756757
zalavi.zalavi3_ggg_shortpacesa,27,50,0.3275862068965517,26,56,0.41379310344827586
paulafcfranklin.synth_rosetta_5,33,37,0.8421052631578947,43,48,0.75
stocco.filippo.1.3.3.18_4_2_iteration0_1.0407930462953479,36,34,0.9444444444444444,40,41,0.8409090909090909
julian.faust.pimurutamab_mpnn_18_scfv,22,33,0.4864864864864865,22,38,0.5
dre.lgdl_egfr_008,14,27,0.28125,17,45,0.2653061224489796
darius.szablowski.egfr_binder_4___ggggs_3_linked_top_binders_1_and_2_efficiently_evolved,31,41,0.6363636363636364,39,46,0.7708333333333334
markus.braun.egfr_binder_3,64,26,0.18421052631578946,48,22,0.0
mosquitolkfo.nab_design_7,19,20,0.5,24,25,0.08888888888888889
klima.jason.8hgo_design_vdcjs_1_2,24,39,0.10526315789473684,29,56,0.13333333333333333
allongoldberg.3_52,16,10,0.18181818181818182,21,13,0.030303030303030304
jude.wells.21.panitumumab_fused_trimmed_crossbreed3,21,32,0.6060606060606061,24,33,0.5833333333333334
bundit.b_s18.manbaritone_seq5_egfr-binder-70-100_beta_303_dldesign_1_length71,28,25,0.5588235294117647,27,30,0.26666666666666666
qilin_y.test8,8,21,0.3181818181818182,12,35,0.0
spacecruiser42.d2_prompt_binder_t1.0_139,15,17,0.6842105263157895,22,33,0.0
biolucasmachado.engineered_binder_9,28,30,0.8709677419354839,40,42,0.9069767441860465
darius.szablowski.egfr_binder_1___top_binder_1,21,31,0.6774193548387096,27,37,0.5238095238095238
lhallee.lhallee_128_driveid_1_2,29,40,0.13114754098360656,44,46,0.18421052631578946
alessio.daddio.ad_4,30,34,0.7777777777777778,27,35,0.7222222222222222
aswini.clipgen30,14,27,0.24242424242424243,15,39,0.3170731707317073
alessio.daddio.ad_9,23,38,0.6052631578947368,26,40,0.6097560975609756
zhoup1366.dbz1___a,19,22,0.05128205128205128,16,24,0.0
cameron.kroll.leitner,29,24,0.358974358974359,27,26,0.0
gitter.yolo23,23,26,0.75,28,38,0.7368421052631579
biolucasmachado.engineered_binder_8,35,39,0.8974358974358975,41,45,0.9111111111111111
maxall4.egfr_ed_binder_l124_s860500_mpnn1_model1_unrelaxed_rank_001_alphafold2_multimer_v3_model_1_seed_000_top1_mutation_d81n_round1_chain_a,33,27,0.7142857142857143,32,26,0.6571428571428571
chrisxushaoyong.hu_nano2_4_85252b,17,21,0.3103448275862069,27,27,0.0
mosquitolkfo.nab_design_9,20,12,0.45454545454545453,27,18,0.0975609756097561
eceiiitn786.8s2,25,31,0.3333333333333333,27,48,0.0
mlange05.a,27,28,0.4473684210526316,25,31,0.12
z_peplib.pepseq_design_8,11,27,0.1875,16,38,0.0
keaun.gifgvvfkadiarvsidvaidystgylgslttfsgcnq,6,27,0.2222222222222222,7,36,0.13157894736842105
chrisxushaoyong.hu_nano1_1_ff3e18,24,21,0.40625,26,22,0.37142857142857144
colby.tupegfr_001___anti-egfr_fv-like_protein_diffused_with_evodiff,38,33,0.014285714285714285,32,31,0.14545454545454545
nhaas.2,25,33,0.5263157894736842,27,38,0.625
noah.holzleitner.noah_egfr-binder_2,21,11,0.5238095238095238,29,17,0.0
briannaughton.2_plus_2,56,51,0.5285714285714286,59,55,0.37349397590361444
qxy615.s1_rfd_comp_beta_782_81,13,25,0.4074074074074074,19,28,0.14634146341463414
carson.vaux.baker1_18,16,25,0.5185185185185185,22,34,0.6470588235294118
alex.naka.charmander,36,34,0.8918918918918919,43,39,0.9069767441860465
jakublala.epitope_2_30aa_1.pdb,9,20,0.38095238095238093,15,35,0.19047619047619047
julian.faust.demupitamab_mpnn_19_scfv,24,34,0.3181818181818182,25,27,0.3
tiejun.wei.egfr_binder_design_208_dldesign_10_af2pred.pdb_a,32,26,0.5675675675675675,48,47,0.7272727272727273
antorsae.t0.1_sample939_score0.9451_global_score1.3625_seq_recovery0.4250,13,29,0.4482758620689655,22,36,0.48717948717948717
alex.naka.wartortle,31,31,0.7714285714285715,43,37,0.8181818181818182
salireza111.seq119_3_001_8,14,21,0.4583333333333333,15,22,0.0
karmanyaaggarwal.ds004729,15,14,0.0,18,11,0.0
jakublala.full_dibinder_45aa_2.pdb,15,28,0.43333333333333335,17,45,0.21568627450980393
enzo.morro.design_0_n_2_mpnn_1.120_plddt_0.858_i_ptm_0.072_i_pae_28.117_rmsd_30.276,28,23,0.0851063829787234,25,25,0.0
salireza111.seq166_1_001_7,17,27,0.5172413793103449,18,30,0.37142857142857144
colby.tupegfr_006___anti-egfr_fv-like_protein_diffused_with_evodiff,32,39,0.42,27,41,0.15254237288135594
duynth29.duy_l111_mpnn14,29,39,0.7,31,28,0.37209302325581395
alex.naka.squirtle,31,33,0.8823529411764706,44,37,0.8409090909090909
zalavi.shortrustamov_ggg_zalavi3,54,65,0.7761194029850746,58,63,0.7794117647058824
zulfatmi.pocket7pep42,11,11,0.6923076923076923,17,28,0.0
karmanyaaggarwal.ds002542,17,17,0.25925925925925924,16,17,0.03125
