Complex,af3_contacts,of3_contacts,overlap_contacts
antorsae.ta525_0_0,50,75,1
antorsae.ta_4_4,52,101,1
antorsae.ta_4_5,56,72,2
antorsae.ta_5_1,40,94,0
antorsae.ta_5_2,56,125,2
antorsae.ta_5_3,50,95,0
antorsae.ta397unsafety_2,42,64,1
areddy.egfr_l169_s781475,97,206,4
aswini.clipgen30,39,138,1
aswini.seed1,98,117,0
aswini.seed1_1,84,125,0
aswini.seed2_1,80,95,1
aswini.seed2_3,70,91,0
aswinijavadi160197.8_a,36,133,0
aureliabustos.bce_var433,99,90,0
aureliabustos.bce_var464,103,88,0
aureliabustos.bce_var702,100,117,1
aureliabustos.wt_noised_i_scaffold_shorted_var71,109,133,6
aureliabustos.wwt_noised_i_scaffold_shorted_var6640,103,92,5
aureliabustos.wwt_noised_i_scaffold_shorted_var7524,102,114,3
aureliabustos.wwt_noised_i_scaffold_shorted_var8423,109,78,3
aureliabustos.wwt_noised_i_scaffold_shorted_var9391,102,131,16
baptiste.roelens.ognk,68,119,3
begonia.sp.13.egfr_l110_s478327_mpnn7_model2,87,198,2
begonia.sp.13.egfr_l61_s456546_mpnn1_model1,64,145,2
begonia.sp.13.egfr_l88_s11832_mpnn1_model2,71,150,4
binom16.pocket1pep15,39,56,0
binom16.pocket2pep86,37,31,3
binom16.pocket2pep89,37,56,6
binom16.pocket3pep98,37,51,0
binom16.pocket7pep80,34,43,0
biolucasmachado.engineered_binder_1,43,109,0
biolucasmachado.engineered_binder_2,60,109,2
biolucasmachado.engineered_binder_3,100,93,2
biolucasmachado.engineered_binder_4,118,136,6
biolucasmachado.engineered_binder_5,114,91,3
biolucasmachado.engineered_binder_6,118,135,2
biolucasmachado.engineered_binder_7,110,121,1
biolucasmachado.engineered_binder_8,119,114,0
biolucasmachado.engineered_binder_9,101,126,4
briannaughton.1_plus_2,86,197,0
briannaughton.1_plus_egfr,147,196,0
briannaughton.2_plus_1,114,270,0
briannaughton.2_plus_2,162,244,0
briannaughton.egfr_plus_egfr,113,226,14
bronte.egfr_binder_4_91,41,179,1
bundit.b_s18.manbaritone_seq3_egfr-binder-70-100_beta_303_dldesign_6_lenght71,80,170,5
bundit.b_s18.manbaritone_seq5_egfr-binder-70-100_beta_303_dldesign_1_length71,75,126,7
bundit.b_s18.manbaritone_seq6_egfr-binder-70-100_beta_778_dldesign_0_length71,69,135,0
cameron.kroll.gertrude_gen3,75,195,4
cameron.kroll.gertrude_gen3_s69d_n61e,57,243,2
cameron.kroll.gertrude_gen5,73,237,5
cameron.kroll.gertrude_gen6,75,220,0
cameron.kroll.leitner,78,188,2
carson.vaux.baker1_18,45,141,0
cbrown.cbrown_0005_2_egfr_l81_s801188_mpnn1_model1,64,126,4
ccalia.paesani_lab_design1,86,209,6
ccalia.paesani_lab_design2,141,175,6
ccalia.paesani_lab_design3,111,236,0
ccalia.paesani_lab_design8,83,227,1
ccalia.paesani_lab_design9,102,358,0
cchallacombe.1,71,182,0
cchallacombe.4,99,145,0
cchallacombe.6,45,237,0
chenceshi1105.steven_binder_design_l75_s60968_it100_mpnn0,77,116,0
chenceshi1105.steven_binder_design_l82_s44755_it100_mpnn6,70,95,1
chenceshi1105.steven_binder_design_l89_s48081_it100_mpnn4,54,109,0
christoph.gruber.binder12_1,48,136,0
christoph.gruber.upperbinder_scaffold1_lowerbinder,160,207,0
christoph.gruber.upperbinder_scaffold2_lowerbinder,190,218,1
christoph.gruber.upperbinder_scaffold3_lowerbinder,147,233,3
christoph.gruber.upperbinder_xten_lowerbinder,101,126,0
chrisxushaoyong.hu_nano1_1_ff3e18,73,260,0
chrisxushaoyong.hu_nano1_3_eef94e,51,228,0
chrisxushaoyong.hu_nano1_5_559c85,46,226,0
chrisxushaoyong.hu_nano2_2_7ef96e,64,119,0
chrisxushaoyong.hu_nano2_4_85252b,66,249,1
chuh.egfr_seg1_l58_s941869_mpnn2,43,133,0
chuh.egfr_seg2_l58_s53469_mpnn1,65,133,8
chuh.egfr_seg2_l62_s244475_mpnn4,68,151,1
colby.tupegfr_001___anti-egfr_fv-like_protein_diffused_with_evodiff,97,240,0
colby.tupegfr_006___anti-egfr_fv-like_protein_diffused_with_evodiff,79,218,0
colby.tupegfr_010___anti-egfr_fv-like_protein_diffused_with_evodiff,51,228,2
colby.tupegfr_012___anti-egfr_fv-like_protein_diffused_with_evodiff,63,242,0
colby.tupegfr_018___anti-egfr_fv-like_protein_diffused_with_esm3,85,187,2
coreyhowe99.corey82,76,88,1
darius.szablowski.egfr_binder_1___top_binder_1,72,144,0
darius.szablowski.egfr_binder_2___ggggs_3_linked_top_binders_1_and_2,127,316,0
darius.szablowski.egfr_binder_3___ggggs_3_linked_top_binders_1_rev_and_2_rev,56,262,0
darius.szablowski.egfr_binder_4___ggggs_3_linked_top_binders_1_and_2_efficiently_evolved,95,166,4
darius.szablowski.egfr_binder_5___ggggs_3_linked_top_binders_1_and_2_efficiently_evolved_and_sapiens_evolved,145,212,0
deepsatflow.6aru_final_chain_a_domain_3_l138_s466479_mpnn9,91,238,8
deepsatflow.6aru_final_chain_a_domain_3_l142_s806907_mpnn1,69,191,1
deepsatflow.6aru_final_chain_a_domain_3_l147_s945609_mpnn1,70,188,0
dre.lgdl_egfr_001,39,106,3
dre.lgdl_egfr_008,41,88,3
duynth29.duy_l111_mpnn14,91,210,2
duynth29.duy_l111_mpnn14_i36m__l80m_l42m,88,246,1
duynth29.duy_l111_mpnn14_l80m_l42m,89,218,4
duynth29.l148_mpnn1,74,202,8
duynth29.l88_mpnn5,79,187,2
eceiiitn786.8s2,71,134,0
elian.elian1,87,123,0
elian.elian2,78,142,0
elian.elian3,81,103,3
elian.elian4,78,117,2
elian.elian5,87,148,4
enzo.morro.design_0_n_0_mpnn_1.117_plddt_0.713_i_ptm_0.082_i_pae_27.542_rmsd_25.669,71,242,0
enzo.morro.design_0_n_1_mpnn_1.085_plddt_0.817_i_ptm_0.076_i_pae_28.084_rmsd_25.372,86,186,0
enzo.morro.design_0_n_2_mpnn_1.120_plddt_0.858_i_ptm_0.072_i_pae_28.117_rmsd_30.276,75,211,0
fernando.meireles.design_hybrid_partial_diff_4_31_binder,85,150,1
fernando.meireles.design_hybrid_partial_diff_7_1_binder,75,196,0
fernando.meireles.design_hybrid_partial_diff_9_54_binder,75,232,0
fgndd1.fg_seq1,76,211,0
flowuenne.nf-proteindesign_design10,39,73,0
flowuenne.nf-proteindesign_design7,51,68,3
flowuenne.nf-proteindesign_design8,60,107,0
gitter.yolo23,72,110,9
gitter.yolo46,74,137,5
gitter.yolo48,56,120,1
hughy.4krp_b_a_89_rnd3_full,31,193,0
hughy.7om4_b_a_17_rnd2_v2_full,108,239,0
hughy.7om4_b_a_180_rnd1_v1_full,45,231,3
hughy.7om4_b_a_33_rnd2_v2_full,57,178,0
hughy.7om4_b_a_8_rnd2_v2_full,50,222,0
huiyu.cai.h3_15_2431_h,44,195,0
huiyu.cai.h3_15_2847_h,55,119,4
huiyu.cai.h3_15_3351_h,36,216,2
huiyu.cai.h3_15_4373_h,57,139,0
huiyu.cai.h3_15_877_h,82,123,0
jack.li.egfrbindingcandidate_7,55,263,0
jakublala.epitope_1_20aa.pdb,50,49,3
jakublala.epitope_1_30aa.pdb,48,87,1
jakublala.epitope_2_30aa_1.pdb,31,64,0
jakublala.full_dibinder_45aa.pdb,49,109,4
jakublala.full_dibinder_45aa_2.pdb,45,113,2
joaosartori2.c1,111,142,4
joaosartori2.c3,108,98,1
joaosartori2.c4,122,142,2
joaosartori2.c6,110,147,9
joel.rf_diffusion_trim_3,61,132,0
jude.wells.21.6b3s_necitumumab_fused_trimmed_task_211_iter_150,72,161,0
jude.wells.21.6b3s_necitumumab_fused_trimmed_task_89_iter_216,73,258,0
jude.wells.21.6b3s_necitumumab_fused_trimmed_task_98_iter_184,73,207,0
jude.wells.21.panitumumab_fused_trimmed_crossbreed3,67,218,3
jude.wells.21.panitumumab_fused_trimmed_task_12_iter_123,67,231,1
julian.faust.becotatugxpimurutamab_scfv,80,248,0
julian.faust.demupitamab_mpnn_19_scfv,73,221,1
julian.faust.pimurutamab_mpnn_17_scfv,73,173,0
julian.faust.pimurutamab_mpnn_18_scfv,71,198,0
julian.faust.pimurutamabxbecotatug_scfv,76,223,0
julie.jg26n,53,107,1
julie.rj0aa,56,134,2
julie.ryfqy,51,124,1
junhee.park1999.egfr_binder_6,73,265,0
junhee.park1999.egfr_binder_7,74,265,0
junhee.park1999.egfr_binder_9,72,343,4
jvogt4.vogt_scfv_0128,64,176,0
jvogt4.vogt_scfv_2009,45,249,0
jvogt4.vogt_scfv_2143,68,161,0
jvogt4.vogt_scfv_2279,60,204,0
jvogt4.vogt_scfv_2470,50,220,0
karmanyaaggarwal.ds002542,45,166,0
karmanyaaggarwal.ds003076,48,132,0
karmanyaaggarwal.ds004729,46,196,0
keaun.gafpvvfkadiarvsefvaigpstgylgslttmsgvnq,59,122,5
keaun.gifgvvfkadiarvsidvaidystgylgslttfsgcnq,18,103,0
keaun.gwfgvvfkadiagvsekvaielsggyegslttpsgwnq,54,101,4
keaun.gwfgvvfkadiardsefvailesqgylssittfsgwnq,51,72,3
keaun.gwfgvvfkadiarvsefvaiglstgplgsestfsiwrq,47,74,2
kerrding.seq5,101,71,3
kerrding.seq6,100,135,1
kerrding.seq7,109,130,11
kerrding.seq8,113,99,4
kerrding.seq9,34,106,0
klima.jason.8hgo_design_4yyaf_0_0,72,231,0
klima.jason.8hgo_design_8gswy_1_2,98,256,0
klima.jason.8hgo_design_94eja_1_5,40,233,1
klima.jason.8hgo_design_jt8s1_0_3_proteinmpnn_20,131,206,0
klima.jason.8hgo_design_vdcjs_1_2,71,193,0
kurumida.yoichi.mg_05,53,92,2
lennart.nickel.egfr_l114_s69310_mpnn7,71,251,9
lennart.nickel.egfr_l139_s63093_mpnn2,64,139,0
lennart.nickel.egfr_l170_s20625_mpnn10,83,244,5
lennart.nickel.egfr_l179_s82283_mpnn1,55,151,0
lennart.nickel.egfr_l98_s70756_mpnn3,66,137,4
lhallee.lhallee_128_driveid_1_2,76,212,0
lhallee.lhallee_128_driveid_3_4,53,231,1
lhallee.lhallee_20_on_target_2000,41,46,8
lhallee.lhallee_40_full_driveid_8_9,35,95,0
lhallee.lhallee_40_target_driveid_10,42,71,2
lyu.1,82,189,0
lyu.2,90,182,10
lyu.3,75,159,1
markus.braun.egfr_binder_1,136,249,1
markus.braun.egfr_binder_3,163,239,0
markus.braun.egfr_binder_6,139,323,0
markus.braun.egfr_binder_7,149,249,0
markus.braun.egfr_binder_8,160,271,0
martin.egfr_l111_s89744_mpnn1,47,147,2
martin.egfr_l121_s46924_mpnn18,88,100,1
martin.egfr_l142_s75963_mpnn1,75,233,1
martin.egfr_l165_s31019_mpnn3,73,287,0
martin.egfr_l177_s77884_mpnn7,55,217,0
maxall4.egfr_ed_binder_l124_s860500_mpnn1_model1_unrelaxed_rank_001_alphafold2_multimer_v3_model_1_seed_000_top1_mutation_d81n_round1_chain_a,99,216,7
maxall4.egfr_ed_binder_l132_s581930_mpnn1_model1_unrelaxed_rank_001_alphafold2_multimer_v3_model_1_seed_000_top1_mutation_r79a_round1_chain_a,74,191,0
maxall4.egfr_ed_binder_l134_s906486_mpnn2_model1_unrelaxed_rank_001_alphafold2_multimer_v3_model_1_seed_000_top1_mutation_g108s_round1_y80d_chain_a,73,200,5
maxall4.egfr_ed_binder_l134_s906486_mpnn2_model1_unrelaxed_rank_001_alphafold2_multimer_v3_model_1_seed_000_top1_mutation_g108s_round1_chain_a,74,194,0
maxall4.egfr_trim_l126_s498823_mpnn2_model1_unrelaxed_rank_001_alphafold2_multimer_v3_model_1_seed_000_top1_mutation_l39g_round1_chain_a,71,113,1
mchrnwsk.marta_chronowska_dom1_l99_s666690_mpnn16,66,105,1
merlettaia.seq0v3,105,195,0
merlettaia.seq0v4,50,245,0
merlettaia.seq52v3,51,214,0
merlettaia.seq6v4,23,217,2
merlettaia.seq70v3,62,167,0
minji.lee.111,83,128,0
minji.lee.3458,48,153,0
minji.lee.386,31,120,0
minji.lee.3995,47,167,0
minji.lee.459,56,75,0
mlange05.a,72,214,0
mlange05.b,89,264,0
mlange05.c,52,241,1
mosquitolkfo.nab_design_1,69,224,0
mosquitolkfo.nab_design_3,68,222,0
mosquitolkfo.nab_design_6,67,200,0
mosquitolkfo.nab_design_7,69,234,0
mosquitolkfo.nab_design_9,73,205,0
nhaas.2,80,151,0
nhaas.3,75,145,0
nhaas.4,68,159,2
nhaas.6,52,240,0
nhaas.8,74,215,0
nicholas-schnicker.schnick_04,68,99,0
niklas.7a72d922-1677-4fc8-9315-d7996ba05d8e_l150_s530325711_mpnn12,61,223,0
niklas.95b59203-b642-4754-bcd3-8e670a722c8d_l91_s349792600_mpnn19,38,153,1
niklas.95b59203-b642-4754-bcd3-8e670a722c8d_l91_s349792600_mpnn2,45,163,0
niklas.e5a28fa3-3501-41c2-922c-ec848e0bc020_l81_s514858345_mpnn4,82,158,3
niklas.ee4629a9-322f-48f0-884d-8f4418db9bce_l151_s241659642_mpnn11,95,250,1
nitesh.mishra3.stepwise_egf_based_egfr_binder_3,44,83,0
nitesh.mishra3.stepwise_rfdiff_egfr_binder_1,51,134,2
nitesh.mishra3.stepwise_scaffold_egfr_binder_6,52,99,0
noah.holzleitner.noah_egfr-binder_1,67,138,4
noah.holzleitner.noah_egfr-binder_2,62,135,0
noah.holzleitner.noah_egfr-binder_3,74,153,15
noah.holzleitner.noah_egfr-binder_4,49,113,0
noah.holzleitner.noah_egfr-binder_8,73,155,3
pastei5.egfr_binder_01,42,102,0
paulafcfranklin.synth_rosetta_1,113,99,6
paulafcfranklin.synth_rosetta_10,112,122,0
paulafcfranklin.synth_rosetta_2,112,118,5
paulafcfranklin.synth_rosetta_3,115,87,0
paulafcfranklin.synth_rosetta_4,112,140,0
paulafcfranklin.synth_rosetta_5,113,134,3
paulafcfranklin.synth_rosetta_6,114,69,3
paulafcfranklin.synth_rosetta_7,115,76,1
paulafcfranklin.synth_rosetta_8,114,120,5
paulafcfranklin.synth_rosetta_9,113,127,11
praghava531.seq2,33,153,0
qilin_y.test4,38,95,0
qilin_y.test5,57,138,0
qilin_y.test6,54,168,0
qilin_y.test7,40,72,0
qilin_y.test8,27,56,0
qxy615.s1_rfd_base_46_60,35,125,0
qxy615.s1_rfd_base_46_94,54,133,5
qxy615.s1_rfd_comp_beta_782_81,43,144,0
qy.qilin.yu.10-13-21_sample267_complex_42_complex,60,95,0
revoli.mutated_nab_5,105,265,0
revoli.mutated_nab_8,121,272,0
revoli.mutated_nab_9,100,186,1
rohith.mohan.model_67_69_2,61,87,1
round1zeroshot.k5q_n70s_k71r_n73t_s87t_n88d_r179k_k183r_e213d_s214p,71,235,0
s1995825.cotimed_egf_netsolp_usability_1,100,107,4
s1995825.cotimed_egf_netsolp_usability_2,102,93,6
s1995825.cotimed_egf_netsolp_usability_3,98,66,12
s1995825.cotimed_egf_netsolp_usability_4,105,68,1
s1995825.cotimed_egf_netsolp_usability_5,97,73,20
s1995825.cotimed_egf_netsolp_usability_6,100,73,4
s1995825.cotimed_egf_netsolp_usability_7,62,133,0
s1995825.cotimed_egf_netsolp_usability_8,101,95,5
s1995825.timed_egf_netsolp_usability_consensus_1,100,70,16
s1995825.timed_egf_netsolp_usability_consensus_2,98,54,9
salireza111.seq119_3_001_8,32,110,0
salireza111.seq166_1_001_7,59,96,6
salireza111.seq166_3_002_4,54,110,1
salireza111.seq166_7_003_9,55,94,6
salireza111.seq206_1_001_6,61,87,4
silvia.toscani.b_egfr_6,70,114,2
spacecruiser42.d2_prompt_binder_t0.8_42,35,57,3
spacecruiser42.d2_prompt_binder_t0.8_88,36,43,6
spacecruiser42.d2_prompt_binder_t1.0_139,43,66,0
spacecruiser42.d2_prompt_binder_t1.0_22,45,50,2
spacecruiser42.d2_prompt_binder_t1.0_37,34,71,0
ssomani.17,50,221,1
stocco.filippo.1.3.3.18_13_0_iteration12_1.0279718223732435,49,84,2
stocco.filippo.1.3.3.18_37_0_iteration3_1.024851931427025,49,78,0
stocco.filippo.1.3.3.18_40_0_iteration12_1.0321554292304749,113,93,10
stocco.filippo.1.3.3.18_4_2_iteration0_1.0407930462953479,113,142,5
stocco.filippo.1.3.3.18_51_2_iteration3_1.0356664070457622,108,90,8
stocco.filippo.1.3.3.18_65_0_iteration3_1.028317065130863,112,98,5
tadaskluonis.cotimed_egf_bcseq_0,100,118,2
tadaskluonis.cotimed_egf_bcseq_1,106,101,13
tadaskluonis.cotimed_egf_bcseq_2,99,89,5
tadej.satler.egfr_binder_3,75,227,2
tarkhov.andrey.erithacus_rubecula_gigantus_1,78,253,0
tarkhov.andrey.erithacus_rubecula_gigantus_4,84,260,6
tarkhov.andrey.erithacus_rubecula_gigantus_7,85,212,0
tarkhov.andrey.erithacus_rubecula_gigantus_8,89,266,0
tarkhov.andrey.erithacus_rubecula_gigantus_9,38,279,0
tiejun.wei.egfr_binder_design_208_dldesign_10_af2pred.pdb_a,120,108,5
tim.silica_corpora_regions_sampled_epitope_0_generated_variant_6_rank_7_phase_2,28,166,1
tim.silica_corpora_regions_sampled_epitope_2_generated_variant_8_rank_3_phase_2,96,157,0
tim.silica_corpora_sampled_epitope_0_generated_variant_1_rank_8_phase_2,50,190,0
tim.silica_corpora_sampled_epitope_0_generated_variant_8_rank_1_phase_2,49,176,0
tim.silica_corpora_sampled_epitope_2_generated_variant_9_rank_6_phase_2,64,189,0
toluwase.fatoki.toluwase_sequence3_119,33,185,4
toluwase.fatoki.toluwase_sequence4_148,75,205,0
toluwase.fatoki.toluwase_sequence6_112,61,207,0
wtj19921231.egfr_binder_design_208_dldesign_0_cycle1_run5_af2pred.pdb_a,66,126,2
x.rustamov.p_vhh_partial_1_32,51,92,0
x.rustamov.traj_11_8_model_5_0,62,177,0
x.rustamov.traj_4_8_model_1_5,64,156,2
x.rustamov.traj_6_1_model_1_8,77,212,1
x.rustamov.traj_9_8_model_1_0,40,208,0
xiuming_li2015.eureka_seq_1,76,176,1
xiuming_li2015.eureka_seq_3,77,218,2
xiuming_li2015.eureka_seq_4,76,234,0
youngsuko2000.fast4,120,130,7
youngsuko2000.last,123,148,3
youngsuko2000.queen,124,140,5
z_peplib.pepseq_design_6,48,93,9
z_peplib.pepseq_design_8,34,137,0
z_peplib.pepseq_design_9,66,108,0
zalavi.shortrustamov_ggg_zalavi3,158,216,0
zalavi.zalavi3_ggg_shortpacesa,75,313,0
zalavi.zalavi3_mergedaltered_rustamov,152,193,0
zhoup1366.dbz1___a,50,207,0
zhoup1366.dbz10___a,49,154,0
zhoup1366.dbz6___a,46,179,4
zhoup1366.dbz7___a,50,149,0
zhoup1366.dbz8___a,49,120,0
zulfatmi.pocket1pep78,71,42,0
zulfatmi.pocket2pep63,24,49,8
zulfatmi.pocket7pep42,34,33,2
