complex_id,af3_contacts,chai1_contacts,overlap_contacts
darius.szablowski.egfr_binder_3___ggggs_3_linked_top_binders_1_rev_and_2_rev,56,92,0
darius.szablowski.egfr_binder_4___ggggs_3_linked_top_binders_1_and_2_efficiently_evolved,95,108,49
darius.szablowski.egfr_binder_5___ggggs_3_linked_top_binders_1_and_2_efficiently_evolved_and_sapiens_evolved,145,93,0
deepsatflow.6aru_final_chain_a_domain_3_l138_s466479_mpnn9,91,67,2
deepsatflow.6aru_final_chain_a_domain_3_l142_s806907_mpnn1,69,62,59
deepsatflow.6aru_final_chain_a_domain_3_l147_s945609_mpnn1,70,108,5
dre.lgdl_egfr_001,39,163,21
dre.lgdl_egfr_008,41,143,1
duynth29.duy_l111_mpnn14,91,34,0
duynth29.duy_l111_mpnn14_i36m__l80m_l42m,88,119,52
duynth29.duy_l111_mpnn14_l80m_l42m,89,114,50
duynth29.l148_mpnn1,74,70,67
duynth29.l88_mpnn5,79,90,1
eceiiitn786.8s2,71,88,0
elian.elian1,87,94,72
elian.elian2,78,97,63
elian.elian3,81,88,68
elian.elian4,78,90,65
elian.elian5,87,93,66
enzo.morro.design_0_n_0_mpnn_1.117_plddt_0.713_i_ptm_0.082_i_pae_27.542_rmsd_25.669,71,63,3
enzo.morro.design_0_n_1_mpnn_1.085_plddt_0.817_i_ptm_0.076_i_pae_28.084_rmsd_25.372,86,41,0
enzo.morro.design_0_n_2_mpnn_1.120_plddt_0.858_i_ptm_0.072_i_pae_28.117_rmsd_30.276,75,97,0
fernando.meireles.design_hybrid_partial_diff_4_31_binder,85,79,21
fernando.meireles.design_hybrid_partial_diff_7_1_binder,75,127,6
fernando.meireles.design_hybrid_partial_diff_9_54_binder,75,112,3
fgndd1.fg_seq1,76,115,69
flowuenne.nf-proteindesign_design10,39,51,0
flowuenne.nf-proteindesign_design7,51,71,2
flowuenne.nf-proteindesign_design8,60,80,3
gitter.yolo23,72,69,35
gitter.yolo46,74,57,17
gitter.yolo48,56,77,49
hughy.4krp_b_a_89_rnd3_full,31,84,0
hughy.7om4_b_a_17_rnd2_v2_full,108,43,0
hughy.7om4_b_a_180_rnd1_v1_full,45,27,0
hughy.7om4_b_a_33_rnd2_v2_full,57,86,0
hughy.7om4_b_a_8_rnd2_v2_full,50,97,0
huiyu.cai.h3_15_2431_h,44,112,2
huiyu.cai.h3_15_2847_h,55,107,0
huiyu.cai.h3_15_3351_h,36,117,2
huiyu.cai.h3_15_4373_h,57,61,0
huiyu.cai.h3_15_877_h,82,106,5
jack.li.egfrbindingcandidate_7,55,44,0
jakublala.epitope_1_20aa.pdb,50,68,6
jakublala.epitope_1_30aa.pdb,48,52,3
jakublala.epitope_2_30aa_1.pdb,31,81,19
jakublala.full_dibinder_45aa.pdb,49,104,9
jakublala.full_dibinder_45aa_2.pdb,45,96,7
joaosartori2.c1,111,129,99
joaosartori2.c3,108,114,94
joaosartori2.c4,122,117,99
joaosartori2.c6,110,102,84
joel.rf_diffusion_trim_3,61,76,0
jude.wells.21.6b3s_necitumumab_fused_trimmed_task_211_iter_150,72,91,66
jude.wells.21.6b3s_necitumumab_fused_trimmed_task_89_iter_216,73,80,62
jude.wells.21.6b3s_necitumumab_fused_trimmed_task_98_iter_184,73,79,43
jude.wells.21.panitumumab_fused_trimmed_crossbreed3,67,63,0
jude.wells.21.panitumumab_fused_trimmed_task_12_iter_123,67,74,44
julian.faust.becotatugxpimurutamab_scfv,80,95,53
julian.faust.demupitamab_mpnn_19_scfv,73,54,0
julian.faust.pimurutamab_mpnn_17_scfv,73,99,52
julian.faust.pimurutamab_mpnn_18_scfv,71,96,42
julian.faust.pimurutamabxbecotatug_scfv,76,87,38
julie.jg26n,53,88,47
julie.rj0aa,56,57,51
julie.ryfqy,51,117,1
junhee.park1999.egfr_binder_6,73,55,3
junhee.park1999.egfr_binder_7,74,70,0
junhee.park1999.egfr_binder_9,72,75,0
jvogt4.vogt_scfv_0128,64,77,53
jvogt4.vogt_scfv_2009,45,73,5
jvogt4.vogt_scfv_2143,68,36,0
jvogt4.vogt_scfv_2279,60,113,9
jvogt4.vogt_scfv_2470,50,80,0
karmanyaaggarwal.ds002542,45,58,10
karmanyaaggarwal.ds003076,48,61,27
karmanyaaggarwal.ds004729,46,85,21
keaun.gafpvvfkadiarvsefvaigpstgylgslttmsgvnq,59,83,6
keaun.gifgvvfkadiarvsidvaidystgylgslttfsgcnq,18,95,2
keaun.gwfgvvfkadiagvsekvaielsggyegslttpsgwnq,54,65,7
keaun.gwfgvvfkadiardsefvailesqgylssittfsgwnq,51,51,0
keaun.gwfgvvfkadiarvsefvaiglstgplgsestfsiwrq,47,108,0
kerrding.seq5,101,110,85
kerrding.seq6,100,112,91
kerrding.seq7,109,105,98
kerrding.seq8,113,109,101
kerrding.seq9,34,102,0
klima.jason.8hgo_design_4yyaf_0_0,72,102,9
klima.jason.8hgo_design_8gswy_1_2,98,178,0
klima.jason.8hgo_design_94eja_1_5,40,110,0
klima.jason.8hgo_design_jt8s1_0_3_proteinmpnn_20,131,121,37
klima.jason.8hgo_design_vdcjs_1_2,71,120,0
kurumida.yoichi.mg_05,53,101,49
lennart.nickel.egfr_l114_s69310_mpnn7,71,96,59
lennart.nickel.egfr_l139_s63093_mpnn2,64,89,41
lennart.nickel.egfr_l170_s20625_mpnn10,83,121,52
lennart.nickel.egfr_l179_s82283_mpnn1,55,54,47
lennart.nickel.egfr_l98_s70756_mpnn3,66,58,1
lhallee.lhallee_128_driveid_1_2,76,160,1
lhallee.lhallee_128_driveid_3_4,53,113,0
lhallee.lhallee_20_on_target_2000,41,46,0
lhallee.lhallee_40_full_driveid_8_9,35,121,1
lhallee.lhallee_40_target_driveid_10,42,94,3
lyu.1,82,88,1
lyu.2,90,95,71
lyu.3,75,105,0
markus.braun.egfr_binder_1,136,76,3
markus.braun.egfr_binder_3,163,99,0
markus.braun.egfr_binder_6,139,139,114
markus.braun.egfr_binder_7,149,97,0
markus.braun.egfr_binder_8,160,122,0
martin.egfr_l111_s89744_mpnn1,47,108,21
martin.egfr_l121_s46924_mpnn18,88,79,1
martin.egfr_l142_s75963_mpnn1,75,118,18
martin.egfr_l165_s31019_mpnn3,73,89,58
martin.egfr_l177_s77884_mpnn7,55,117,12
maxall4.egfr_ed_binder_l124_s860500_mpnn1_model1_unrelaxed_rank_001_alphafold2_multimer_v3_model_1_seed_000_top1_mutation_d81n_round1_chain_a,99,103,85
maxall4.egfr_ed_binder_l132_s581930_mpnn1_model1_unrelaxed_rank_001_alphafold2_multimer_v3_model_1_seed_000_top1_mutation_r79a_round1_chain_a,74,72,63
maxall4.egfr_ed_binder_l134_s906486_mpnn2_model1_unrelaxed_rank_001_alphafold2_multimer_v3_model_1_seed_000_top1_mutation_g108s_round1_y80d_chain_a,73,107,61
maxall4.egfr_ed_binder_l134_s906486_mpnn2_model1_unrelaxed_rank_001_alphafold2_multimer_v3_model_1_seed_000_top1_mutation_g108s_round1_chain_a,74,64,7
maxall4.egfr_trim_l126_s498823_mpnn2_model1_unrelaxed_rank_001_alphafold2_multimer_v3_model_1_seed_000_top1_mutation_l39g_round1_chain_a,71,83,1
mchrnwsk.marta_chronowska_dom1_l99_s666690_mpnn16,66,77,52
merlettaia.seq0v3,105,29,0
merlettaia.seq0v4,50,36,0
merlettaia.seq52v3,51,97,0
merlettaia.seq6v4,23,109,4
merlettaia.seq70v3,62,49,0
minji.lee.111,83,68,0
minji.lee.3458,48,104,0
minji.lee.386,31,112,0
minji.lee.3995,47,75,0
minji.lee.459,56,97,2
mlange05.a,72,63,0
mlange05.b,89,101,76
mlange05.c,52,79,2
mosquitolkfo.nab_design_1,69,64,0
mosquitolkfo.nab_design_3,68,79,0
mosquitolkfo.nab_design_6,67,93,0
mosquitolkfo.nab_design_7,69,64,0
mosquitolkfo.nab_design_9,73,64,0
nhaas.2,80,64,43
nhaas.3,75,82,40
nhaas.4,68,101,4
nhaas.6,52,69,0
nhaas.8,74,108,46
nicholas-schnicker.schnick_04,68,89,57
niklas.7a72d922-1677-4fc8-9315-d7996ba05d8e_l150_s530325711_mpnn12,61,90,0
niklas.95b59203-b642-4754-bcd3-8e670a722c8d_l91_s349792600_mpnn19,38,52,0
niklas.95b59203-b642-4754-bcd3-8e670a722c8d_l91_s349792600_mpnn2,45,49,35
niklas.e5a28fa3-3501-41c2-922c-ec848e0bc020_l81_s514858345_mpnn4,82,85,0
niklas.ee4629a9-322f-48f0-884d-8f4418db9bce_l151_s241659642_mpnn11,95,81,71
nitesh.mishra3.stepwise_egf_based_egfr_binder_3,44,99,6
nitesh.mishra3.stepwise_rfdiff_egfr_binder_1,51,106,49
nitesh.mishra3.stepwise_scaffold_egfr_binder_6,52,100,47
noah.holzleitner.noah_egfr-binder_1,67,72,0
noah.holzleitner.noah_egfr-binder_2,62,59,1
noah.holzleitner.noah_egfr-binder_3,74,81,6
noah.holzleitner.noah_egfr-binder_4,49,51,46
noah.holzleitner.noah_egfr-binder_8,73,71,0
pastei5.egfr_binder_01,42,39,0
paulafcfranklin.synth_rosetta_1,113,110,103
paulafcfranklin.synth_rosetta_10,112,111,104
paulafcfranklin.synth_rosetta_2,112,107,103
paulafcfranklin.synth_rosetta_3,115,110,101
paulafcfranklin.synth_rosetta_4,112,108,98
paulafcfranklin.synth_rosetta_5,113,109,99
paulafcfranklin.synth_rosetta_6,114,109,101
paulafcfranklin.synth_rosetta_7,115,108,99
paulafcfranklin.synth_rosetta_8,114,105,97
paulafcfranklin.synth_rosetta_9,113,104,96
praghava531.seq2,33,70,19
qilin_y.test4,38,111,0
qilin_y.test5,57,78,1
qilin_y.test6,54,109,22
qilin_y.test7,40,104,0
qilin_y.test8,27,82,0
qxy615.s1_rfd_base_46_60,35,91,0
qxy615.s1_rfd_base_46_94,54,88,17
qxy615.s1_rfd_comp_beta_782_81,43,104,11
qy.qilin.yu.10-13-21_sample267_complex_42_complex,60,69,1
revoli.mutated_nab_5,105,63,0
revoli.mutated_nab_8,121,88,0
revoli.mutated_nab_9,100,80,0
rohith.mohan.model_67_69_2,61,75,1
round1zeroshot.k5q_n70s_k71r_n73t_s87t_n88d_r179k_k183r_e213d_s214p,71,79,47
s1995825.cotimed_egf_netsolp_usability_1,100,102,90
s1995825.cotimed_egf_netsolp_usability_2,102,107,94
s1995825.cotimed_egf_netsolp_usability_3,98,107,89
s1995825.cotimed_egf_netsolp_usability_4,105,110,96
s1995825.cotimed_egf_netsolp_usability_5,97,101,87
s1995825.cotimed_egf_netsolp_usability_6,100,104,88
s1995825.cotimed_egf_netsolp_usability_7,62,106,0
s1995825.cotimed_egf_netsolp_usability_8,101,105,97
s1995825.timed_egf_netsolp_usability_consensus_1,100,102,90
s1995825.timed_egf_netsolp_usability_consensus_2,98,103,89
salireza111.seq119_3_001_8,32,61,0
salireza111.seq166_1_001_7,59,58,0
salireza111.seq166_3_002_4,54,122,2
salireza111.seq166_7_003_9,55,68,3
salireza111.seq206_1_001_6,61,80,5
silvia.toscani.b_egfr_6,70,59,0
spacecruiser42.d2_prompt_binder_t0.8_42,35,61,4
spacecruiser42.d2_prompt_binder_t0.8_88,36,74,21
spacecruiser42.d2_prompt_binder_t1.0_139,43,66,0
spacecruiser42.d2_prompt_binder_t1.0_22,45,73,11
spacecruiser42.d2_prompt_binder_t1.0_37,34,79,0
ssomani.17,50,64,19
stocco.filippo.1.3.3.18_13_0_iteration12_1.0279718223732435,49,100,35
stocco.filippo.1.3.3.18_37_0_iteration3_1.024851931427025,49,95,34
stocco.filippo.1.3.3.18_40_0_iteration12_1.0321554292304749,113,107,97
stocco.filippo.1.3.3.18_4_2_iteration0_1.0407930462953479,113,107,93
stocco.filippo.1.3.3.18_51_2_iteration3_1.0356664070457622,108,109,98
stocco.filippo.1.3.3.18_65_0_iteration3_1.028317065130863,112,106,96
tadaskluonis.cotimed_egf_bcseq_0,100,114,93
tadaskluonis.cotimed_egf_bcseq_1,106,113,94
tadaskluonis.cotimed_egf_bcseq_2,99,99,87
tadej.satler.egfr_binder_3,75,108,56
tarkhov.andrey.erithacus_rubecula_gigantus_1,78,144,0
tarkhov.andrey.erithacus_rubecula_gigantus_4,84,269,1
tarkhov.andrey.erithacus_rubecula_gigantus_7,85,104,0
tarkhov.andrey.erithacus_rubecula_gigantus_8,89,148,0
tarkhov.andrey.erithacus_rubecula_gigantus_9,38,242,0
tiejun.wei.egfr_binder_design_208_dldesign_10_af2pred.pdb_a,120,114,87
tim.silica_corpora_regions_sampled_epitope_0_generated_variant_6_rank_7_phase_2,28,65,11
tim.silica_corpora_regions_sampled_epitope_2_generated_variant_8_rank_3_phase_2,96,85,0
tim.silica_corpora_sampled_epitope_0_generated_variant_1_rank_8_phase_2,50,111,1
tim.silica_corpora_sampled_epitope_0_generated_variant_8_rank_1_phase_2,49,106,20
tim.silica_corpora_sampled_epitope_2_generated_variant_9_rank_6_phase_2,64,113,18
toluwase.fatoki.toluwase_sequence3_119,33,112,1
toluwase.fatoki.toluwase_sequence4_148,75,129,0
toluwase.fatoki.toluwase_sequence6_112,61,99,0
wtj19921231.egfr_binder_design_208_dldesign_0_cycle1_run5_af2pred.pdb_a,66,125,4
x.rustamov.p_vhh_partial_1_32,51,26,0
x.rustamov.traj_11_8_model_5_0,62,116,0
x.rustamov.traj_4_8_model_1_5,64,92,0
x.rustamov.traj_6_1_model_1_8,77,101,0
x.rustamov.traj_9_8_model_1_0,40,78,0
xiuming_li2015.eureka_seq_1,76,63,39
xiuming_li2015.eureka_seq_3,77,68,39
xiuming_li2015.eureka_seq_4,76,68,41
youngsuko2000.fast4,120,121,104
youngsuko2000.last,123,131,106
youngsuko2000.queen,124,127,103
z_peplib.pepseq_design_6,48,115,0
z_peplib.pepseq_design_8,34,106,0
z_peplib.pepseq_design_9,66,115,0
zalavi.shortrustamov_ggg_zalavi3,158,98,75
zalavi.zalavi3_ggg_shortpacesa,75,112,55
zalavi.zalavi3_mergedaltered_rustamov,152,127,71
zhoup1366.dbz1___a,50,35,0
zhoup1366.dbz10___a,49,24,3
zhoup1366.dbz6___a,46,117,8
zhoup1366.dbz7___a,50,123,0
zhoup1366.dbz8___a,49,60,0
zulfatmi.pocket1pep78,71,62,2
zulfatmi.pocket2pep63,24,45,1
zulfatmi.pocket7pep42,34,23,0
