complex_id,af3_contacts,protenix_contacts,overlap_contacts
nitesh.mishra3.stepwise_egf_based_egfr_binder_3,44,251,3
alejandro.corrochano-navarro.eng_scfv_binder_3,65,270,0
keaun.gwfgvvfkadiarvsefvaiglstgplgsestfsiwrq,47,243,3
salireza111.seq166_3_002_4,54,148,0
cetuximab_scfv,76,337,0
julian.faust.becotatugxpimurutamab_scfv,80,157,9
akash.arunabharathi.design4,51,374,0
mosquitolkfo.nab_design_3,68,373,0
allongoldberg.3_52_10_refined_ideal,74,137,0
huiyu.cai.h3_15_3351_h,36,223,0
baptiste.roelens.ognk,68,155,0
tadaskluonis.cotimed_egf_bcseq_2,99,202,1
elian.elian1,87,194,0
rohith.mohan.model_67_69_2,61,119,0
paulafcfranklin.synth_rosetta_6,114,193,0
biolucasmachado.engineered_binder_6,118,261,7
antorsae.ta_4_5,56,141,1
biolucasmachado.engineered_binder_5,114,194,1
joaosartori2.c1,111,251,0
kurumida.yoichi.mg_05,53,105,0
nicholas-schnicker.schnick_04,68,148,1
youngsuko2000.fast4,120,267,0
christoph.gruber.upperbinder_scaffold1_lowerbinder,160,265,0
lennart.nickel.egfr_l179_s82283_mpnn1,55,192,0
ccalia.paesani_lab_design3,111,311,0
zhoup1366.dbz7___a,50,388,0
x.rustamov.traj_9_8_model_1_0,40,234,0
jude.wells.21.6b3s_necitumumab_fused_trimmed_task_211_iter_150,72,556,0
qilin_y.test5,57,208,0
joaosartori2.c4,122,197,0
maxall4.egfr_ed_binder_l132_s581930_mpnn1_model1_unrelaxed_rank_001_alphafold2_multimer_v3_model_1_seed_000_top1_mutation_r79a_round1_chain_a,74,240,0
keaun.gafpvvfkadiarvsefvaigpstgylgslttmsgvnq,59,318,8
christoph.gruber.upperbinder_xten_lowerbinder,101,173,0
ccalia.paesani_lab_design1,86,324,0
stocco.filippo.1.3.3.18_40_0_iteration12_1.0321554292304749,113,288,0
salireza111.seq166_7_003_9,55,172,0
christoph.gruber.upperbinder_scaffold2_lowerbinder,190,246,5
enzo.morro.design_0_n_0_mpnn_1.117_plddt_0.713_i_ptm_0.082_i_pae_27.542_rmsd_25.669,71,223,0
jakublala.epitope_1_20aa.pdb,50,226,5
enzo.morro.design_0_n_1_mpnn_1.085_plddt_0.817_i_ptm_0.076_i_pae_28.084_rmsd_25.372,86,202,0
jakublala.full_dibinder_45aa.pdb,49,257,0
antorsae.ta525_0_0,50,100,0
amelie.schreiber.model_60_151_9,78,108,0
stocco.filippo.1.3.3.18_37_0_iteration3_1.024851931427025,49,180,0
tim.silica_corpora_regions_sampled_epitope_2_generated_variant_8_rank_3_phase_2,96,261,0
alex.naka.blastoise,115,152,0
binom16.pocket2pep86,37,102,0
begonia.sp.13.egfr_l110_s478327_mpnn7_model2,87,208,2
allongoldberg.3_52_1_refined,55,142,0
huiyu.cai.h3_15_2431_h,44,193,0
amelie.schreiber.model_83_156_16,87,192,0
briannaughton.1_plus_egfr,147,410,0
lhallee.lhallee_40_full_driveid_8_9,35,329,0
x.rustamov.traj_6_1_model_1_8,77,212,3
julie.jg26n,53,114,0
human_egf,101,223,0
lennart.nickel.egfr_l114_s69310_mpnn7,71,168,0
youngsuko2000.last,123,340,2
zhoup1366.dbz8___a,49,221,0
huiyu.cai.h3_15_877_h,82,160,0
tadaskluonis.cotimed_egf_bcseq_1,106,380,5
alan.blakely.12_3,114,304,0
a.tucs.andrejs_tucs_seq4,99,74,0
martin.egfr_l121_s46924_mpnn18,88,183,0
qilin_y.test6,54,249,9
niklas.7a72d922-1677-4fc8-9315-d7996ba05d8e_l150_s530325711_mpnn12,61,211,0
lhallee.lhallee_40_target_driveid_10,42,312,1
youngsuko2000.queen,124,254,1
alecl.unrelaxeda,99,292,0
lennart.nickel.egfr_l170_s20625_mpnn10,83,193,0
bundit.b_s18.manbaritone_seq3_egfr-binder-70-100_beta_303_dldesign_6_lenght71,80,140,0
lyu.3,75,174,0
alessio.daddio.ad_1,91,190,2
revoli.mutated_nab_8,121,456,0
nitesh.mishra3.stepwise_scaffold_egfr_binder_6,52,72,0
karmanyaaggarwal.ds003076,48,150,0
biolucasmachado.engineered_binder_4,118,159,0
fernando.meireles.design_hybrid_partial_diff_7_1_binder,75,189,0
724928537.dbz6___a,69,177,0
lyu.2,90,198,1
antorsae.ta_5_3,50,128,0
alex.naka.charizard,53,233,0
amirm.mhosseini.seq9,53,163,0
klima.jason.8hgo_design_94eja_1_5,40,465,0
toluwase.fatoki.toluwase_sequence3_119,33,398,1
duynth29.duy_l111_mpnn14_i36m__l80m_l42m,88,172,0
noah.holzleitner.noah_egfr-binder_3,74,94,0
pastei5.egfr_binder_01,42,422,0
paulafcfranklin.synth_rosetta_7,115,187,0
fernando.meireles.design_hybrid_partial_diff_4_31_binder,85,241,0
a.tucs.andrejs_tucs_seq7,100,173,0
biolucasmachado.engineered_binder_3,100,309,2
cbrown.cbrown_0005_2_egfr_l81_s801188_mpnn1_model1,64,189,0
aureliabustos.wt_noised_i_scaffold_shorted_var71,109,258,0
tadej.satler.egfr_binder_3,75,245,5
aswini.seed2_3,70,252,1
a.tucs.andrejs_tucs_seq2,110,130,4
bundit.b_s18.manbaritone_seq6_egfr-binder-70-100_beta_778_dldesign_0_length71,69,116,0
binom16.pocket7pep80,34,158,0
binom16.pocket1pep15,39,137,0
s1995825.cotimed_egf_netsolp_usability_4,105,149,2
elian.elian5,87,223,0
martin.egfr_l142_s75963_mpnn1,75,169,0
praghava531.seq2,33,130,0
hughy.4krp_b_a_89_rnd3_full,31,272,0
a.tucs.andrejs_tucs_seq10,100,174,0
niklas.e5a28fa3-3501-41c2-922c-ec848e0bc020_l81_s514858345_mpnn4,82,147,0
mchrnwsk.marta_chronowska_dom1_l99_s666690_mpnn16,66,154,0
hughy.7om4_b_a_180_rnd1_v1_full,45,156,0
alan.blakely.12_6,99,374,2
minji.lee.386,31,152,0
revoli.mutated_nab_5,105,258,0
allongoldberg.4_44,60,193,1
tadaskluonis.cotimed_egf_bcseq_0,100,349,2
biolucasmachado.engineered_binder_1,43,229,2
kerrding.seq7,109,162,0
duynth29.l148_mpnn1,74,165,0
hughy.7om4_b_a_17_rnd2_v2_full,108,221,0
spacecruiser42.d2_prompt_binder_t1.0_37,34,123,0
martin.egfr_l177_s77884_mpnn7,55,196,0
darius.szablowski.egfr_binder_3___ggggs_3_linked_top_binders_1_rev_and_2_rev,56,280,0
chrisxushaoyong.hu_nano1_5_559c85,46,275,0
paulafcfranklin.synth_rosetta_8,114,251,1
mlange05.b,89,151,0
antorsae.ta_5_1,40,104,2
tim.silica_corpora_sampled_epitope_2_generated_variant_9_rank_6_phase_2,64,224,1
wtj19921231.egfr_binder_design_208_dldesign_0_cycle1_run5_af2pred.pdb_a,66,165,0
chuh.egfr_seg1_l58_s941869_mpnn2,43,87,0
jude.wells.21.6b3s_necitumumab_fused_trimmed_task_89_iter_216,73,426,0
jakublala.epitope_1_30aa.pdb,48,178,2
paulafcfranklin.synth_rosetta_10,112,262,1
a.tucs.andrejs_tucs_seq9,101,177,0
chuh.egfr_seg2_l62_s244475_mpnn4,68,100,0
zalavi.zalavi3_ggg_shortpacesa,75,194,6
paulafcfranklin.synth_rosetta_5,113,196,2
stocco.filippo.1.3.3.18_4_2_iteration0_1.0407930462953479,113,197,9
julian.faust.pimurutamab_mpnn_18_scfv,71,280,0
dre.lgdl_egfr_008,41,314,5
darius.szablowski.egfr_binder_4___ggggs_3_linked_top_binders_1_and_2_efficiently_evolved,95,286,2
markus.braun.egfr_binder_3,163,327,0
mosquitolkfo.nab_design_7,69,220,0
klima.jason.8hgo_design_vdcjs_1_2,71,311,2
allongoldberg.3_52,51,143,1
jude.wells.21.panitumumab_fused_trimmed_crossbreed3,67,656,0
bundit.b_s18.manbaritone_seq5_egfr-binder-70-100_beta_303_dldesign_1_length71,75,123,0
qilin_y.test8,27,226,0
spacecruiser42.d2_prompt_binder_t1.0_139,43,161,0
biolucasmachado.engineered_binder_9,101,205,1
darius.szablowski.egfr_binder_1___top_binder_1,72,163,0
lhallee.lhallee_128_driveid_1_2,76,467,2
alessio.daddio.ad_4,81,219,0
aswini.clipgen30,39,241,0
alessio.daddio.ad_9,62,258,0
zhoup1366.dbz1___a,50,280,0
cameron.kroll.leitner,78,172,0
gitter.yolo23,72,130,0
biolucasmachado.engineered_binder_8,119,189,0
maxall4.egfr_ed_binder_l124_s860500_mpnn1_model1_unrelaxed_rank_001_alphafold2_multimer_v3_model_1_seed_000_top1_mutation_d81n_round1_chain_a,99,177,0
chrisxushaoyong.hu_nano2_4_85252b,66,264,0
mosquitolkfo.nab_design_9,73,190,0
eceiiitn786.8s2,71,177,1
mlange05.a,72,200,2
z_peplib.pepseq_design_8,34,149,1
keaun.gifgvvfkadiarvsidvaidystgylgslttfsgcnq,18,254,1
chrisxushaoyong.hu_nano1_1_ff3e18,73,237,0
colby.tupegfr_001___anti-egfr_fv-like_protein_diffused_with_evodiff,97,857,1
nhaas.2,80,421,0
noah.holzleitner.noah_egfr-binder_2,62,121,0
briannaughton.2_plus_2,162,480,1
qxy615.s1_rfd_comp_beta_782_81,43,126,0
carson.vaux.baker1_18,45,88,2
alex.naka.charmander,122,152,0
jakublala.epitope_2_30aa_1.pdb,31,203,0
julian.faust.demupitamab_mpnn_19_scfv,73,400,0
tiejun.wei.egfr_binder_design_208_dldesign_10_af2pred.pdb_a,120,127,1
antorsae.t0.1_sample939_score0.9451_global_score1.3625_seq_recovery0.4250,50,130,0
alex.naka.wartortle,100,163,0
salireza111.seq119_3_001_8,32,134,0
karmanyaaggarwal.ds004729,46,174,2
jakublala.full_dibinder_45aa_2.pdb,45,297,0
enzo.morro.design_0_n_2_mpnn_1.120_plddt_0.858_i_ptm_0.072_i_pae_28.117_rmsd_30.276,75,273,11
salireza111.seq166_1_001_7,59,106,0
duynth29.duy_l111_mpnn14,91,162,0
alex.naka.squirtle,104,150,0
zalavi.shortrustamov_ggg_zalavi3,158,289,0
zulfatmi.pocket7pep42,34,116,0
karmanyaaggarwal.ds002542,45,183,0
ali.rasouli.intern.model_77_142_3,60,172,0
tarkhov.andrey.erithacus_rubecula_gigantus_9,38,367,0
hughy.7om4_b_a_33_rnd2_v2_full,57,238,0
elian.elian4,78,198,0
akash.arunabharathi.design9,25,378,0
toluwase.fatoki.toluwase_sequence4_148,75,269,0
a.tucs.andrejs_tucs_seq1,104,173,0
briannaughton.egfr_plus_egfr,113,232,5
s1995825.timed_egf_netsolp_usability_consensus_1,100,144,0
lennart.nickel.egfr_l139_s63093_mpnn2,64,139,6
silvia.toscani.b_egfr_6,70,97,0
mosquitolkfo.nab_design_6,67,391,2
maxall4.egfr_ed_binder_l134_s906486_mpnn2_model1_unrelaxed_rank_001_alphafold2_multimer_v3_model_1_seed_000_top1_mutation_g108s_round1_chain_a,74,160,2
martin.egfr_l111_s89744_mpnn1,47,121,1
colby.tupegfr_018___anti-egfr_fv-like_protein_diffused_with_esm3,85,491,0
noah.holzleitner.noah_egfr-binder_8,73,128,0
aureliabustos.wwt_noised_i_scaffold_shorted_var8423,109,245,0
xiuming_li2015.eureka_seq_3,77,301,0
nhaas.8,74,428,7
jude.wells.21.6b3s_necitumumab_fused_trimmed_task_98_iter_184,73,342,0
tarkhov.andrey.erithacus_rubecula_gigantus_8,89,556,0
cameron.kroll.gertrude_gen6,75,175,0
akash.arunabharathi.design10,48,198,0
joaosartori2.c3,108,198,1
niklas.95b59203-b642-4754-bcd3-8e670a722c8d_l91_s349792600_mpnn2,45,114,6
chenceshi1105.steven_binder_design_l75_s60968_it100_mpnn0,77,117,0
amirm.mhosseini.seq1,118,314,2
alejandro.corrochano-navarro.eng_scfv_binder_2,63,287,0
flowuenne.nf-proteindesign_design8,60,163,1
colby.tupegfr_012___anti-egfr_fv-like_protein_diffused_with_evodiff,63,555,1
s1995825.timed_egf_netsolp_usability_consensus_2,98,166,0
paulafcfranklin.synth_rosetta_2,112,258,1
reed.harrison.model_56_119_0,74,119,0
noah.holzleitner.noah_egfr-binder_1,67,75,0
chrisxushaoyong.hu_nano2_2_7ef96e,64,254,0
minji.lee.3995,47,83,0
cameron.kroll.gertrude_gen3,75,114,0
markus.braun.egfr_binder_1,136,239,0
amirmhosseini47.mohammad_seq2,107,224,2
elian.elian3,81,198,0
revoli.mutated_nab_9,100,445,2
niklas.ee4629a9-322f-48f0-884d-8f4418db9bce_l151_s241659642_mpnn11,95,360,0
flowuenne.nf-proteindesign_design10,39,204,10
nitesh.mishra3.stepwise_rfdiff_egfr_binder_1,51,154,1
a.tucs.andrejs_tucs_seq5,98,225,0
alejandro.corrochano-navarro.eng_scfv_binder_1,65,328,1
binom16.pocket3pep98,37,151,0
lyu.1,82,130,0
mlange05.c,52,247,0
aswini.seed1_1,84,306,0
junhee.park1999.egfr_binder_7,74,273,2
julian.faust.pimurutamabxbecotatug_scfv,76,198,4
round1zeroshot.k5q_n70s_k71r_n73t_s87t_n88d_r179k_k183r_e213d_s214p,71,537,2
julie.rj0aa,56,57,2
amirm.mhosseini.seq3,53,239,0
qilin_y.test4,38,201,1
jvogt4.vogt_scfv_2470,50,418,0
akash.arunabharathi.design3,43,306,0
niklas.95b59203-b642-4754-bcd3-8e670a722c8d_l91_s349792600_mpnn19,38,129,0
markus.braun.egfr_binder_6,139,218,3
maxall4.egfr_trim_l126_s498823_mpnn2_model1_unrelaxed_rank_001_alphafold2_multimer_v3_model_1_seed_000_top1_mutation_l39g_round1_chain_a,71,141,0
aureliabustos.bce_var702,100,238,0
zhoup1366.dbz10___a,49,240,2
klima.jason.8hgo_design_4yyaf_0_0,72,268,0
chenceshi1105.steven_binder_design_l82_s44755_it100_mpnn6,70,123,0
hughy.7om4_b_a_8_rnd2_v2_full,50,308,0
fernando.meireles.design_hybrid_partial_diff_9_54_binder,75,140,10
fgndd1.fg_seq1,76,199,0
tarkhov.andrey.erithacus_rubecula_gigantus_4,84,664,0
s1995825.cotimed_egf_netsolp_usability_6,100,162,0
allongoldberg.4_44_0_refined,67,216,0
alan.blakely.16_2,129,368,0
jack.li.egfrbindingcandidate_7,55,582,1
bronte.egfr_binder_4_91,41,120,0
tarkhov.andrey.erithacus_rubecula_gigantus_7,85,524,0
merlettaia.seq0v4,50,222,0
alex.naka.venusaur,46,181,0
antorsae.ta397unsafety_2,42,253,2
deepsatflow.6aru_final_chain_a_domain_3_l142_s806907_mpnn1,69,137,0
z_peplib.pepseq_design_6,48,246,0
qilin_y.test7,40,362,2
aureliabustos.bce_var433,99,215,6
deepsatflow.6aru_final_chain_a_domain_3_l138_s466479_mpnn9,91,174,0
kerrding.seq9,34,149,0
s1995825.cotimed_egf_netsolp_usability_1,100,180,0
joaosartori2.c6,110,342,1
areddy.egfr_l169_s781475,97,251,0
markus.braun.egfr_binder_7,149,243,9
